	BB_Richelieu = {
		air_attack = -0.75
	}
 	BB_Valiant = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Vittorio_Veneto = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Warspite = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_West_Virginia = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Yamashiro = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Andrea_Doria = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	BB_Anson = {
		sea_attack = -4.11
		sea_defence = -5.18
		convoy_attack = -2.11
		air_defence = -2.71
		hull = -0.17
		positioning = -0.01
		max_strength = -8.11
		sub_attack = -0.2
		air_attack = -0.75
	}
 	
 	SBB_Yamato = {
		sea_attack = -3.38
		sea_defence = -3.04
		convoy_attack = -1.89
		air_defence = -1.64
		hull = -0.15
		positioning = -0.01
		max_strength = -8.38
		sub_attack = -0
		air_attack = -0.97
	}
 	SBB_Musashi = {
		sea_attack = -3.38
		sea_defence = -3.04
		convoy_attack = -1.89
		air_defence = -1.64
		hull = -0.15
		positioning = -0.01
		max_strength = -8.38
		sub_attack = -0
		air_attack = -0.97
	}
 	
 	BC_Hiei = {
		sea_attack = -3.91
		sea_defence = -7.33
		convoy_attack = -2.11
		air_defence = -3.73
		hull = -0.11
		positioning = -0.01
		max_strength = -7.22
		sub_attack = -0
		air_attack = -0.75
	}
 	BC_Hood = {
		sea_attack = -3.91
		sea_defence = -7.33
		convoy_attack = -2.11
		air_defence = -3.73
		hull = -0.11
		positioning = -0.01
		max_strength = -7.22
		sub_attack = -0
		air_attack = -0.75
	}
 	BC_Kirishima = {
		sea_attack = -3.91
		sea_defence = -7.33
		convoy_attack = -2.11
		air_defence = -3.73
		hull = -0.11
		positioning = -0.01
		max_strength = -7.22
		sub_attack = -0
		air_attack = -0.75
	}
 	BC_Kongo = {
		sea_attack = -3.91
		sea_defence = -7.33
		convoy_attack = -2.11
		air_defence = -3.73
		hull = -0.11
		positioning = -0.01
		max_strength = -7.22
		sub_attack = -0
		air_attack = -0.75
	}
 	BC_Renown = {
		sea_attack = -3.91
		sea_defence = -7.33
		convoy_attack = -2.11
		air_defence = -3.73
		hull = -0.11
		positioning = -0.01
		max_strength = -7.22
		sub_attack = -0
		air_attack = -0.75
	}
 	BC_Repulse = {
		sea_attack = -3.91
		sea_defence = -7.33
		convoy_attack = -2.11
		air_defence = -3.73
		hull = -0.11
		positioning = -0.01
		max_strength = -7.22
		sub_attack = -0
		air_attack = -0.75
	}
 	BC_Haruna = {
		sea_attack = -3.91
		sea_defence = -7.33
		convoy_attack = -2.11
		air_defence = -3.73
		hull = -0.11
		positioning = -0.01
		max_strength = -7.22
		sub_attack = -0
		air_attack = -0.75
	}
 	
 	PBB_Deutschland = {
		sea_attack = -2.62
		sea_defence = -3.87
		convoy_attack = -2.02
		air_defence = -0.33
		hull = -0.07
		positioning = -0.01
		max_strength = -7.27
		sub_attack = -0
		air_attack = -0.34
	}
 	PBB_Graf_Spee = {
		sea_attack = -2.62
		sea_defence = -3.87
		convoy_attack = -2.02
		air_defence = -0.33
		hull = -0.07
		positioning = -0.01
		max_strength = -7.27
		sub_attack = -0
		air_attack = -0.34
	}
 	PBB_Adm_Scheer = {
		sea_attack = -2.62
		sea_defence = -3.87
		convoy_attack = -2.02
		air_defence = -0.33
		hull = -0.07
		positioning = -0.01
		max_strength = -7.27
		sub_attack = -0
		air_attack = -0.34
	}
 	
 	CV_Yorktown = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
 	CV_Soryu = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
 	CV_Saratoga = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
  	CV_Ranger = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
 	CV_Lexington = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
 	CV_Kaga = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
 	CV_Hiryu = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
 	CV_Glorious = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
 	CV_Furious = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
 	CV_Enterprise = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
 	CV_Courageous = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
 	CV_Ark_Royal = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
 	CV_Aquila = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
 	CV_Akagi = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
 	CV_Hornet = {
		sea_attack = -0
		sea_defence = -8.27
		convoy_attack = -0
		air_defence = -4
		hull = -0.12
		positioning = -0
		max_strength = -1.33
		sub_attack = -0
		air_attack = -0.8
	}	
	
