ORGANISATION_IS_ATLEAST_TRIGGER;即$IDEOLOGY$劬 has at least 即$VALUE$劬 in organisation劬.;;;;;;;;;;;;;;x
POPULARITY_IS_ATLEAST_TRIGGER;即$IDEOLOGY$劬 has popularity at least 即$VALUE$劬.;;;;;;;;;;;;;;x
IS_THREATEND_TRIGGER;即$COUNTRY$劬 is threatend by countries with threat value at least 即$VALUE$劬.;;;;;;;;;;;;;;x
THREAT_IS_NOT_TRIGGER;即$COUNTRY$劬 threat with 即$TARGET_COUNTRY$劬 is not 即$VALUE$劬.;;;;;;;;;;;;;;x
UNITY_IS_NOT_TRIGGER;Unity is not 即$VALUE$劬.;;;;;;;;;;;;;;x
AMOUNT_OF_DIVISIONS_IS_NOT_TRIGGER;即$COUNTRY$劬 number of divisions is not 即$VALUE$劬.;;;;;;;;;;;;;;x
IDEOLOGY_IS_NOT_TRIGGER;Ruling Party is NOT 即$NAME$劬.\n;;;;;;;;;;;;;;x
MINISTER_IS_NOT_ALIVE_TRIGGER;即$NAME$劬 is not alive劬.\n;;;;;;;;;;;;;;x
MONEY_IS_NOT_TRIGGER;Money is not 即$VALUE$劬.;;;;;;;;;;;;;;x
ENERGY_IS_NOT_TRIGGER;Energy is not 即$VALUE$劬.;;;;;;;;;;;;;;x
CRUDE_OIL_IS_NOT_TRIGGER;Crude oil is not 即$VALUE$劬.;;;;;;;;;;;;;;x
RARE_MATERIALS_IS_NOT_TRIGGER;Rare materials is not 即$VALUE$劬.;;;;;;;;;;;;;;x
METAL_IS_NOT_TRIGGER;Metal is not 即$VALUE$劬.;;;;;;;;;;;;;;x
SUPPLIES_IS_NOT_TRIGGER;Supplies are not 即$VALUE$劬.;;;;;;;;;;;;;;x
NO_NON_AGGRESSION_PACT_WITH;即$COUNTRY$劬 does not have a non-aggression pact with 即$TARGET_COUNTRY$劬.;;;;;;;;;;;;;;x
NO_MILITARY_ACCESS_WITH_TRIGGER;即$COUNTRY$劬 does not have military access with 即$TARGET_COUNTRY$劬.;;;;;;;;;;;;;;x
LOST_NATIONAL_PROVINCES_NOT_TRIGGER;即$COUNTRY$劬 has not lost 即$VALUE$%劬 national provinces 劬.;;;;;;;;;;;;;;x
LOST_IC_IS_NOT_TRIGGER;即$COUNTRY$劬 has not lost 即$VALUE$%劬 IC 劬.;;;;;;;;;;;;;;x
DISSENT_IS_NOT_TRIGGER;Dissent is not 即$VALUE$劬.;;;;;;;;;;;;;;x
ORGANISATION_IS_NOT_TRIGGER;即$IDEOLOGY$劬 does not have 即$VALUE$劬 in organisation劬.;;;;;;;;;;;;;;x
POPULARITY_IS_NOT_TRIGGER;即$IDEOLOGY$劬 does not have 即$VALUE$劬 in popularity劬.;;;;;;;;;;;;;;x
IS_NOT_THREATEND_TRIGGER;即$COUNTRY$劬 is not threatend by countries with threat value 即$VALUE$劬.;;;;;;;;;;;;;;x
IS_NOT_GUARANTEEING_TRIGGER;即$COUNTRY$劬 is not guaranteeing 即$TARGET_COUNTRY$劬.;;;;;;;;;;;;;;x
COUNTRY_HAS_UNITS_IN_PROVINCE_TRIGGER;即$COUNTRY$劬 has units in province 即$PROVINCE$劬.;;;;;;;;;;;;;;x
COUNTRY_HAS_NO_UNITS_IN_PROVINCE_TRIGGER;即$COUNTRY$劬 has no units in province 即$PROVINCE$劬.;;;;;;;;;;;;;;x
ALL_ORG_POP_IS_NOT_TRIGGER;即$IDEOLOGY$劬 does not have 即$ORGANISATION$劬 in organisation and 即$POPULARITY$劬 in popularity劬.;;;;;;;;;;;;;;x
ALL_ORG_POP_IS_ATLEAST_TRIGGER;即$IDEOLOGY$劬 has organisation of at least 即$ORGANISATION$劬 or popularity above 即$POPULARITY$劬.;;;;;;;;;;;;;;x
IS_NOT_LAW_TRIGGER;即$LAW$劬 is NOT the $GROUP$.;;;;;;;;;;;;;;x
IS_LAW_TRIGGER;The $GROUP$ is 即$LAW$劬.;;;;;;;;;;;;;;x
IS_IN_EXILE;is a government in exile.;;;;;;;;;;;;;;x
IS_NOT_IN_EXILE;is not a government in exile.;;;;;;;;;;;;;;x
NEUTRALITY_IS_NOT_TRIGGER;Neutrality is below 即$VALUE$劬.;;;;;;;;;;;;;;x
NEUTRALITY_IS_ATLEAST_TRIGGER;Neutrality is at least 即$VALUE$劬.;;;;;;;;;;;;;;x
IS_NOT_IN_FACTION_TRIGGER;Is not a member of any faction.;;;;;;;;;;;;;;x
IS_IN_FACTION_TRIGGER;Is a member of a faction.;;;;;;;;;;;;;;x
IS_NUM_IN_FACTION_TRIGGER;Is a member of a faction of at least 即$VAL$劬 members.;;;;;;;;;;;;;;x
IS_BELOW_NUM_IN_FACTION_TRIGGER;Is a member of a faction with fewer than 即$VAL$劬 members.;;;;;;;;;;;;;;x
IS_NOT_MEMBER_OF_FACTION_TRIGGER;Is NOT a member of 即$FACTION$劬.;;;;;;;;;;;;;;x
IS_MEMBER_OF_FACTION_TRIGGER;Is a member of 即$FACTION$劬.;;;;;;;;;;;;;;x
