FRA_grand_destroyer_actual_2;Agile/Vauquelin-class;;;;;;;;;;;;;x
FRA_grand_destroyer_actual_3;Le Fantasque-class;;;;;;;;;;;;;x
FRA_grand_destroyer_actual_4;Mogador-class;;;;;;;;;;;;;x
FRA_grand_destroyer_actual_5;Mogador II-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_destroyer_actual_0;Aventurier-class;;;;;;;;;;;;;x
FRA_destroyer_actual_1;Chastang/Aigle-class;;;;;;;;;;;;;x
FRA_destroyer_actual_2;Bourrasque/Adroit/Guepard/Vauquelin-class;;;;;;;;;;;;;x
FRA_destroyer_actual_3;Forbin/Chacal-class;;;;;;;;;;;;;x
FRA_destroyer_actual_4;Le Fantasque-class;;;;;;;;;;;;;x
FRA_destroyer_actual_5;Le Hardi-class;;;;;;;;;;;;;x
FRA_destroyer_actual_6;Mogador-class;;;;;;;;;;;;;x
FRA_destroyer_actual_7;Mogador II-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_torpedo_boat_0;La Melpomene-class;;;;;;;;;;;;;x
FRA_torpedo_boat_1;La Melpomene-class;;;;;;;;;;;;;x
FRA_torpedo_boat_2;La Melpomene-class;;;;;;;;;;;;;x
FRA_torpedo_boat_3;La Melpomene-class;;;;;;;;;;;;;x
FRA_torpedo_boat_4;La Melpomene-class;;;;;;;;;;;;;x
FRA_torpedo_boat_5;Le Fier-class;;;;;;;;;;;;;x
FRA_torpedo_boat_6;Bir Hakeim-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_0;VTB1-class;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_1;VTB1-class;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_2;VTB8-class;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_3;VTB10-class;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_4;VTB11-class;;;;;;;;;;;;;x
FRA_motor_torpedo_boat_5;VTB23-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_frigate_0;Bougainville-class;;;;;;;;;;;;;x
FRA_frigate_1;Elan-class;;;;;;;;;;;;;x
FRA_frigate_2;Flower-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_submarine_0;O'Byrne-class;;;;;;;;;;;;;x
FRA_submarine_1;Saphir-class;;;;;;;;;;;;;x
FRA_submarine_2;Saphir-class;;;;;;;;;;;;;x
FRA_submarine_3;Émeraude-class;;;;;;;;;;;;;x
FRA_submarine_4;Émeraude-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_long_range_submarine_0;O'Byrne-class;;;;;;;;;;;;;x
FRA_long_range_submarine_1;Requin-class;;;;;;;;;;;;;x
FRA_long_range_submarine_2;Le Redoutable-class;;;;;;;;;;;;;x
FRA_long_range_submarine_3;Pascal-class;;;;;;;;;;;;;x
FRA_long_range_submarine_4;Surcouf-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_coastal_submarine_0;600 Series-class;;;;;;;;;;;;;x
FRA_coastal_submarine_1;600 Series-class;;;;;;;;;;;;;x
FRA_coastal_submarine_2;Minerve/630 Series-class;;;;;;;;;;;;;x
FRA_coastal_submarine_3;Aurore-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
#FRA_battlecarrier_2,Jean Bart-class;Classe Jean Bart;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_light_carrier_0;Bearn-class;;;;;;;;;;;;;x
FRA_light_carrier_1;Bearn-class;;;;;;;;;;;;;x
FRA_light_carrier_2;Bearn-class;;;;;;;;;;;;;x
FRA_light_carrier_3;Joffre-class;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_carrier_0;Joffre-Class;;;;;;;;;;x
FRA_carrier_1;Joffre-Class;;;;;;;;;;x
#;;;;;;;;;;;;;;x
FRA_command_carrier_0;Joffre-Class;;;;;;;;;;x
FRA_command_carrier_1;Joffre-Class;;;;;;;;;;x
#EOF;;;;;;;;;;;;;x
