## Soviet Decisions and Events Descriptions ##;;;;;;;;;;;;;;x
##############################################;;;;;;;;;;;;;;x
##############################################;;;;;;;;;;;;;;x
#Red Army Upgrades before GPW.;;;;;;;;;;;;;;x
EVTDESC11008;Shortly after the conclusion of the Soviet Finish Winter War and the gain of the Hanko Peninsula, the Soviet Union started to build a naval base that could help in the control and protection of the Gulf of Finland.\nThe Soviet garrison set up in Hanko was composed of the 8th Rifle Brigade, 8th Naval Infantry Brigade and 9th Independant Railway Artillery Division using TM-3 naval guns. These massive guns took part in the defense of the naval base during the Continuation War and they were disabled by Soviet seamen when the base was evacuated in December 1941.;;;;;;;;;;;;;;x
Para_1936_decision_title;Airborne Brigades.;;;;;;;;;;;;;;x
Para_1936_decision_desc;This decision will give access to Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11009;The Red Army was a pioneer in the use of airborne forces. Large scale exercises were conducted in 1934 and 1935 which impressed foreign military observers. In July 1936, it was decided to increase the number of airborne brigades from 1 to 3.\n\nThe 13th Airborne Brigade was set up in the Kiev Military District.\n\nThe 47th Airborne Brigade was raised in the Bielorussian Military District.\n\n3 additional airborne regiments were set up in the Far Eastern Military District.;;;;;;;;;;;;;;x
Para_1938_decision_title;Form more Airborne Brigades.;;;;;;;;;;;;;;x
Para_1938_decision_desc;This decision will give access to Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11010;In the summer of 1938, Soviet Airborne Forces were reorganized into 6 Airborne Brigades:\n\nThe 202nd, 211th and 212th Airborne Brigades were set up in the Far Eastern Military District\n\nThe 201st, 204th and 214th Airborne Brigades were formed in the Leningrad MD, Kiev MD and Bielorussian MD respectively.;;;;;;;;;;;;;x
Para_1941_decision_title;Reorganize our Airborne Forces.;;;;;;;;;;;;;;x
Para_1941_decision_desc;This decision will upgrade Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11011;In May 1941, Soviet Airborne Forces were once again reorganized into 5 Airborne Corps, all stationed in the West. Each corps was composed of 3 brigades and reached 10.000 men in strength.\n\nEven lacking equipment like radios and tanks, these Airborne Corps were at full strength when the war broke out. Despite the precarious situation, Soviet Airborne Corps performed pretty well, offering a fierce resistance against German attacks. All 5 corps were converted into Guards Infantry Rifle Divisions in the spring and summer of 1942.;;;;;;;;;;;;;;x
Para2_1941_decision_title;Form 5 more Airborne Corps.;;;;;;;;;;;;;;x
Para2_1941_decision_desc;This decision will give access to Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11012;In September 1941, the Stavka ordered the formation of 5 new airborne corps, numbered from 6 to 10. Units were supposed to be combat ready in early 1942.\nLike the previous ones, these 5 corps were converted into Guards Rifle Divisions in the summer of 1942.;;;;;;;;;;;;;x
Motor_Armored_Regiment_decision_title;Soviet-Mongolian Mutual Assistance Pact.;;;;;;;;;;;;;;x
Motor_Armored_Regiment_decision_desc;This decision will give access to a Red Army historical brigade.;;;;;;;;;;;;;;x
EVTDESC11013;The signature of the Soviet-Mongolian Mutual Assistance Pact happened on March 12, 1936 in Ulaanbaatar, to limit Japanese aggressiveness against Mongolia.\n\nRed Army immediatly started to move mechanized forces in Mongolia: the first unit was despatch from the 11th Mechanized Corps of the Transbaikal Military District. Infantry and artillery elements from the 6th Mechanized Brigade and 3rd Tank Battalion of 32nd Mechanized Brigade were assembled into a new combined unit designed as 'Motorized Armored Regiment' (in russian 'Motobroniy Polk').;;;;;;;;;;;;;x
Special_Motor_Armored_Brigade_decision_title;Form the Special Motor Armored Brigade.;;;;;;;;;;;;;;x
Special_Motor_Armored_Brigade_decision_desc;This decision will give access to a Red Army historical brigade.;;;;;;;;;;;;;;x
EVTDESC11014;After a border clash with Japanese troops on March 31, 1936, Red Army transfered a new formation made of mechanized elements of the 5th Mechanized Corps from Moscow Military District.\n\nUnder command of Vasily Fedorovich Shipov, this Special Motor Armored Brigade arrived in Undurhan, 330 km from Ulaanbaatar, in April 1936.;;;;;;;;;;;;;;x
25th_Armored_Brigade_decision_title;Form the 25th Armored Brigade.;;;;;;;;;;;;;;x
25th_Armored_Brigade_decision_desc;This decision will give access to a Red Army historical unit.;;;;;;;;;;;;;;x
EVTDESC11015;The 25th Armored Brigade was formed in August 1936 in Chiita (Transbaikal Military District). It was shortly after renamed to the 25th Tank Brigade in May 1938, before being converted into a Chemical Tank Brigade in July 1938.;;;;;;;;;;;;;x
Chemical_Brigades_decision_title;1st and 2nd Motorized Chemical Brigades.;;;;;;;;;;;;;;x
Chemical_Brigades_decision_desc;This decision will give access to a Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11016;The 1st and 2nd Motorized Chemical Brigades were formed in January 1937, in Iaroslavl and Volsk respectively. They were using small flamethrower light tank models (HT-26s, HT-37/OT-37s).\n\nThese 2 units were renamed in April 1938 to the 30th and 31st Chemical Tank Brigades.;;;;;;;;;;;;;x
7_Motor_Armored_Brigade_decision_title;Form the 7th Motor Armored Brigade.;;;;;;;;;;;;;;x
7_Motor_Armored_Brigade_decision_desc;This decision will give access to a Red Army historical unit.;;;;;;;;;;;;;;x
EVTDESC11017;In July 1937, Red Army sent another formation, the 7th Motor Armored Brigade, to support the Mongolian People's Republic. Its commander was Nikolai V. Feklenko who later became commander of the 57th Special Corps.;;;;;;;;;;;;;x
13th_Mechanized_Brigade_decision_title;Formation of a new 13th Mechanized Brigade.;;;;;;;;;;;;;;x
13th_Mechanized_Brigade_decision_desc;This decision will give access to Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11018;In August 1937, the 13th Mechanized Brigade from 5th Mechanized Corps in Moscow was transferred to 11th Mechanized Corps in the Transbaikal Military District and renamed to the 32nd Mechanized Brigade.\n\nThe former 32nd Mechanized Brigade was renamed to the Special Mechanized Brigade (Osobodnaya Mekh. Brigada) and sent abroad to assist the Mongolian's People Republic againt Manchukuo and Japan.\n\nA new 13th Mechanized Brigade was also formed in Kaluga and assigned to 5th Mechanized Corps to compensate for this transfer.;;;;;;;;;;;;;;x
LTB_January_1938_decision_title;Form the 3rd, 18th, 22nd, 25th and 26th Light Tank Brigades.;;;;;;;;;;;;;;x
LTB_January_1938_decision_desc;This decision will give access to Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11019;According to the 3rd Five Year Plan for the development and reconstruction of the Red Army (1938-1942), all mechanized brigades were reformed as tank brigades by the addition of a new tank battalion.\n\nA light tank brigade (Legkotankovaya Brigada) was composed of more than 200 tanks, mainly T-26s and BT-5s and later BT-7s, in four battalions, assisted by a motorized infantry battalion and some armored cars.\n\nIn January 1938:\n23rd Mechanized Brigade became 3rd LTB (Far Eastern Military District)\n9th Mechanized Brigade became 18th LTB (Leningrad Military District)\n16th Mechanized Brigade became 22nd LTB (Belarus Military District)\n18th Mechanized Brigade became 25th LTB (Belarus Military District)\n22th Mechanized Brigade became 26th LTB (Kiev Military District).\n\n§RNote for player: Light Tank Brigades were later used to form the new Mechanized Corps of 1940 and 1941, so if you want to get them, do not skip these events.§W;;;;;;;;;;;;;x
LTB_April_1938_decision_title;Form 5 more Light Tank and Chemical Tank Brigades.;;;;;;;;;;;;;;x
LTB_April_1938_decision_desc;This decision will give access to Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11020;In April 1938, 3 more Light Tank Brigades were formed from former units:\n\n8th Mechanized Brigade became 29th LTB (Kiev Military District)\n4th Mechanized Brigade became 32nd LTB (Belarus Military District)\n7th Mechanized Brigade became 43rd LTB (Far Eastern Military District)\n\nIn addition, 2 motorized chemical brigades were reformed as Chemical Tank Brigades (CTB):\n\n1st Mot. Chemical Brigade became 30th CTB (Moscow Military District)\n2nd Mot. Chemical Brigade became 31st CTB (Volga Military District).;;;;;;;;;;;;;;x
LTB_August_1938_decision_title;Form 7 more Light Tank and Chemical Tank Brigades.;;;;;;;;;;;;;;x
LTB_August_1938_decision_desc;This decision will give access to Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11021;In August, no fewer than 6 Light Tank Brigades and 1 Chemical Tank Brigade were formed, mostly from former units:\n\n12th Mechanized Brigade became 24th LTB (Kiev Military District)\n11th Mechanized Brigade became 35th LTB (Leningrad Military District)\n3rd Mechanized Brigade became 36th LTB (Kiev Military District)\n15th Mechanized Brigade became 38th LTB (Kiev Military District)\n2nd Mechanized Brigade became 42nd LTB (Far Eastern MD)\n25th Armored Brigade became 33rd CTB (Kiev Military District)\n\n48th Light Tank Brigade was a new formation set up in the Far Eastern Military District.;;;;;;;;;;;;;;x
10th_Tank_Corps_decision_title;Form the 10th Tank Corps.;;;;;;;;;;;;;;x
10th_Tank_Corps_decision_desc;This decision will give access to a Red Army historical corps.;;;;;;;;;;;;;;x
EVTDESC11022;In May 1938, former mechanized corps were reformed as tank corps. Each new tank corps was composed of 2 Light Tank Brigades and one Motorized Infantry Brigade.\n\nThe 10th Tank Corps was formed from the former 7th Mechanized Corps in the Leningrad Military District, under the command of General Prokofii L. Romanenko. It was composed of the 1st and 13th LTB and 15th Motorized Infantry Brigade, and was disbanded later to form the 1st Mechanized Corps in June 1940.;;;;;;;;;;;;;;x
25th_Tank_Corps_decision_title;Form the 25th Tank Corps.;;;;;;;;;;;;;;x
25th_Tank_Corps_decision_desc;This decision will give access to a Red Army historical corps.;;;;;;;;;;;;;;x
EVTDESC11023;25th Tank Corps was formed from the former 45th Mechanized Corps in Zhitomir (Kiev Military District), under the command of General Ivan O. Iarkin. It was composed of the 4th and 5th LTB and 1st Motorized Infantry Brigade. Its elements served to form the 2nd and 4th Mechanized corps in summer 1940.;;;;;;;;;;;;;x
15th_Tank_Corps_decision_title;Form the 15th Tank Corps.;;;;;;;;;;;;;;x
15th_Tank_Corps_decision_desc;This decision will give access to a Red Army historical corps.;;;;;;;;;;;;;;x
EVTDESC11024;15th Tank Corps was formed in Naro-Fominsk (Moscow Military District), from the units of the former 5th Mechanized Corps, under the command of General Mikhail P. Petrov. It was composed of the 2nd and 27th LTB and 20th Motorized Infantry Brigade. Its elements were later used to form the 1940 and 1941 Mechanized Corps.;;;;;;;;;;;;;x
20th_Tank_Corps_decision_title;Form the 20th Tank Corps.;;;;;;;;;;;;;;x
20th_Tank_Corps_decision_desc;This decision will give access to a Red Army historical corps.;;;;;;;;;;;;;;x
EVTDESC11025;20th Tank Corps replaced 11th Mechanized Corps in Chiita (Transbaikal Military District), under the command of General Boris I. Sheremetov. It was composed of the 8th and 15 LTBs associated with the 5th Motorized Infantry Brigade. 20th Tank Corps was disbanded in 1940 and its elements served to form the new mechanized corps.;;;;;;;;;;;;;x
57th_Special_Corps_decision_title;Form the 57th Special Corps.;;;;;;;;;;;;;;x
57th_Special_Corps_decision_desc;This decision will give access to a Red Army historical corps.;;;;;;;;;;;;;;x
EVTDESC11026;57th Special Corps (57-y Osobyy Korpus) was set up in September 1937 in Ulaanbaatar and controlled various units sent to Mongolia to protect this Soviet ally from Japan and Manchoukuo's aggressions. Its commander was Nikolai V. Feklenko.\n\nIn summer 1938, this special unit included the 11th Light Tank Brigade, 36th 'Transbaikal' Rifle Division and 3 motorized armored brigades.\n\nIn 1939, the 57th Special Corps was involved in the Battle of Khalkin Gol.;;;;;;;;;;;;;;x
LTB_March_1939_decision_title;Form the 20th, 23rd and 49th Light Tank Brigades.;;;;;;;;;;;;;;x
LTB_March_1939_decision_desc;This decision will give access to Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11027;In March 1939, 3 new Light Tank Brigades were formed:\n\nThe 20th Light Tank Brigade was set up in the Belarus Military District. This brigade served to form the 38th Tank Division of 20th Mechanized Corps (1941)\n\nThe 23rd Light Tank Brigade was formed in Pskov (Belarus Military District) from the 17th Mechanized Brigade. It fought in Poland under the 5th Cavalry Corps, before being used to form the 12th Tank Division (8th Mechanized Corps 1940)\n\nThe 49th Light Tank Brigade was formed from the 5th Separate Tank Regiment, in Zhitomir (Kiev Military District). Its elements served to form the 44th Tank Division of 18th Mechanized Corps (1941).;;;;;;;;;;;;;;x
LTB_Sept_1939_decision_title;Form the 34th, 37th, 39th, 52nd and 55th Light Tank Brigades.;;;;;;;;;;;;;;x
LTB_Sept_1939_decision_desc;This decision will give access to Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11028;The 34th Light Tank Brigade was formed using tanks of the 14th Mechanized Brigade in Naro-Fominsk, before being transferred to the Leningrad Military District. It fought with 8th Army in Finland during the Winter War and there was completly destroyed.\n\nThe 37th Light Tank Brigade was raised from the second formation of 13th Mechanized Brigade. It was later used to form the 17th Tank Division of 5th Mechanized Corps (1940).\n\nThe 39th Light Tank Brigade was formed in the Leningrad Military District and fought in Finland as part of 7th Army. The 55th Light Tank Brigade was formed in the Moscow Military District. Both units served to form the 14th and 18th Tank Divisions of 7th Mechanized Corps (1940).\n\nThe 52nd Light Tank Brigade was raised in Kharkov, fought in Finland in the 7th Army and served to form the 18th Tank Division of 7th Mechanized Corps (1940).;;;;;;;;;;;;;;x
Heavy_Tank_Brigades_May_1939_decision_title;Reformation of Heavy Tank Brigades.;;;;;;;;;;;;;;x
Heavy_Tank_Brigades_May_1939_decision_desc;This decision will upgrade some Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11029;From spring to September 1939, the Red Army's Heavy Tank Brigades were reorganized and renamed.\n\nThe 21st Heavy Tank Brigade was formed in May in Smolensk (Bielorussian Military District), from the 1st Separate Heavy Tank Brigade. Using T-28 medium tanks, this brigade was assigned to 15th Tank Corps and participated in the invasion of Poland. It was later used to form the 4th Tank Division (6th Mechanized Corps 1940).\n\nThe 10th Separate Heavy Tank Brigade was formed in September in the Kiev Special Military Ditrict, from the 4th Separate Heavy Tank Brigade. Also using T-28 medium tanks, this brigade was assigned to 17th Rifle Corps, part of the Zhitomir Army Group during the invasion of Poland. Later it was used to form the 4th and 10th Tank Divisions of 4th Mechanized Corps (1940).\n\nThe 14th Separate Heavy Tank Brigade was formed in spring, from the 5th Separate Heavy Tank Brigade. Initialy set up in Kharkov, this brigade was assigned to the Zhitomir Army Group, before the invasion of Poland. It took part in the invasion of Bessarabia. Its medium and heavy tanks (T-35s) were later used to form the 12th and 15th Tank Divisions of 8th Mechanized Corps (1940).\n\nThe 20th Separate Heavy Tank Brigade was formed in the Leningrad Special Military District, from the 6th Separate Heavy Tank Brigade. This brigade participated in the war against Finland, and its elements were later used to form the 1st Tank Division, part of 1st Mechanized Corps (1940).;;;;;;;;;;;;;;x
Reorganization_decision_title;Reorganize our mechanized forces.;;;;;;;;;;;;;;x
Reorganization_decision_desc;The Soviet Union is reorganizing its mechanized forces.;;;;;;;;;;;;;;x
EVTDESC11030;In 1940, the People's Commissariat of Defense (NKO) decided on a large expansion of its mechanized forces by the formation of 16 new light tank brigades, using BT series tanks or T-26s.\nThe motorization of rifle divisions started, with the conversion of the Moscow Proletarian Rifle Division, 36th Transbaikal Division and the 57th Ural Division.\nIn summer, after the successes of German armor formations in France, the NKO ordered the formation of 9 new mechanised corps composed of 2 tank and 1 motorized divisions.\nIn late November 1940, it was also decided to raise more mobile units, including 20 motorised brigades and some light tank brigades.\n\nMore mechanized corps were planned for 1941.;;;;;;;;;;;;;;x
LTB_Jan_1940_decision_title;Form the 6th and 40th Light Tank Brigades.;;;;;;;;;;;;;;x
LTB_Jan_1940_decision_desc;This decision will give access to Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11031;The 6th Light Tank Brigade was formed from the 8th Light Tank Brigade in Chiita (Far Eastern Military District). It fought at Khalkhin Gol and was used to form the 29th Mechanized Corps in 1941.\n\nThe 40th Light Tank Brigade was a completely new formation, assembled in the Leningrad Military District. It fought in Finland and later served to form the 21st Tank Division of 10th Mechanized Corps (1941).;;;;;;;;;;;;;x
LTB_April_1940_decision_title;Form the 17th and 41st Light Tank Brigades.;;;;;;;;;;;;;;x
LTB_April_1940_decision_desc;This decision will give access to Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11032;The 17th and 41st Light Tank Brigades were formed in Yerevan and Tbilisi, in the Transcaucasian Military District. Made up of old T-26s, they were later used to form the 28th Mechanized Corps (1941).;;;;;;;;;;;;;;x
LTB_June_1940_decision_title;Form the 7th, 30th, 44th, 50th and 70th Light Tank Brigades.;;;;;;;;;;;;;;x
LTB_June_1940_decision_desc;This decision will give access to Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11033;The 7th Light Tank Brigade was formed using the 6th Light Tank Regiment and 28th Tank Regiment who fought in the Winter War. Set up in Rostov, this unit was disbanded for the formation of 28th Mechanized Corps (1941).\n\nThe 30th Light Tank Brigade was a new formation in Vinnitsa (Kiev Military District), later used to form the 32nd Tank Division, part of 4th Mechanized Corps (1940).\n\nThe 44th Light Tank Brigade was also a new formation located in Bielsk-Podalski (Belarus Military District), involved in the formation of the 25th Tank Division from 13th Mechanized Corps (1941).\n\nThe 50th Light Tank Brigade was formed in Chiita (Transbaikal Military District), used to form the 57th Tank Division of 29th Mechanized Corps (1941).\n\nThe 70th Light Tank Brigade was set up in Sverdlovsk. It was used to form the 53rd Tank Division (23rd Mechanized Corps) in 1941.;;;;;;;;;;;;;;x
LTB_November_1940_decision_title;Form the 2nd, 12th, 14th, 16th, 24th, 31st and 39th Tank Brigades.;;;;;;;;;;;;;;x
LTB_November_1940_decision_desc;This decision will give access to Red Army historical units.;;;;;;;;;;;;;;x
EVTDESC11034;In November 1940, 10 more Tank Brigades were raised.\n\nThe 2nd and 14th Tank Brigades were raised in the Leningrad Military District, from reserve units. In 1941, they were used to form the 24th Tank Division (10th Mechanized Corps) and 49th Tank Division (24th Mechanized Corps) respectively.\n\nThe 12th, 15th and 16th Tank Brigades were raised in the Bielorussian Military District before being used to form the 26th Tank Division (20th Mechanized Corps), 33rd Tank Division (11th Mechanized Corps) and 36th Tank Division (17th Mechanized Corps) respectively in 1941.\n\nThe 23rd Tank Brigade was raised for a second time in the Odessa Military District and used to form the 47th Tank Division of 18th Mechanized Corps (1941).\n\nThe 24th Light Tank Brigade was also raised for the second time and used to form the 42nd Tank Division of 21st Mechanized Corps (1941).\n\nThe 31st Light Tank Brigade, made up of old T-26s, was raised in Kharkov and later used to form the 55th Tank Division (25th Mechanized Corps).\n\nThe 39th Light Tank Brigade was raised for a second time in Berdichev (Kiev Military District) and served for the creation of the 40th Tank Division (19th Mechanized Corps) in 1941. 33rd Tank Brigade was a new formation, used to form 39th Tank Division of 16th Mechanized Corps (1941).;;;;;;;;;;;;;;x
Motorize_1st_MPRD_decision_title;Motorize the 1st Moscow Proletarian Rifle Division.;;;;;;;;;;;;;;x
Motorize_1st_MPRD_decision_desc;This decision will upgrade a Red Army historical unit.;;;;;;;;;;;;;;x
EVTDESC11035;The division was first formed in Leningrad, then Petrograd, in November 1918. It was then re-formed either in December 1924 or at the beginning of 1927 in the Moscow Military District, gaining the title of the 1st Moscow Proletariat Red Banner Rifle Division. Pavel Batov was a battalion and then regiment commander in the division in the late 1920s. In August 1939 it raised cadres for the 115th and 126th Rifle Divisions. It was re-raised from its single remaining regiment in September 1939 (2nd formation), but in January 1940 formed the 1st Moscow Motor Rifle Division. On June 22nd 1941 it was part of 7th Mechanised Corps, alongside the 14th and 18th Tank Divisions in the Moscow Military District, assigned to 20th Army. It was the first Soviet formation to use T-34 tanks at Borisov on June 30th, 1941. It fought at Orsha, between Minsk and Moscow, and at Yartsevo in September 1941.\n\n§RNote for player: this division will be removed by event in July 1940 to be attached to the newly formed 7th Mechanized Corps.§W;;;;;;;;;;;;;x
Motorize_36_Rifle_Division_decision_title;Motorize the 36th 'Transbaikal' Rifle Division.;;;;;;;;;;;;;;x
Motorize_36_Rifle_Division_decision_desc;This decision will upgrade a Red Army historical unit.;;;;;;;;;;;;;;x
EVTDESC11036;The 36th Transbaikal Rifle Division took part in the battle of Khalkin Gol in summer 1939, as part of the 57th Special Corps. It was later properly motorized and stationed near the town of Chiita. It stayed in the Far East all war long and participated in the Soviet invasion of Manchuria in August 1945.;;;;;;;;;;;;;x
Motorize_57_Rifle_Division_decision_title;Motorize the 57th 'Ural' Rifle Division.;;;;;;;;;;;;;;x
Motorize_57_Rifle_Division_decision_desc;This decision will upgrade a Red Army historical unit.;;;;;;;;;;;;;;x
EVTDESC11037;Like the 36th Rifle Division, the 57th 'Ural' Rifle Division took part in the battle of Khalkin Gol. It was motorized in March 1940 and also stayed in the Far East all war long.;;;;;;;;;;;;;;x
17th_Army_decision_title;Form the 17th Army.;;;;;;;;;;;;;;x
17th_Army_decision_desc;This decision will upgrade a Red Army historical Army.;;;;;;;;;;;;;;x
EVTDESC11038;The 17th Army was formed in June 1940 in the Transbaikal Military District from the elements that fought the Khalkhin Gol Battle against Japan. From 1941 to 1945, the army assumed a general defensive posture, including within Mongolia.\nIt fought in the Soviet invasion of Manchuria in August 1945.;;;;;;;;;;;;;;x
1_Mechanized_Corps_decision_title;Form the 1st Mechanized Corps.;;;;;;;;;;;;;;x
1_Mechanized_Corps_decision_desc;This decision will give access to a Red Army historical corps.;;;;;;;;;;;;;;x
