###########################################################;;;;;;;;;;;;;x
USA_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_1;BuShips 1918 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_2;BuShips 1930 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_3;BuShips 1932 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_4;BuShips 1934 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_0;;;;;;;;;;;;;;x
USA_destroyer_class_1;BuShips 1936 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_2;BuShips 1938 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_3;BuShips 1940 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_4;BuShips 1942 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_5;BuShips 1944 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_6;BuShips 1946 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_7;BuShips 1948 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_8;BuShips 1950 Destroyer Blueprint;;;;;;;;;;;;;x
USA_frigate_class_0;;;;;;;;;;;;;;x
USA_frigate_class_1;BuShips 1939 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_2;BuShips 1940 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_3;BuShips 1942 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_4;BuShips 1944 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_5;BuShips 1946 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_6;BuShips 1948 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_7;BuShips 1950 Frigate Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_0;;;;;;;;;;;;;;x
USA_torpedo_boat_class_1;BuShips 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_2;BuShips 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_3;BuShips 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_4;BuShips 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_5;BuShips 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_6;BuShips 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_7;BuShips 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_8;BuShips 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_9;BuShips 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_10;BuShips 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_11;BuShips 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_1;BuShips 1918 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_2;BuShips 1932 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_3;BuShips 1934 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_4;BuShips 1936 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_5;BuShips 1938 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_6;BuShips 1940 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_7;BuShips 1942 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_8;BuShips 1944 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_9;BuShips 1946 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_10;BuShips 1948 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_11;BuShips 1950 MTB Blueprint;;;;;;;;;;;;;x
USA_small_warship_surface_radar_0;;;;;;;;;;;;;;;x
USA_small_warship_surface_radar_1;SC-1 / CXAM;;;;;;;;;;;;;;x
USA_small_warship_surface_radar_2;SC-1 / CXAM-1;;;;;;;;;;;;;;x
USA_small_warship_surface_radar_3;SC-2 / SG-1;;;;;;;;;;;;;;x
USA_small_warship_surface_radar_4;SC-3 / SG-2;;;;;;;;;;;;;;x
USA_small_warship_surface_radar_5;SC-3A / SG-3;;;;;;;;;;;;;;x
USA_small_warship_surface_radar_6;SC-4 / SG-4;;;;;;;;;;;;;;x
USA_small_warship_surface_radar_7;SC-4 / SG-A;;;;;;;;;;;;;;x
USA_small_warship_surface_radar_8;SC-5 / SG-B;;;;;;;;;;;;;;x
USA_small_warship_surface_radar_9;SC-5 / SG-C;;;;;;;;;;;;;;x
USA_small_warship_surface_radar_10;SC-6 / SG-C;;;;;;;;;;;;;;x
USA_small_warship_surface_radar_11;SC-6 / SG-D;;;;;;;;;;;;;;x
USA_small_warship_airsearch_radar_0;;;;;;;;;;;;;;;x
USA_small_warship_airsearch_radar_1;SC-1;;;;;;;;;;;;;;x
USA_small_warship_airsearch_radar_2;SC-1;;;;;;;;;;;;;;x
USA_small_warship_airsearch_radar_3;SC-2;;;;;;;;;;;;;;x
USA_small_warship_airsearch_radar_4;SC-3;;;;;;;;;;;;;;x
USA_small_warship_airsearch_radar_5;SC-3A;;;;;;;;;;;;;;x
USA_small_warship_airsearch_radar_6;SC-4;;;;;;;;;;;;;;x
USA_small_warship_airsearch_radar_7;SC-4;;;;;;;;;;;;;;x
USA_small_warship_airsearch_radar_8;SC-5;;;;;;;;;;;;;;x
USA_small_warship_airsearch_radar_9;SC-5;;;;;;;;;;;;;;x
USA_small_warship_airsearch_radar_10;SC-6;;;;;;;;;;;;;;x
USA_smallwarship_asw_0;;;;;;;;;;;;;;;x
USA_smallwarship_asw_1;;;;;;;;;;;;;;;x
USA_smallwarship_asw_2;;;;;;;;;;;;;;;x
USA_smallwarship_asw_3;;;;;;;;;;;;;;;x
USA_smallwarship_asw_4;;;;;;;;;;;;;;;x
USA_smallwarship_asw_5;;;;;;;;;;;;;;;x
USA_smallwarship_asw_6;;;;;;;;;;;;;;;x
USA_smallwarship_asw_7;;;;;;;;;;;;;;;x
USA_smallwarship_damage_control_0;;;;;;;;;;;;;;;x
USA_smallwarship_damage_control_1;;;;;;;;;;;;;;;x
USA_smallwarship_damage_control_2;;;;;;;;;;;;;;;x
USA_smallwarship_damage_control_3;;;;;;;;;;;;;;;x
USA_smallwarship_damage_control_4;;;;;;;;;;;;;;;x
USA_smallwarship_damage_control_5;;;;;;;;;;;;;;;x
USA_smallwarship_damage_control_6;;;;;;;;;;;;;;;x
USA_smallwarship_damage_control_7;;;;;;;;;;;;;;;x
USA_smallwarship_fire_control_computer_0;;;;;;;;;;;;;;;x
USA_smallwarship_fire_control_computer_1;3-4 ft RF, Mk 6 Gun Director;;;;;;;;;;;;;;x
USA_smallwarship_fire_control_computer_2;3-4 ft RF, Mk 6/21 Gun Director;;;;;;;;;;;;;;x
USA_smallwarship_fire_control_computer_3;3-4 ft RF, Mk 21 Gun Director;;;;;;;;;;;;;;x
USA_smallwarship_fire_control_computer_4;4 ft RF, Mk 21 Gun Director, Mk 4 radar;;;;;;;;;;;;;;x
USA_smallwarship_fire_control_computer_5;5 ft RF, Mk 37 Gun Director, Mk 4/12 radar;;;;;;;;;;;;;;x
USA_smallwarship_fire_control_computer_6;5 ft RF, Mk 37 Gun Director, Mk 12/22 radar;;;;;;;;;;;;;;x
USA_smallwarship_fire_control_computer_7;5 ft RF, Mk 37 Gun Director, Mk 22 radar;;;;;;;;;;;;;;x
USA_smallwarship_AAA_control_computer_0;;;;;;;;;;;;;;;x
USA_smallwarship_AAA_control_computer_1;Mk 14 High-Angle Director;;;;;;;;;;;;;;x
USA_smallwarship_AAA_control_computer_2;Mk 15 High-Angle Director;;;;;;;;;;;;;;x
USA_smallwarship_AAA_control_computer_3;Mk 37 Gun Director, Mk 4/12 radar;;;;;;;;;;;;;;x
USA_smallwarship_AAA_control_computer_4;Mk 37 Gun Director, Mk 4/12/22 radar;;;;;;;;;;;;;;x
USA_smallwarship_AAA_control_computer_5;Mk 37 Gun Director, Mk 12/22 radar;;;;;;;;;;;;;;x
USA_smallwarship_AAA_control_computer_6;Mk 37 Gun Director, Mk 22 radar;;;;;;;;;;;;;;x
USA_hdfd_radio_dev_0;;;;;;;;;;;;;;x
USA_hdfd_radio_dev_1;Experimental HF/DF;;;;;;;;;;;;;;x
USA_hdfd_radio_dev_2;Mk I HF/DF;;;;;;;;;;;;;;x
USA_hdfd_radio_dev_3;Mk II HF/DF;;;;;;;;;;;;;;x
USA_hdfd_radio_dev_4;Mk III HF/DF;;;;;;;;;;;;;;x
USA_hdfd_radio_dev_5;Mk IV HF/DF;;;;;;;;;;;;;;x
USA_hdfd_radio_dev_6;Mk V HF/DF;;;;;;;;;;;;;;x
USA_hdfd_radio_dev_7;Mk VI HF/DF;;;;;;;;;;;;;;x
USA_depth_charge_0;;;;;;;;;;;;;;;x
USA_depth_charge_1;Mk I/II;;;;;;;;;;;;;;x
USA_depth_charge_2;Mk VII/IX;;;;;;;;;;;;;;x
USA_depth_charge_3;Mk VII/IX/X;;;;;;;;;;;;;;x
USA_depth_charge_4;Mk X/XI/XII;;;;;;;;;;;;;;x
USA_depth_charge_5;Mk X/XI/XII/17;;;;;;;;;;;;;;x
USA_depth_charge_6;Mk XI/XII/17;;;;;;;;;;;;;;x
USA_depth_charge_7;Mk XII/17;;;;;;;;;;;;;;x
USA_hedgehog_dev_0;;;;;;;;;;;;;;x
USA_hedgehog_dev_1;;;;;;;;;;;;;;;x
USA_hedgehog_dev_2;;;;;;;;;;;;;;;x
USA_hedgehog_dev_3;;;;;;;;;;;;;;;x
USA_hedgehog_dev_4;;;;;;;;;;;;;;;x
USA_asw_counter_measures_1;;;;;;;;;;;;;;;x
USA_heavy_antiaircraft_light_ships_0;;;;;;;;;;;;;;;x
USA_heavy_antiaircraft_light_ships_1;3"/50 Mk 10/17, 5"/38 Mk 12;;;;;;;;;;;;;;x
USA_heavy_antiaircraft_light_ships_2;3"/50 Mk 17, 5"/38 Mk 12;;;;;;;;;;;;;;x
USA_heavy_antiaircraft_light_ships_3;3"/50 Mk 17/22, 5"/38 Mk 12;;;;;;;;;;;;;;x
USA_heavy_antiaircraft_light_ships_4;3"/50 Mk 22, 5"/38 Mk 12;;;;;;;;;;;;;;x
USA_heavy_antiaircraft_light_ships_5;5"/38 Mk 12;;;;;;;;;;;;;;x
USA_heavy_antiaircraft_light_ships_6;5"/38 Mk 12;;;;;;;;;;;;;;x
USA_light_antiaircraft_light_ships_0;;;;;;;;;;;;;;;x
USA_light_antiaircraft_light_ships_1;2-4x 0.50"/90 Browning M2;;;;;;;;;;;;;;x
USA_light_antiaircraft_light_ships_2;4x 0.50"/90 Browning M2;;;;;;;;;;;;;;x
USA_light_antiaircraft_light_ships_3;0.50"/90 Browning M2, 20mm Oerlikon Mk 4;;;;;;;;;;;;;;x
USA_light_antiaircraft_light_ships_4;20mm Oerlikon Mk 4, 40mm Bofors;;;;;;;;;;;;;;x
USA_light_antiaircraft_light_ships_5;40mm Bofors, 20mm Oerlikon Mk 4;;;;;;;;;;;;;;x
USA_light_antiaircraft_light_ships_6;40mm Bofors;;;;;;;;;;;;;;x
USA##################################################;;;;;;;;;;;;;x
USA_lightcruiser_technology_0;BuShips WWI Light Cruiser Blueprint;;;;;;;;;;;;;x
USA_lightcruiser_technology_1;BuShips 1918 Light Cruiser Blueprint;;;;;;;;;;;;;x
USA_lightcruiser_technology_2;BuShips 1929 Light Cruiser Blueprint;;;;;;;;;;;;;x
USA_lightcruiser_technology_3;BuShips 1932 Light Cruiser Blueprint;;;;;;;;;;;;;x
USA_lightcruiser_class_1;BuShips 1936 Light Cruiser Blueprint;;;;;;;;;;;;;x
USA_lightcruiser_class_2;BuShips 1939 Light Cruiser Blueprint;;;;;;;;;;;;;x
USA_lightcruiser_class_3;BuShips 1942 Light Cruiser Blueprint;;;;;;;;;;;;;x
USA_lightcruiser_class_4;BuShips 1945 Light Cruiser Blueprint;;;;;;;;;;;;;x
USA_lightcruiser_class_5;BuShips 1948 Light Cruiser Blueprint;;;;;;;;;;;;;x
USA_lightcruiser_class_6;BuShips 1951 Light Cruiser Blueprint;;;;;;;;;;;;;x
USA_anti_air_cruiser_activation_1;;;;;;;;;;;;;;;x
USA_heavycruiser_technology_0;;;;;;;;;;;;;;x
USA_heavycruiser_technology_1;BuShips 1918 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
USA_heavycruiser_technology_2;BuShips 1930 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
USA_heavycruiser_technology_3;BuShips 1933 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
USA_heavycruiser_class_0;;;;;;;;;;;;;;x
USA_heavycruiser_class_1;BuShips 1936 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
USA_heavycruiser_class_2;BuShips 1939 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
USA_heavycruiser_class_3;BuShips 1942 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
USA_heavycruiser_class_4;BuShips 1945 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
USA_heavycruiser_class_5;BuShips 1948 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
USA_heavycruiser_class_6;BuShips 1951 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
USA_heavy_cruiser_naval_guns_0;;;;;;;;;;;;;;;x
USA_heavy_cruiser_naval_guns_1;8"/55 caliber Mk 9, Mk 9 turrets;;;;;;;;;;;;;;x
USA_heavy_cruiser_naval_guns_2;8"/55 caliber Mk 9, Mk 14 turrets;;;;;;;;;;;;;;x
USA_heavy_cruiser_naval_guns_3;8"/55 caliber Mk 12, Mk 15 turrets;;;;;;;;;;;;;;x
USA_heavy_cruiser_naval_guns_4;8"/55 caliber Mk 12, Mk 16 turrets;;;;;;;;;;;;;;x
USA_heavy_cruiser_naval_guns_5;8"/55 caliber Mk 12, Mk 17 turrets;;;;;;;;;;;;;;x
USA_heavy_cruiser_naval_guns_6;8"/55 caliber Mk 15, Mk 17 turrets;;;;;;;;;;;;;;x
USA_heavy_cruiser_naval_guns_7;8"/55 caliber Mk 16, Mk 18 turrets;;;;;;;;;;;;;;x
USA_heavy_cruiser_naval_guns_8;8"/55 caliber Mk 16, Mk 19 turrets;;;;;;;;;;;;;;x
USA_heavy_cruiser_naval_guns_9;8"/55 caliber Mk 18, Mk 19 turrets;;;;;;;;;;;;;;x
USA_light_cruiser_naval_guns_0;;;;;;;;;;;;;;;x
USA_light_cruiser_naval_guns_1;6"/53 caliber Mk 12;;;;;;;;;;;;;;x
USA_light_cruiser_naval_guns_2;6"/47 caliber Mk 16, Mk 17 turrets;;;;;;;;;;;;;;x
USA_light_cruiser_naval_guns_3;6"/47 caliber Mk 16, Mk 17 turrets;;;;;;;;;;;;;;x
USA_light_cruiser_naval_guns_4;6"/47 caliber Mk 17, Mk 17 turrets;;;;;;;;;;;;;;x
USA_light_cruiser_naval_guns_5;6"/47 caliber Mk 17, Mk 18 turrets;;;;;;;;;;;;;;x
USA_light_cruiser_naval_guns_6;6"/47 caliber Mk 18, Mk 18 turrets;;;;;;;;;;;;;;x
USA_light_cruiser_naval_guns_7;6"/47 caliber Mk 18, Mk 19 turrets;;;;;;;;;;;;;;x
USA_light_cruiser_naval_guns_8;6"/47 caliber Mk 19, Mk 19 turrets;;;;;;;;;;;;;;x
USA_light_cruiser_naval_guns_9;6"/47 caliber Mk 19, Mk 19 turrets;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_AP_ammo_0;;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_AP_ammo_1;Mk 6 AP;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_AP_ammo_2;Mk 9 AP;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_AP_ammo_3;Mk 11 AP;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_AP_ammo_4;Mk 12 AP;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_AP_ammo_5;Mk 13 AP;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_AP_ammo_6;Mk 14 AP;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_AP_ammo_7;Mk 15 AP;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_AP_ammo_8;Mk 16 AP;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_HE_ammo_0;;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_HE_ammo_1;Mk 5 HE;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_HE_ammo_2;Mk 9 HE;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_HE_ammo_3;Mk 11 HE;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_HE_ammo_4;Mk 12 HE;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_HE_ammo_5;Mk 13 HE;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_HE_ammo_6;Mk 14 HE;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_HE_ammo_7;Mk 15 HE;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_HE_ammo_8;Mk 16 HE;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_autoloader_0;;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_autoloader_1;;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_autoloader_2;;;;;;;;;;;;;;;x
USA_cruiser_naval_guns_autoloader_3;;;;;;;;;;;;;;;x
USA_cruiser_engine_and_boilers_0;;;;;;;;;;;;;;;x
USA_cruiser_engine_and_boilers_1;CL: 90.000 shp / CA: 100,000 shp;;;;;;;;;;;;;;x
USA_cruiser_engine_and_boilers_2;CL: 95.000 shp / CA: 105,000 shp;;;;;;;;;;;;;;x
USA_cruiser_engine_and_boilers_3;CL: 100.000 shp / CA: 110,000 shp;;;;;;;;;;;;;;x
USA_cruiser_engine_and_boilers_4;CL: 105.000 shp / CA: 115,000 shp;;;;;;;;;;;;;;x
USA_cruiser_engine_and_boilers_5;CL: 110.000 shp / CA: 120,000 shp;;;;;;;;;;;;;;x
USA_cruiser_engine_and_boilers_6;CL: 120.000 shp / CA: 130,000 shp;;;;;;;;;;;;;;x
USA_cruiser_engine_and_boilers_7;CL: 130.000 shp / CA: 145,000 shp;;;;;;;;;;;;;;x
USA_cruiser_engine_and_boilers_8;CL: 135.000 shp / CA: 160,000 shp;;;;;;;;;;;;;;x
USA_cruiser_engine_and_boilers_9;CL: 140.000 shp / CA: 180,000 shp;;;;;;;;;;;;;;x
USA_cruiser_screws_and_rudder_optimisation_0;;;;;;;;;;;;;;;x
USA_cruiser_screws_and_rudder_optimisation_1;4-Blade Bronze 4.3m pitch / Balanced, 1.200 psi;;;;;;;;;;;;;;x
USA_cruiser_screws_and_rudder_optimisation_2;4-Blade Bronze 4.6m pitch / Balanced, 1.350 psi;;;;;;;;;;;;;;x
USA_cruiser_screws_and_rudder_optimisation_3;4-Blade Bronze 4.9m pitch / Balanced, 1.500 psi;;;;;;;;;;;;;;x
