###########################################################;;;;;;;;;;;;;x
SOV_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_1;TsKB-17 1918 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_2;TsKB-17 1930 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_3;TsKB-17 1932 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_4;TsKB-17 1934 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_0;;;;;;;;;;;;;;x
SOV_destroyer_class_1;TsKB-17 1936 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_2;TsKB-17 1938 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_3;TsKB-17 1940 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_4;TsKB-17 1942 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_5;TsKB-17 1944 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_6;TsKB-17 1946 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_7;TsKB-17 1948 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_8;TsKB-17 1950 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_0;;;;;;;;;;;;;;x
SOV_frigate_class_1;TsKB-17 1939 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_2;TsKB-17 1940 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_3;TsKB-17 1942 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_4;TsKB-17 1944 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_5;TsKB-17 1946 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_6;TsKB-17 1948 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_7;TsKB-17 1950 Frigate Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_0;;;;;;;;;;;;;;x
SOV_torpedo_boat_class_1;TsKB-17 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_2;TsKB-17 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_3;TsKB-17 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_4;TsKB-17 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_5;TsKB-17 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_6;TsKB-17 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_7;TsKB-17 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_8;TsKB-17 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_9;TsKB-17 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_10;TsKB-17 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_11;TsKB-17 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_1;TsKB-17 1918 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_2;TsKB-17 1932 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_3;TsKB-17 1934 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_4;TsKB-17 1936 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_5;TsKB-17 1938 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_6;TsKB-17 1940 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_7;TsKB-17 1942 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_8;TsKB-17 1944 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_9;TsKB-17 1946 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_10;TsKB-17 1948 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_11;TsKB-17 1950 MTB Blueprint;;;;;;;;;;;;;x
SOV_heavycruiser_class_3;TsKB-17 1942 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
SOV_heavycruiser_class_4;TsKB-17 1945 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
SOV_heavycruiser_class_5;TsKB-17 1948 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
SOV_heavycruiser_class_6;TsKB-17 1951 Heavy Cruiser Blueprint;;;;;;;;;;;;;x
SOV_heavy_cruiser_naval_guns_0;;;;;;;;;;;;;;;x
SOV_heavy_cruiser_naval_guns_1;152mm/45 Pattern 1892 Canet, single pedestal mounts;;;;;;;;;;;;;;x
SOV_heavy_cruiser_naval_guns_2;180 mm/57 B-1-P guns, MK-3-180 turrets;;;;;;;;;;;;;;x
SOV_heavy_cruiser_naval_guns_3;180 mm/57 B-2 guns, MK-3-180 turrets;;;;;;;;;;;;;;x
SOV_heavy_cruiser_naval_guns_4;203 mm/50 B-3 guns, MK-3-180 turrets;;;;;;;;;;;;;;x
SOV_heavy_cruiser_naval_guns_5;220 mm/65 SM-6, MK-3-180 turrets;;;;;;;;;;;;;;x
SOV_heavy_cruiser_naval_guns_6;220 mm/65 SM-6, MK-3-220 turrets;;;;;;;;;;;;;;x
SOV_heavy_cruiser_naval_guns_7;220 mm/65 SM-7, MK-3-220 turrets;;;;;;;;;;;;;;x
SOV_heavy_cruiser_naval_guns_8;220 mm/65 SM-7, MK-3-220 turrets;;;;;;;;;;;;;;x
SOV_heavy_cruiser_naval_guns_9;220 mm/65 SM-8, MK-3-220 turrets;;;;;;;;;;;;;;x
SOV_light_cruiser_naval_guns_0;;;;;;;;;;;;;;;x
SOV_light_cruiser_naval_guns_1;130 mm/55 Pattern 1913, single pedestal mounts;;;;;;;;;;;;;;x
SOV_light_cruiser_naval_guns_2;180 mm/60 B-1-K, single pedestal mounts;;;;;;;;;;;;;;x
SOV_light_cruiser_naval_guns_3;180 mm/57 B-1-P guns, MK-3-180 turrets;;;;;;;;;;;;;;x
SOV_light_cruiser_naval_guns_4;180 mm/57 B-1-P guns, MK-3-180 turrets;;;;;;;;;;;;;;x
SOV_light_cruiser_naval_guns_5;152 mm/57 B-38, MK-5-bis turrets;;;;;;;;;;;;;;x
SOV_light_cruiser_naval_guns_6;152 mm/57 B-38, MK-5-bis turrets;;;;;;;;;;;;;;x
SOV_light_cruiser_naval_guns_7;152 mm/57 B-40, MK-6 turrets;;;;;;;;;;;;;;x
SOV_light_cruiser_naval_guns_8;152 mm/57 B-40, MK-6-bis turrets;;;;;;;;;;;;;;x
SOV_light_cruiser_naval_guns_9;152 mm/57 B-45, MK-6-bis turrets;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_AP_ammo_0;;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_AP_ammo_1;AP-18;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_AP_ammo_2;AP-32;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_AP_ammo_3;AP-35;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_AP_ammo_4;AP-38;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_AP_ammo_5;AP-41;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_AP_ammo_6;AP-44;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_AP_ammo_7;AP-47;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_AP_ammo_8;AP-50;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_HE_ammo_0;;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_HE_ammo_1;HE-18;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_HE_ammo_2;HE-32;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_HE_ammo_3;HE-35;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_HE_ammo_4;HE-38;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_HE_ammo_5;HE-41;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_HE_ammo_6;HE-44;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_HE_ammo_7;HE-47;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_HE_ammo_8;HE-50;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_autoloader_0;;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_autoloader_1;AGE Auto-loader Blueprint 1945;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_autoloader_2;AGE Auto-loader Blueprint 1948;;;;;;;;;;;;;x
SOV_cruiser_naval_guns_autoloader_3;AGE Auto-loader Blueprint 1951;;;;;;;;;;;;;x
SOV_cruiser_engine_and_boilers_0;;;;;;;;;;;;;;;x
SOV_cruiser_engine_and_boilers_1;CL: 50.000shp / CA: 11.600shp;;;;;;;;;;;;;;x
SOV_cruiser_engine_and_boilers_2;CL: 57.000shp / CA: 113.500shp;;;;;;;;;;;;;;x
SOV_cruiser_engine_and_boilers_3;CL: 113.500shp / CA: 126.500shp;;;;;;;;;;;;;;x
SOV_cruiser_engine_and_boilers_4;CL: 118.100shp / CA: 126.500shp;;;;;;;;;;;;;;x
SOV_cruiser_engine_and_boilers_5;CL: 118.100shp / CA: 140.000shp;;;;;;;;;;;;;;x
SOV_cruiser_engine_and_boilers_6;CL: 126.500shp / CA: 150.000shp;;;;;;;;;;;;;;x
SOV_cruiser_engine_and_boilers_7;CL: 126.500shp / CA: 155.000shp;;;;;;;;;;;;;;x
SOV_cruiser_engine_and_boilers_8;CL: 135.000shp / CA: 160.000shp;;;;;;;;;;;;;;x
SOV_cruiser_engine_and_boilers_9;CL: 145.000shp / CA: 170.000shp;;;;;;;;;;;;;;x
SOV_cruiser_screws_and_rudder_optimisation_0;;;;;;;;;;;;;;;x
SOV_cruiser_screws_and_rudder_optimisation_1;4-Blade Bronze 4.2m pitch/Balanced 5.5m;;;;;;;;;;;;;;x
SOV_cruiser_screws_and_rudder_optimisation_2;4-Blade Bronze 4.8m pitch /Semi-bal 5m;;;;;;;;;;;;;;x
