MESSAGE_HEAD_GOV;The Minister of Security reports;Le ministre de la sécurité rapporte que;Der Minister für innere Sicherheit meldet;;El Ministro de Seguridad informa;;;;;;;;;x
DECLWAROTHER_SETUP;When a nation declares war on another nation;Quand une nation déclare la guerre à une autre;Wenn ein Land einem anderen Land den Krieg erklärt;Kiedy jakiœ kraj wypowiada wojnê innemu pañstwu;Cuando una nación declare la guerra a otra nación.;Quando una nazione dichiara guerra a un'altra nazione;Mikor egy nemzet hadat üzen egy másik nemzetnek;Když národ vyhlásí válku jinému národu;;;;;;x
DECLWAROTHER_HEADER;$foreign_minister$ reports;$foreign_minister$ rapporte que;$foreign_minister$ berichtet:;;$foreign_minister$ informa que;;;;;;;;;x
DECLWAROTHER_1;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;;;;;;x
DECLWAROTHER_2;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $BADWORD$;Vezérünk, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;;;;;;x
DECLWAROTHER_3;declared war;a déclaré la guerre;hat ihrem neuen Feind;wypowiedzia³ wojnê.;ha declarado la guerra;hanno dichiarato guerra;hadat üzent;vyhlásil válku;;;;;;x
DECLWAROTHER_4;on their new enemy;à ses nouveaux ennemis;$DEFENDER$;Jego nowym wrogiem jest:;a su nuevo enemigo;al loro nuovo nemico;és így új ellenfelet szerzett a következõ személyében:;svým nepøátelùm;;;;;;x
DECLWAROTHER_5;$DEFENDER$;$DEFENDER$; den Krieg erklärt.;$DEFENDER$.;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;;;;;;x
DECLWAROTHER_6;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;;;;;;;x
DECLWAROTHER_LOG;$AGRESSOR$ declared war on $DEFENDER$.;$AGRESSOR$ a déclaré la guerre à $DEFENDER$.;$AGRESSOR$ hat $DEFENDER$ den Krieg erklärt.;Pañstwo $AGRESSOR$ wypowiedzia³o wojnê pañstwu $DEFENDER$.;¡$AGRESSOR$ nos ha declarado la guerra!;$AGRESSOR$ ha dichiarato guerra a $DEFENDER$.;$AGRESSOR$ hadat üzent a következõnek: $DEFENDER$.;$AGRESSOR$ vyhlásil válku $DEFENDER$.;;;;;;x
DECLWAROTHER_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
DECLWAROTHER_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
DECLWAROTHER_BTN3;Go to;Aller à;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x
DECLWAR_LIMITED;This war is a limited war.;Cette guerre est un conflit limité.;Dies ist ein eingeschränkter Krieg.;;Esta es una guerra limitada.;;;;;;;;;x
WEDECLWAR_SETUP;When we declare war on another nation;Quand nous déclarons la guerre à une autre nation;Wenn wir einem anderen Land den Krieg erklären;Kiedy wypowiadamy wojnê innemu pañstwu;Cuando declaramos la guerra a otra nación.;Quando noi dichiariamo guerra a un'altra nazione;Mikor mi üzenünk hadat egy másik nemzetnek;Když my vyhlásíme válku jinému národu;;;;;;x
WEDECLWAR_HEADER;$foreign_minister$ reports;$foreign_minister$ rapporte que;$foreign_minister$ berichtet:;;$foreign_minister$ informa que;;;;;;;;;x
WEDECLWAR_1;We declared war on;Nous avons déclaré la guerre à;Wir haben $DEFENDER$;$AGRESSOR$;Declaramos la guerra a ;Abbiamo dichiarato guerra a;Hadat üzentünk a következõnek:;Vyhlásili jsme válku;;;;;;x
WEDECLWAR_2;$DEFENDER$;$DEFENDER$;den Krieg erklärt.;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;;;;;;x
WEDECLWAR_3;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;$LIM$;;;;;;;x
WEDECLWAR_4;*;*;*;*;*;*;*;;;;;;;x
WEDECLWAR_5;*;*;*;*;*;*;*;;;;;;;x
WEDECLWAR_6;*;*;*;*;*;*;*;;;;;;;x
WEDECLWAR_LOG;We declared war on $DEFENDER$.;Nous avons déclaré la guerre à $DEFENDER$.;Wir haben $DEFENDER$ den Krieg erklärt.;Wypowiedzieliœmy wojnê $DEFENDER$.;¡$AGRESSOR$ nos ha declarado la guerra!;Abbiamo dichiarato guerra a $DEFENDER$.;Hadad üzentünk a következõnek: $DEFENDER$.;Vyhlásili jsme válku $DEFENDER$.;;;;;;x
WEDECLWAR_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
WEDECLWAR_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
WEDECLWAR_BTN3;Go to;Aller à;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x
WEDECLWAR_MAP;WAR!;DÉCLARATION DE GUERRE!;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBORÚ!;VÁLKA!;;;;;;x
MILALLACCEPT_SETUP;When a nation accepts your Military Alliance proposal;Quand une nation accepte votre proposition d'alliance militaire;Wenn ein Land Ihren Militärbündnisvorschlag annimmt;Kiedy jakiœ kraj przyjmuje nasz¹ propozycjê zawarcia sojuszu wojskowego;Cuando una nación acepte tu propuesta de alianza militar.;Quando una nazione accetta la tua proposta di alleanza militare;Mikor egy nemzet elfogadja a katonai szövetség ajánlatodat;Když národ pøijme vaši nabídku na vojenskou alianci;;;;;;x
MILALLACCEPT_HEADER;$foreign_minister$ reports;$foreign_minister$ rapporte que;$foreign_minister$ berichtet:;;$foreign_minister$ informa que;;;;;;;;;x
MILALLACCEPT_1;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x
MILALLACCEPT_2;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;Pañstwo $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;;;;;;x
MILALLACCEPT_3;accepted;a accepté;akzeptierte;zgadza siê ;ha aceptado;ha accettato;elfogadta;pøijal;;;;;;x
MILALLACCEPT_4;our offer to enter into a;notre offre de rejoindre;unsere Einladung zu einem;wejœæ do;nuestra oferta de entrar en una;di entrare nella nostra;velünk kötendõ;naši na bídku na uzavøení;;;;;;x
MILALLACCEPT_5;Military Alliance;une alliance militaire;Militärbündnis;sojuszu wojskowego.;Alianza militar;alleanza militare.;katonai szövetséget.;vojenské aliance;;;;;;x
MILALLACCEPT_6;*;*;*;*;*;*;*;;;;;;;x
MILALLACCEPT_LOG;$RECIPIENT$ entered our Military Alliance.;$RECIPIENT$ a rejoint notre alliance militaire.;$RECIPIENT$ trat unserem Militärbündnis bei.;Pañstwo $RECIPIENT$ wchodzi do naszego sojuszu wojskowego.;$RECIPIENT$ ha entrado en nuestra alianza militar.;$RECIPIENT$ è entrato nella nostra alleanza militare.;$RECIPIENT$ katonai szövetségre lépett velünk.;$RECIPIENT$ pøijal náš návrh na vojenskou alianci.;;;;;;x
MILALLACCEPT_BTN1;Perfect!;Parfait!;Perfekt!;Œwietnie!;¡Perfecto!;Perfetto!;Tökéletes!;Perfektní!;;;;;;x
MILALLACCEPT_BTN2;Perfect!;Parfait!;Perfekt!;Œwietnie!;¡Perfecto!;Perfetto!;Tökéletes!;Perfektní!;;;;;;x
MILALLACCEPT_BTN3;Go to;Aller à;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x
MILALLACCEPT_MAP;*;*;*;*;*;*;*;;;;;;;x
MILALLREJECT_SETUP;When a nation rejects your Military Alliance proposal;Quand une nation rejette votre proposition d'alliance militaire;Wenn ein Land Ihren Militärbündnisvorschlag ablehnt.;Kiedy jakiœ kraj odrzuca propozycjê wejœcia do naszego sojuszu wojskowego;Cuando una nación rechace tu propuesta de alianza militar.;Quando una nazione respinge la tua proposta di alleanza militare;Mikor egy nemzet elutasítja a katonai szövetség ajánlatunkat;Když národ odmítne vaši nabídku na vojenskou alianci;;;;;;x
MILALLREJECT_HEADER;$foreign_minister$ reports that;$foreign_minister$ rapporte que;$foreign_minister$ berichtet:;;$foreign_minister$ informa que;;;;;;;;;x
MILALLREJECT_1;An ambassador from $RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;Un embajador de $RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x
MILALLREJECT_2;$MONARCHTITLE$, we bring serious news:;$MONARCHTITLE$,;$MONARCHTITLE$, wir bringen Euch ernste Nachrichten:;Mamy wa¿ne wiadomoœci dla twego dworu:;$MONARCHTITLE$, traemos malas noticias a vuestra corte:;$MONARCHTITLE$, portiamo cattive notizie alla tua corte:;Komoly hírem vannak az udvar számára:;$MONARCHTITLE$, pøinášíme ke dvoru závažné zprávy:;;;;;;x
MILALLREJECT_3;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;Pañstwo $RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x
MILALLREJECT_4;rejected our;a rejeté;hat die;odrzuca nasz¹;ha rechazado nuestra;ha respinto la nostra;elutasította;odmítl náš návrh na;;;;;;x
MILALLREJECT_5;Military Alliance;notre proposition;Einladung in unser Bündnis;propozycjê wejœcia;Alianza militar;proposta di alleanza;a katonai szövetség;vojenskou alianci;;;;;;x
MILALLREJECT_6;proposal.;d'alliance militaire.;abgelehnt.;do sojuszu wojskowego.;alianza militar.;militare.;ajánlatunkat.;.;;;;;;x
MILALLREJECT_LOG;$RECIPIENT$ have rejected our Military Alliance proposal.;$RECIPIENT$ : ce pays a rejeté notre proposition d'alliance militaire.;$RECIPIENT$ hat unseren Militärbündnisvorschlag abgelehnt.;Pañstwo $RECIPIENT$ odrzuca nasz¹ propozycjê wejœcia do sojuszu wojskowego.;$RECIPIENT$ ha rechazado nuestra propuesta de alianza militar.;$RECIPIENT$ ha respinto la nostra proposta di alleanza militare.;$RECIPIENT$ elutasította a katonai szövetség ajánlatunkat.;$RECIPIENT$ odmítl náš návrh na vojenskou alianci.;;;;;;x
MILALLREJECT_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
MILALLREJECT_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
MILALLREJECT_BTN3;Go to;Aller à;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x
MILALLREJECT_MAP;*;*;*;*;*;*;*;;;;;;;x
MILLALLJOINREJECTOTHER_SETUP;When a nation declines another nation's request to join its Military Alliance;Quand une nation refuse la demande d'une autre nation de rejoindre son alliance militaire;Wenn ein Land die Bitte ablehnt, dem Militärbündnis eines anderen Landes beizutreten.;Kiedy jakiœ kraj odmawia proœbie innego pañstwa, chc¹cego przy³¹czyæ siê do ich sojuszu wojskowego;Una nación rehúsa la petición de otra para unirse en alianza militar.;Quando una nazione rifiuta l'offerta di alleanza militare avanzata da un'altra nazione;Mikor egy nemzet elutasít egy másik nemzet által felajánlott katonai szövetséget;Když národ odmítne návrh jiného národa na vojenskou alianci.;;;;;;x
MILLALLJOINREJECTOTHER_HEADER;$minister_of_intelligence$ reports;$minister_of_intelligence$ rapporte que;$minister_of_intelligence$ berichtet:;;$minister_of_intelligence$ informa que;;;;;;;;;x
MILLALLJOINREJECTOTHER_1;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x
MILLALLJOINREJECTOTHER_2;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;Pañstwo $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;;;;;;x
MILLALLJOINREJECTOTHER_3;declined $ACTOR$'s request;a refusé la requête de $ACTOR$;lehnte $ACTOR$s Bitte ab,;odmawia proœbie pañstwa $ACTOR$;ha declinado la solicitud de $ACTOR$;ha respinto l'offerta di $ACTOR$;elutasította $ACTOR$ ajánlatát, hogy;odmítl požadavek $ACTOR$;;;;;;x
MILLALLJOINREJECTOTHER_4;to join their;de se joindre à son;ihrem Militärbündnis;wst¹pienia do ich;de unirse a su;di entrare nella loro;legyen az õ;na vytvoøení;;;;;;x
MILLALLJOINREJECTOTHER_5;Military Alliance;alliance militaire;beizutreten;sojuszu wojskowego.;Alianza militar;alleanza militare.;katonai szövetségese.;vojenské aliance;;;;;;x
MILLALLJOINREJECTOTHER_6;*;*;*;*;*;*;*;;;;;;;x
MILLALLJOINREJECTOTHER_LOG;$RECIPIENT$ declined $ACTOR$'s request to join their Military Alliance.;$RECIPIENT$ : ce pays a refusé de rejoindre l'alliance militaire de : $ACTOR$.;$RECIPIENT$ lehnte $ACTOR$s Bitte ab, ihrem Militärbündnis beizutreten.;Pañstwo $RECIPIENT$ odmawia proœbie $ACTOR$ o przyjêcie ich do sojuszu wojskowego.;$RECIPIENT$ ha declinado la solicitud de $ACTOR$ para unirse a su alianza militar.;$RECIPIENT$ ha respinto l'offerta di alleanza militare avanzata da $ACTOR$.;$RECIPIENT$ elutasította $ACTOR$ katonai szövetségéhez való csatlakozást.;$RECIPIENT$ odmítl požadavek $ACTOR$ na vojenskou alianci.;;;;;;x
MILLALLJOINREJECTOTHER_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
MILLALLJOINREJECTOTHER_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
MILLALLJOINREJECTOTHER_BTN3;Go to;Aller à;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x
MILLALLJOINREJECTOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x
MILLALLINVACCEPTOTHER_SETUP;When a nation accepts an invitation to enter a Military Alliance with another nation;Quand une nation accepte l'invitation à se joindre à l'alliance militaire d'une autre nation;Wenn ein Land die Einladung eines anderen Landes zu einem Militärbündnis akzeptiert.;Kiedy jakiœ kraj przyjmuje zaproszenie do przy³¹czenia siê do sojuszu wojskowego;Cuando una nación acepta unirse en alianza militar con una tercera.;Quando una nazione accetta la proposta di stringere un'alleanza militare con un'altra nazione;Mikor egy nemzet elfogadja egy másik nemzet katonai szövetség ajánlatát;Když národ pøijme nabídku jiného národa na vytvoøení vojenské aliance;;;;;;x
MILLALLINVACCEPTOTHER_HEADER;$minister_of_intelligence$ reports;$minister_of_intelligence$ rapporte que;$minister_of_intelligence$ berichtet:;;$minister_of_intelligence$ informa que;;;;;;;;;x
MILLALLINVACCEPTOTHER_1;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x
MILLALLINVACCEPTOTHER_2;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;Pañstwo $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;;;;;;x
MILLALLINVACCEPTOTHER_3;entered a Military Alliance;a signé une alliance militaire;schloss ein Militärbündnis;wchodzi w sojusz wojskowy;ha entrado en una alianza militar;ha stretto un'alleanza militare;katonai szövetségre lépett;vytvoøili vojenskou alianci;;;;;;x
MILLALLINVACCEPTOTHER_4;with their new ally;avec son nouvel allié;mit ihrem neuen Verbündeten;z nowym sojusznikiem:;con sus nuevos aliados de;con il suo nuovo alleato;új szövetségesével, aki:;se svým novým spojencem;;;;;;x
MILLALLINVACCEPTOTHER_5;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$.;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x
MILLALLINVACCEPTOTHER_6;*;*;*;*;*;*;*;;;;;;;x
MILLALLINVACCEPTOTHER_LOG;$ACTOR$ entered a Military Alliance with $RECIPIENT$;$ACTOR$ - $RECIPIENT$ : signature d'une alliance entre ces deux pays.;$ACTOR$ schloss ein Militärbündnis mit $RECIPIENT$;$ACTOR$ wchodzi w sojusz wojskowy z pañstwem $RECIPIENT$.;$ACTOR$ ha entrado en una alianza militar con $RECIPIENT$;$ACTOR$ ha stretto un'alleanza militare con $ACTOR$.;$ACTOR$ katonai szövetségre lépett $RECIPIENT$ nemzetével;$ACTOR$ vytvoøili vojenskou tradici s $RECIPIENT$;;;;;;x
MILLALLINVACCEPTOTHER_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
MILLALLINVACCEPTOTHER_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
MILLALLINVACCEPTOTHER_BTN3;Go to;Aller à;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x
MILLALLINVACCEPTOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x
MILALLBANOTHER_SETUP;When a nation breaks its Alliance with another nation.;Quand une nation rompt son alliance avec une autre nation.;Wenn ein Land sein Bündnis mit einem anderen Land bricht.;Kiedy jedno z pañstw zrywa sojusz z innym krajem;Cuando una nación rompe su alianza con otra.;Quando una nazione rompe l'alleanza con un'altra nazione.;Mikor egy nemzet felbontja egy másik nemzettel szemben a katonai szövetséget;Když národ zruší vojenskou alianci s jiným národem.;;;;;;x
MILALLBANOTHER_HEADER;$minister_of_intelligence$ reports;$minister_of_intelligence$ rapporte que;$minister_of_intelligence$ berichtet:;;$minister_of_intelligence$ informa que;;;;;;;;;x
MILALLBANOTHER_1;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x
MILALLBANOTHER_2;$MONARCHTITLE$, $ACTOR$ ;$MONARCHTITLE$, $ACTOR$ ;$MONARCHTITLE$, $ACTOR$ ;$ACTOR$ ;$MONARCHTITLE$, $ACTOR$ ;$MONARCHTITLE$, $ACTOR$ ;$ACTOR$ ;$MONARCHTITLE$, $ACTOR$;;;;;;x
MILALLBANOTHER_3;broke their Alliance with;a rompu l'alliance avec : ;brach das Bündnis mit;zrywa sojusz z pañstwem;rompió su alianza con;ha rotto l'alleanza con;felbontotta a szövetséget;zrušili svoji alianci s;;;;;;x
MILALLBANOTHER_4;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$.;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$ nemzetével szemben.;$RECIPIENT$;;;;;;x
MILALLBANOTHER_5;*;*;*;*;*;*;*;;;;;;;x
MILALLBANOTHER_6;*;*;*;*;*;*;*;;;;;;;x
MILALLBANOTHER_LOG;$ACTOR$ broke their Alliance with $RECIPIENT$.;$ACTOR$ - $RECIPIENT$ : rupture d'alliance.;$ACTOR$ brach ihr Bündnis mit $RECIPIENT$.;$ACTOR$ zrywa sojusz z pañstwem $RECIPIENT$.;$ACTOR$ rompió su alianza con $RECIPIENT$.;$ACTOR$ ha rotto l'alleanza con: $RECIPIENT$.;$ACTOR$ felbontotta a szövetséget $RECIPIENT$ nemzetével.;$ACTOR$ zrušili svoji alianci s $RECIPIENT$.;;;;;;x
MILALLBANOTHER_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
MILALLBANOTHER_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
MILALLBANOTHER_BTN3;Go to;Aller à;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x
MILALLBANOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x
MILALLBAN_SETUP;When a nation breaks its alliance with you.;Quand une nation rompt son alliance avec vous.;Wenn ein Land sein Bündnis mit Ihnen bricht.;Kiedy jakieœ pañstwo zrywa z tob¹ sojusz;Cuando una nación rompe su alianza contigo.;Quando una nazione rompe l'alleanza con te.;Mikor egy nemzet veled szemben bontja fel a katonai szövetséget;Když národ zruší vojenskou alianci s vámi.;;;;;;x
MILALLBAN_HEADER;$foreign_minister$ reports;$foreign_minister$ rapporte que;$foreign_minister$ berichtet:;;$foreign_minister$ informa que;;;;;;;;;x
MILALLBAN_1;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;$ACTOR$;;;;;;x
MILALLBAN_2;$MONARCHTITLE$, $ACTOR$;$MONARCHTITLE$, $ACTOR$;$MONARCHTITLE$;$ACTOR$;$MONARCHTITLE$, $ACTOR$;$MONARCHTITLE$, $ACTOR$;$ACTOR$;$MONARCHTITLE$, $ACTOR$;;;;;;x
MILALLBAN_3;broke their Alliance with;ce pays a rompu son alliance avec;brach das Bündnis mit;zerwali sojusz z;rompió su alianza con;ha rotto l'alleanza con;felbontotta a velünk kötött;zrušili svoji alianci s;;;;;;x
MILALLBAN_4;us;nous;uns;naszym pañstwem.;nos.;noi.;katonai szövetséget.;námi;;;;;;x
MILALLBAN_5;*;*;*;*;*;*;*;;;;;;;x
MILALLBAN_6;*;*;*;*;*;*;*;;;;;;;x
MILALLBAN_LOG;$ACTOR$ broke their Alliance with us.;$ACTOR$ : rupture de l'alliance avec nous.;$ACTOR$ brach ihr Bündnis mit uns.;$ACTOR$ zerwali sojusz z naszym pañstwem.;$ACTOR$ rompió su alianza con nosotros.;$ACTOR$ ha rotto l'alleanza con noi.;$ACTOR$ felbontotta a velünk való katonai szövetséget;$ACTOR$ zrušili svoji alianci s námi.;;;;;;x
MILALLBAN_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
MILALLBAN_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
MILALLBAN_BTN3;Go to;Aller à;Gehe zu;IdŸ do;Ir allí;Andare;Menj ide:;Pøejít na;;;;;;x
MILALLBAN_MAP;*;*;*;*;*;*;*;;;;;;;x
MILALLWEBAN_SETUP;When we break an Alliance with another nation-;Quand nous rompons une alliance avec une autre nation.;Wenn wir das Bündnis mit einem anderen Land brechen.;Kiedy zrywamy sojusz z innym pañstwem.;Cuando rompemos la alianza con otra nación.;Quando rompiamo l'alleanza con un'altra nazione;Mikor mi bontunk fel egy katonai szövetséget;Když my zrušíme vojenskou alianci s jiným národem;;;;;;x
MILALLWEBAN_HEADER;$foreign_minister$ reports;$foreign_minister$ rapporte qu'un;$foreign_minister$ berichtet:;;$foreign_minister$ informa que;;;;;;;;;x
MILALLWEBAN_1;Alliance partner is dismissed!;membre de l'alliance est exclu!;Bündnispartner entlassen!;Zrywamy sojusz!;¡ha sido expulsado un socio de la alianza!;Alleanza sciolta!;Elküldtük a szövetségesünket!;Zrušili jsme alianci!;;;;;;x
MILALLWEBAN_2;$MONARCHTITLE$, we;$MONARCHTITLE$, $RECIPIENT$: nous;$MONARCHTITLE$;*;$MONARCHTITLE$, nosotros;$MONARCHTITLE$, abbiamo;Vezérem,;$MONARCHTITLE$, my;;;;;;x
MILALLWEBAN_3;broke our Alliance with;avons rompu notre alliance avec;brach unser Bündnis mit;Zerwaliœmy nasz sojusz z pañstwem;rompimos nuestra alianza con;rotto la nostra alleanza con:;felbontottuk a szövetséget a következõvel szemben:;jsme zrušili svoji alianci s;;;;;;x
