UTM_TOO_WEAK_TO_FIGHT;§YThis unit is too disorganised to move at the moment.§W;§YCette unité est actuellement trop désorganisée pour se déplacer.§W;§YDiese Einheit ist momentan zu desorganisiert zum Marschieren.§W;;§YEsta unidad se encuentra demasiado desorganizada como para moverse en este momento.§W;;;;;;;;;x
UTM_LACK_OF_FUEL;§YThis unit needs fuels to attack hostile territory.§W;§YCette unité a besoin de carburant pour attaquer le territoire ennemi.§W;§YDiese Einheit braucht Treibstoff, um in feindliches Gebiet einzumarschieren.§W;;§YEsta unidad necesita combustible para atacar el territorio enemigo.§W;;;;;;;;;x
UTM_MAY_SHATTER;§YThis unit has too little strength, and thus may shatter if going into combat.§W;§YCette unité n’a pas assez de force et risque de se disperser au combat.§W;§YDiese Einheit hat nicht genug Stärke und könnte daher im Gefecht zerschlagen werden.§W;;§YEsta unidad tiene muy poca fuerza, y podría quedar destruida si entra en combate.§W;;;;;;;;;x
EVTNAME513;Spanish Civil War - Defeat!;Guerre civile espagnole – Défaite !;Spanischer Bürgerkrieg - Niederlage!;;La Guerra Civil Española: ¡Derrota!;;;;;;;;;x
EVTDESC513;After a long and bloody struggle, the Republican forces finally managed to beat the Nationalist side into submission.;Après de longs et sanglants combats, les forces républicaines parvinrent finalement à vaincre les Nationalistes.;Nach einem langen, blutigen Kampf haben die republikanischen Truppen die Nationalisten endlich unterworfen.;;Tras una larga y sangrienta contienda, las fuerzas republicanas lograron derrotar finalmente al bando nacional.;;;;;;;;;x
EVTOPTA513;How could this happen?;Comment cela a-t-il pu se produire ?;Wie konnte das passieren?;;¿Cómo ha podido suceder?;;;;;;;;;x
OV_NO_VALID_ORDER;No valid order is selected.;Aucun ordre valide sélectionné.;Kein gültiger Befehl ausgewählt.;;No se ha seleccionado ninguna orden válida.;;;;;;;;;x
OV_NO_VALID_PROVINCES;No valid provinces selected;Aucune province valide sélectionnée.;Keine gültigen Provinzen ausgewählt.;;No se han seleccionado provincias válidas;;;;;;;;;x
CONFIRM_CHANGE_LAW_TITLE;Change Law;Changer la loi;Gesetz ändern;;Cambiar ley;;;;;;;;;x
CONFIRM_CHANGE_LAW_DESC;Are you sure you wish to enact the new law §Y$LAW$§W?;Êtes-vous sûr de vouloir adopter la nouvelle loi §Y$LAW$§W ?;Sind Sie sicher, das neue Gesetz §Y$LAW$§W erlassen zu wollen?;;¿Seguro que quieres promulgar la nueva ley §Y$LAW$§W?;;;;;;;;;x
ESP_ESTIMATE_RES;Our spies estimate a total of §Y$NUM$§W $ITEM$;Nos espions estiment un total de §Y$NUM$§W $ITEM$;Die Schätzungen unserer Spione belaufen sich auf insgesamt §Y$NUM$§W $ITEM$;;Nuestros espías calculan un total de §Y$NUM$§W $ITEM$;;;;;;;;;x
ESP_NUM_SPIES;We currently have §Y$NUM$§W spies in §Y$NATION$§W.;Nous avons actuellement §Y$NUM$§W espions à §Y$NATION$§W.;Wir haben momentan §Y$NUM$§W Spione in §Y$NATION$§W.;;Actualmente tenemos §Y$NUM$§W espía(s) en §Y$NATION$§W.;;;;;;;;;x
ESP_NUM_SPIES_DELAYED;New spies will be sent here with a priority of §Y$PRIO$§W as they become available. You can have a maximum of §Y10§W active spies in a nation.;De nouveaux espions seront envoyés ici avec une priorité de §Y$PRIO$§W dès qu’ils seront disponibles. Vous pouvez disposer d’un maximum de §Y10§W espions actifs par nation.;Neue Spione werden mit einer Priorität von §Y$PRIO$§W hierhin entsendet, sobald sie verfügbar werden. Sie können maximal §Y10§W aktive Spione in einem Land haben.;;Se enviarán nuevos espías aquí con una prioridad de §Y$PRIO$§W a medida que estén disponibles. Puedes tener un máximo de §Y10§W espías activos en una nación.;;;;;;;;;x
ESP_ESTIMATE_RES_DELAY;This value is an estimate. You can increase the accuracy by sending more spies or appointing minister with this speciality.;Cette valeur est une estimation. Pour plus de précision, envoyez davantage d’espions ou nommez un ministre doté de cette spécialité.;Dieser Wert ist eine Schätzung. Sie können die Genauigkeit erhöhen, indem Sie mehr Spione entsenden oder einen Minister mit diesem Spezialgebiet ernennen.;;Este valor es aproximado. Puedes aumentar la precisión enviando más espías o designando a un ministro con esta especialidad.;;;;;;;;;x
ESP_ESTIMATE_RES_DELAY_SPEC;You can also assign your spies to the §Y$MISS$§W mission.;Vous pouvez également affecter vos espions à la mission §Y$MISS$§W.;Sie können Ihre Spione auch in die §Y$MISS$§W-Mission schicken.;;También puedes asignar a tus espías a la misión: §Y$MISS$§W.;;;;;;;;;x
attach_label;Select HQ;Sélectionner le QG;HQ auswählen;;Seleccionar CG;;;;;;;;;x
OUR_NEUTRALITY;Our Neutrality;Notre neutralité;Unsere Neutralität;;Nuestra neutralidad;;;;;;;;;x
SPIES_CAUGHT;Spies Caught;Espions arrêtés;Gefasste Spione;;Espías capturados;;;;;;;;;x
INTERNAL;Internal;En interne;Intern;;Internos;;;;;;;;;x
EXTERNAL;External;En externe;Extern;;Externos;;;;;;;;;x
ESP_SPIES_CAUGHT;We have caught §Y$NUM$§W foreign spies in the last month.;Nous avons arrêté §Y$NUM$§W espions étrangers au cours du mois dernier.;Wir haben im letzten Monat §Y$NUM$§W ausländische Spione gefasst.;;Hemos capturado §Y$NUM$§W espías extranjeros durante el último mes.;;;;;;;;;x
ESP_NEUTRALITY;Our neutrality is currently §Y$NUM$§W.;Notre neutralité est actuellement de §Y$NUM$§W.;Unsere Neutralität liegt momentan bei §Y$NUM$§W.;;Nuestra neutralidad es actualmente de §Y$NUM$§W.;;;;;;;;;x
SPYMISSION_NONE;None;Aucune;Keine;;Ninguno;;;;;;;;;x
ESP_NATIONAL_UNITY;National Unity;Unité nationale;Nationaler Zusammenhalt;;Unidad nacional;;;;;;;;;x
UNITY_NOT_TRIGGER;National Unity below §Y$VALUE$%§W\n;Unité nationale inférieure à §Y$VALUE$%§W\n;Nationaler Zusammenhalt unter §Y$VALUE$%§W\n;;Unidad nacional por debajo de §Y$VALUE$%§W\n;;;;;;;;;x
DIP_TO_NEUTR_THREAT;The difference between our neutrality and the highest threat against us is too high. This value is §Y$VAL$§W while it needs to be lower than §Y$LIM$§W;La différence entre notre neutralité et la pire menace qui pèse sur nous est trop élevée. Cette valeur s’élève à §Y$VAL$§W alors qu’elle doit être inférieure à §Y$LIM$§W;Der Unterschied zwischen unserer Neutralität und der größten Bedrohung gegen uns ist zu hoch. Dieser Wert liegt jetzt bei §Y$VAL$§W, muss aber unter §Y$LIM$§W fallen;;La diferencia entre nuestra neutralidad y la mayor amenaza contra nosotros es demasiado alta. Este valor es de §Y$VAL$§W aun debiendo estar por debajo de §Y$LIM$§W;;;;;;;;;x
DIP_THEY_TO_NEUTR_THREAT;The difference between their neutrality and the highest threat against them is too high. This value is §Y$VAL$§W while it needs to be lower than §Y$LIM$§W;La différence entre leur neutralité et la pire menace qui pèse sur eux est trop élevée. Cette valeur s’élève à §Y$VAL$§W alors qu’elle doit être inférieure à §Y$LIM$§W;Der Unterschied zwischen ihrer Neutralität und der größten Bedrohung gegen sie ist zu hoch. Dieser Wert liegt jetzt bei §Y$VAL$§W, muss aber unter §Y$LIM$§W fallen;;La diferencia entre su neutralidad y la mayor amenaza contra ellos es demasiado alta. Este valor es de §Y$VAL$§W aun debiendo estar por debajo de §Y$LIM$§W;;;;;;;;;x
PROV14127;Bolshoy Shantar;Bolshoy Shantar;Bolshoy Shantar;;Bolshoy Shantar;;;;;;;;;x
PROV14128;Gough Island;Île de Gough;Gough Island;;Isla de Gough;;;;;;;;;x
southern_france_region;Southern France;Sud de la France;Südfrankreich;;Sur de Francia;;;;;;;;;x
DIP_HIGHEST_THREAT;Highest Threat :;Pire menace :;Größte Bedrohung:;;Mayor amenaza:;;;;;;;;;x
DIP_HIGHEST_THREAT_TOOLTIP;The highest perceived threat in their region is §Y$COUNTRY$§W. Their threat value to us is §Y$VAL$§W;La pire menace qui pèse sur notre région est la suivante : §Y$COUNTRY$§W. La valeur de cette menace s’élève à : §Y$VAL$§W;Die vermutlich größte Bedrohung in ihrer Region ist §Y$COUNTRY$§W. Ihr Bedrohungswert für uns ist §Y$VAL$§W;;La mayor amenaza percibida en nuestra región es §Y$COUNTRY$§W. Su valor de amenaza contra nosotros es de §Y$VAL$§W;;;;;;;;;x
DIP_HIGHEST_THREAT_TOOLTIP_DELAYED;While you might not feel threatened by this nation, their belligerent actions may be used to jusitfy aggressive behaviour of your own;Même si vous ne vous sentez pas menacé par cette nation, leurs actions belligérantes peuvent suffire à justifier votre comportement agressif.;Während Sie sich vielleicht nicht von diesem Land bedroht fühlen, so können ihre kriegerischen Handlungen zur Rechtfertigung unseres eigenen aggressiven Verhaltens genutzt werden;;Si bien puede que no te sientas amenazado por esta nación, sus acciones beligerantes pueden emplearse para justificar un comportamiento agresivo por tu parte.;;;;;;;;;x
VASSALPROVNUM;They will receive $NUMBER$ provinces.;Ils recevront $NUMBER$ provinces.;Sie erhalten $NUMBER$ Provinzen.;Otrzymaj¹ $NUMBER$ prowincji.;Recibirán $NUMBER$ provincias.;Riceveranno $NUMBER$ province.;$NUMBER$ tartományt fognak szerezni.;Obdrží $NUMBER$ provincií.;;;;;;x
IS_NOT_VASSAL_OF;Is NOT a puppet of ;N’est PAS un état fantoche de ;Ist KEINE Marionette von ;;NO es un títere de ;;;;;;;;;x
IS_VASSAL_OF;Is a puppet of ;Est un état fantoche de;Ist eine Marionette von;;Es un títere de ;;;;;;;;;x
TRADENEWDESCTWO;§WWe offer §Y$COUNTRY$§W to §Y$TYPE$§W $SELL$ per day for $BUY$ per day.;§WNous offrons §Y$COUNTRY$§W à §Y$TYPE$§W $SELL$ par jour moyennant $BUY$ par jour.;§WWir bieten §Y$COUNTRY$§W an, täglich $SELL$ für $BUY$ zu §Y$TYPE$§W.;;§WOfrecemos a §Y$COUNTRY$§W §Y$TYPE$§W $SELL$ al día por $BUY$ al día.;;;;;;;;;x
TRADE_SELL;Sell;Vendre;kaufen;;Ven;;;;;;;;;x
TRADE_BUY;Buy;Acheter;verkaufen;;Com;;;;;;;;;x
TRADE_TRADE;Trade;Commercer;Tauschen;;Comercio;;;;;;;;;x
TRADE_TOOL_REQDESC;$COUNTRY$ would like $TO$ each day in exchange for $FROM$ each day.;$COUNTRY$ aimerait $TO$ par jour en échange de $FROM$ par jour.;$COUNTRY$ hätte gerne täglich $TO$ zum Preis von $FROM$.;;$COUNTRY$ quisiera $TO$ al día a cambio de $FROM$ al día.;;;;;;;;;x
northern_spain_region;Northern Spain;Nord de l’Espagne;Nordspanien;;Norte de España;;;;;;;;;x
eastern_spain_region;Eastern Spain;Est de l’Espagne;Ostspanien;;Este de España;;;;;;;;;x
west_germany_region;West Germany;Allemagne de l’Ouest;Westdeutschland;;Alemania Occidental;;;;;;;;;x
POL_EVENTS;Events: ;Événements : ;Ereignisse: ;;Sucesos: ;;;;;;;;;x
POL_SPIES;Spies: ;Espions : ;Spione: ;;Espías: ;;;;;;;;;x
POL_PARTY_POP_FACTORS;Internal Factors: ;Facteurs internes : ;Interne Faktoren: ;;Factores internos: ;;;;;;;;;x
POL_PARTY_MINISTER_DISSENT;Dissent penalty from ministers: ;Pénalité de dissidence des ministres : ;Unmutsabzüge von Ministern: ;;Penalización de disensión de los ministros: ;;;;;;;;;x
POL_PARTY_DISTANCE_FROM_ORG;Distance from organisation value: ;Distance par rapport à la valeur d’organisation : ;Unterschied zum Organisationswert: ;;Distancia del valor de organización: ;;;;;;;;;x
PO_NO_CHANGE;No changes this month;Aucun changement ce mois-ci;Keine Änderungen diesen Monat;;Sin cambios este mes;;;;;;;;;x
FE_NONE_FOUND;None;Aucun;Keine;;Ninguno;;;;;;;;;x
EVTNAME2007;Spanish Civil War - French Intervention;Guerre civile espagnole – Intervention française;Spanischer Bürgerkrieg - Französische Intervention;;La Guerra Civil Española: La intervención francesa;;;;;;;;;x
EVTDESC2007;In early 1936 after the electoral victory of the Socialists popular demands for social equality evolved into a virtual revolution against the clergy, landowners and monarchists. Mobs attacked churches and tried to collectivise farms. Unions started strikes and anarchists assassinated ‘enemies of the people’. The newly installed government was unable to restore order. The Spanish army joined the Conservatives and Catholics to put down the social revolution and they thus styled themselves, the Nationalists. The government facing an army rebellion styled themselves, Republicans and decided to fight joining in with the forces of revolution. The Spanish Civil War had begun! Many countries like Germany, Italy and the Soviet Union intervened with forces in the conflict.;Au début de l'année 1936, après la victoire électorale de la gauche, les demandes du peuple pour une plus grande égalité se transforment en une véritable révolution contre le clergé, les propriétaires terriens et les monarchistes. La foule s'en prend aux églises et tente de collectiviser des fermes. Les syndicats lancent des grèves et les anarchistes assassinent les « ennemis du peuple ». Le gouvernement nouvellement formé se montre incapable de rétablir l'ordre. L'armée espagnole se rallie aux conservateurs et aux catholiques pour écraser la révolution socialiste et forment le camp des nationalistes. Le gouvernement, qui doit résister à la rébellion de l'armée, regroupe les Républicains sous sa bannière et décide de joindre ses efforts à ceux des forces révolutionnaires. La guerre civile espagnole vient de commencer ! De nombreux pays comme l'Allemagne, l'Italie ou l'Union Soviétique interviennent directement, en envoyant des troupes.;Nach dem Wahlsieg der Sozialisten Anfang 1936 kulminierten die Rufe nach sozialer Gerechtigkeit binnen Kürze zu einer Revolution gegen Klerus, Landbesitzer und Monarchisten. Aufgebrachte Volksmengen griffen Kirchen an und versuchten, Bauernhöfe in Kollektive umzuwandeln. Gewerkschaften begannen Streiks, und Anarchisten ermordeten ‘Volksfeinde’. Die neu eingesetzte Regierung war unfähig, die Ordnung aufrecht zu halten. Im Kampf gegen die soziale Revolution schloss sich die spanische Armee den Konservativen und Katholiken an, und dieses neue politische Gebinde nannte sich nun Nationalisten. Angesichts des drohenden Armeeputsches ernannte sich die Regierung zu Republikanern und beschloss, an der Seite der Revolutionstruppen zu kämpfen. Der Spanische Bürgerkrieg hatte begonnen! Viele Länder wie Deutschland, Italien und die Sowjetunion schickten Truppen in den Konflikt.;;A principios de 1936, tras la victoria electoral de los socialistas, las exigencias populares de igualdad social se convirtieron virtualmente en una revolución contra el estamento clerical, los terratenientes y los monárquicos. Las masas atacaron iglesias e intentaron colectivizar granjas. Los sindicatos iniciaron huelgas y los anarquistas asesinaron a los 'enemigos del pueblo'. El recién elegido gobierno fue incapaz de restablecer el orden. El ejército español se unió a los conservadores y a los católicos para acabar con la revolución social, y se denominaron a sí mismos 'nacionales'. El gobierno que se enfrentaba a una rebelión militar se denominó a sí mismo 'republicano', y decidió unirse a las fuerzas revolucionarias. ¡La Guerra Civil Española había comenzado! Muchos países, como Alemania, Italia y la Unión Soviética, enviaron fuerzas para que intervinieran en el conflicto.;;;;;;;;;x
EVTOPTA2007;We need all the help we can get;Nous avons besoin de toute l'aide possible;Wir brauchen alle Hilfe, die wir bekommen können;;Necesitamos toda la ayuda posible;;;;;;;;;x
EVTNAME2008;Spanish Civil War - British Intervention;Guerre civile espagnole – Intervention britannique;Spanischer Bürgerkrieg - Britische Intervention;;La Guerra Civil Española: Intervención británica;;;;;;;;;x
EVTNAME2009;Spanish Civil War - Soviet Intervention;Guerre civile espagnole – Intervention soviétique;Spanischer Bürgerkrieg - Sowjetische Intervention;;La Guerra Civil Española: La intervención soviética;;;;;;;;;x
EVTNAME2010;Spanish Civil War - German Intervention;Guerre civile espagnole – Intervention allemande;Spanischer Bürgerkrieg - Deutsche Intervention;;La Guerra Civil Española: La intervención alemana;;;;;;;;;x
EVTNAME2011;Spanish Civil War - Italian Intervention;Guerre civile espagnole – Intervention italienne;Spanischer Bürgerkrieg - Italienische Intervention;;La Guerra Civil Española: La intervención italiana;;;;;;;;;x
POL_CURRENT_LAW;This is the law currently enacted;Il s’agit de la loi actuellement en vigueur;Dies ist das momentan geltende Gesetz;;Ésta es la ley actualmente promulgada;;;;;;;;;x
EVTNAME514;$FROMCOUNTRY$ has surrendered!;$FROMCOUNTRY$ a capitulé !;$FROMCOUNTRY$ hat kapituliert!;;¡$FROMCOUNTRY$ se ha rendido!;;;;;;;;;x
EVTDESC514;$FROMCOUNTRY$ has finally realised that they have no other option but to surrender. Their troops are far too weary to fight on, and they lack the financial means to sustain their army.;$FROMCOUNTRY$ a enfin réalisé qu’il lui fallait capituler. Ses troupes sont trop lasses pour continuer de se battre et ses moyens financiers sont insuffisants pour soutenir son armée.;$FROMCOUNTRY$ hat endlich eingesehen, dass ihnen keine andere Wahl außer der Kapitulation bleibt. Ihre Soldaten sind viel zu ausgelaugt, um weiter zu kämpfen, und die finanziellen Mittel zum Unterhalt ihrer Truppen sind erschöpft.;;$FROMCOUNTRY$ finalmente se ha dado cuenta de que no le queda más opción que la rendición. Sus tropas están demasiado desgastadas como para seguir luchando, y carecen de los medios económicos para sostener su ejército.;;;;;;;;;x
EVTOPTA514;At last!;Enfin !;Endlich!;;¡Por fin!;;;;;;;;;x
EVTNAME515;$FROMCOUNTRY$ refuses to surrender!;$FROMCOUNTRY$ refuse de capituler !;$FROMCOUNTRY$ weigert sich, zu kapitulieren!;;¡$FROMCOUNTRY$ rechaza la rendición!;;;;;;;;;x
EVTDESC515;$FROMCOUNTRY$ refuses to realise that they have no other option but to surrender. Although it's obvious that their troops are far too weary, and they lack any financial means to sustain their army, they have decided to fight on.;$FROMCOUNTRY$ refuse de réaliser qu’il lui faut capituler. Même si ses troupes sont lasses et ses moyens financiers insuffisants pour soutenir son armée, ce pays a décidé de continuer de se battre.;$FROMCOUNTRY$ verweigert sich der Einsicht, dass ihnen keine Wahl außer der Kapitulation bleibt. Obwohl ihre Soldaten ganz offensichtlich viel zu erschöpft sind, um weiter zu kämpfen, und die finanziellen Mittel zum Unterhalt ihrer Truppen ihnen längst ausgegangen sind, haben sie sich entschlossen, den Kampf weiterzuführen.;;$FROMCOUNTRY$ se niega a admitir que no le queda más opción que la rendición. Si bien es evidente que sus tropas están demasiado desgastadas y que carecen de los medios económicos para sostener su ejército, han decidido seguir luchando.;;;;;;;;;x
EVTOPTA515;Clearly, they are not in touch with reality;De toute évidence, ce pays n’a pas le sens des réalités;Ganz offensichtlich haben sie den Bezug zur Realität verloren.;;Está claro que han perdido pie con la realidad;;;;;;;;;x
national_socialist_AST;National Socialist League;Ligue nationale socialiste;Liga der Nationalsozialisten;;Liga Nacionalsocialista;;;;;;;;;x;
fascistic_AST;Australian Union of Fascists;Union australienne fasciste;Australische faschistische Union;;Unión Australiana de Fascistas;;;;;;;;;x;
paternal_autocrat_AST;Country Party;Parti national;Bauernpartei;;Partido Campesino;;;;;;;;;x;
social_conservative_AST;Liberal and Country League;Ligue libérale et nationale;liberlae Bauern;;Liga Campesina Liberal;;;;;;;;;x;
market_liberal_AST;United Australia Party;Parti australien uni;Vereinte australische Partei;;Partido Unido de Australia;;;;;;;;;x;
social_liberal_AST;Douglas Credit Party;Parti de Douglas;Douglas Credit Party;;Partido Douglas Credit;;;;;;;;;x;
social_democrat_AST;Labour Party;Parti travailliste;Arbeiterpartei;;Partido Laborista;;;;;;;;;x;
left_wing_radical_AST;Movement Against War and Fascism;Mouvement contre la guerre et le fascisme;Bewegung gegen Krieg und Faschismus;;Movimiento Contra la Guerra y el Fascismo;;;;;;;;;x;
leninist_AST;State Labour Party;Parti travailliste d’État;Staatliche Arbeiter Partei;;Partido Laborista Estatal;;;;;;;;;x;
stalinist_AST;Communist Party of Australia;Parti communiste australien;kommunistische Partei Australiens;;Partido Comunista de Australia;;;;;;;;;x;
LEDGER_TRADED_FOR;Traded For;Provenant des importations;Eingehandelt;;Intercambiado por;;;;;;;;;x;
LEDGER_TRADED_AWAY;Traded Away;D’exportations;Weggehandelt;;Enviado;;;;;;;;;x;
ICON_EXPEDITION;Expeditionary Force;Corps expéditionnaire;Expeditionstruppen;;Fuerza expedicionaria;;;;;;;;;x;
SAVED_GAMES;Saved Game;Partie sauvegardée;Gespeicherter Spielstand;;Partida guardada;;;;;;;;;x;
national_socialist_CZE;Sudetendeutsche Partei;Sudetendeutsche Partei;Sudetendeutsche Partei;;Sudetendeutsche Partei;;;;;;;;;;x
fascistic_CZE;Národní obec faszisticka;Národní obec faszisticka;Národní obec faszisticka;;Národní obec faszisticka;;;;;;;;;;x
paternal_autocrat_CZE;Hlinkova slovenská ludová strana;Hlinkova slovenská ludová strana;Hlinkova slovenská ludová strana;;Hlinkova slovenská ludová strana;;;;;;;;;;x
social_conservative_CZE;Ceskoslovenská strana lidová;Ceskoslovenská strana lidová;Ceskoslovenská strana lidová;;Ceskoslovenská strana lidová;;;;;;;;;;x
market_liberal_CZE;Ceskoslovenská národní demokracie;Ceskoslovenská národní demokracie;Ceskoslovenská národní demokracie;;Ceskoslovenská národní demokracie;;;;;;;;;;x
social_liberal_CZE;Ceskoslovenská strana národne socialistická;Ceskoslovenská strana národne socialistická;Ceskoslovenská strana národne socialistická;;Ceskoslovenská strana národne socialistická;;;;;;;;;;x
social_democrat_CZE;Agrární strana;Agrární strana;Agrární strana;;Agrární strana;;;;;;;;;;x
left_wing_radical_CZE;Ceskoslovenská sociálne demokratická strana delnická;Ceskoslovenská sociálne demokratická strana delnická;Ceskoslovenská sociálne demokratická strana delnická;;Ceskoslovenská sociálne demokratická strana delnická;;;;;;;;;;x
leninist_CZE;Ceskoslovenska Komunistická strana;Ceskoslovenska Komunistická strana;Ceskoslovenska Komunistická strana;;Ceskoslovenska Komunistická strana;;;;;;;;;;x
stalinist_CZE;Komunistická strana Ceskoslovenska;Komunistická strana Ceskoslovenska;Komunistická strana Ceskoslovenska;;Komunistická strana Ceskoslovenska;;;;;;;;;;x
FE_PAUSED_TEXT;Paused;Pause;Pausiert;;En pausa;;;;;;;;;;x
construction_practical;Construction Practical;Connaissances pratiques en construction;Praktische Erf. - Bau;;Práctica de construcción;;;;;;;;;;x
PV_OCEAN_DESC;Only ships can enter this province;Seuls les navires ont accès à cette province;Nur Schiffe können in diese Provinz fahren;;Solo los barcos pueden acceder a esta provincia;;;;;;;;;;x
#PROV14129;Bonin Islands;Îles Bonin;Bonin Islands;;Islas Bonin;;;;;;;;;x;
#PROV14130;Lake Michigan;Lac Michigan;Michigansee;;Lago Michigan;;;;;;;;;x;
#PROV14131;Lake Huron;Lac Huron;Huronsee;;Lago Hurón;;;;;;;;;x;
#PROV14132;Lake Superior;Lac Supérieur;Oberer See;;Lago Superior;;;;;;;;;x
#PROV14133;Lake Erie;Lac Erié;Eriesee;;Lago Erie;;;;;;;;;x
#PROV14134;Lake Ontario;Lac Ontario;Ontariosee;;Lago Ontario;;;;;;;;;x
