#MODEL_TAG;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Technology model names                       #;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
### Surface Fleet ###;;;;;;;;;;;;;;x
### Motor-Torpedo-Boat ###;;;;;;;;;;;;;;x
GER_destroyer_actual_5;Zerstörer Typ 1938-Class;;;;;;;;;;;;;x
GER_destroyer_actual_6;Zerstörer Typ 1938B-Class;;;;;;;;;;;;;x
GER_destroyer_actual_7;Zerstörer Typ 1939-Class;;;;;;;;;;;;;x
GER_destroyer_actual_8;Zerstörer Typ 1942-Class;;;;;;;;;;;;;x
GER_destroyer_actual_9;Zerstörer Typ 1945-Class;;;;;;;;;;;;;x
GER_destroyer_actual_10;Zerstörer Typ 1945A-Class;;;;;;;;;;;;;x
GER_destroyer_actual_11;Zerstörer Typ 1945C-Class;;;;;;;;;;;;;x
### Frigate ###;;;;;;;;;;;;;;x
GER_frigate_0;Geleitboot Typ 1941-Class;;;;;;;;;;;;;x
GER_frigate_1;Geleitboot Typ 1941A-Class;;;;;;;;;;;;;x
GER_frigate_2;Geleitboot Typ 1943-Class;;;;;;;;;;;;;x
GER_frigate_3;Geleitboot Typ 1943B-Class;;;;;;;;;;;;;x
GER_frigate_4;Geleitboot Typ 1943D-Class;;;;;;;;;;;;;x
### Light Cruiser ###;;;;;;;;;;;;;;x
GER_light_cruiser_0;Emden-Class;;;;;;;;;;;;;;x
GER_light_cruiser_1;Königsberg-Class;;;;;;;;;;;;;x
GER_light_cruiser_2;Leipzig-Class;;;;;;;;;;;;;x
GER_light_cruiser_3;Nurnberg-Class;;;;;;;;;;;;;x
GER_light_cruiser_4;M-Class;;;;;;;;;;;;;x
GER_light_cruiser_5;Q-Class;;;;;;;;;;;;;x
GER_light_cruiser_6;R-Class;;;;;;;;;;;;;x
### Heavy Cruiser ###;;;;;;;;;;;;;;x
GER_heavy_cruiser_0;FILLER;;;;;;;;;x
GER_heavy_cruiser_1;Blücher-Class;;;;;;;;;;;;;x
GER_heavy_cruiser_2;H–A / H–B / H–C-Class;;;;;;;;;;;;;x
GER_heavy_cruiser_3;Admiral Hipper-Class;;;;;;;;;;;;;x
GER_heavy_cruiser_4;Prinz Eugen-Class;;;;;;;;;;;;;x
GER_heavy_cruiser_5;Lutzow-Class;;;;;;;;;;;;;x
GER_heavy_cruiser_6;P-Class;;;;;;;;;;;;;x
GER_heavy_cruiser_7;Hohenzollern-Class;;;;;;;;;;;;;x
### Anti-Air Cruiser ###;;;;;;;;;;;;;;x
GER_anti_air_cruiser_0;Arcona/Medusa-Class;;;;;;;;;;;;;x
GER_anti_air_cruiser_1;Leipzig-Class;;;;;;;;;;;;;x
GER_anti_air_cruiser_2;Nurnberg-Class;;;;;;;;;;;;;x
GER_anti_air_cruiser_3;M-Class;;;;;;;;;;;;;x
GER_anti_air_cruiser_4;Q-Class;;;;;;;;;;;;;x
### Battlecruiser ###;;;;;;;;;;;;;;x
GER_battlecruiser_0;Moltke-Class;;;;;;;;;;;;;x
GER_battlecruiser_1;Derfflinger-Class;;;;;;;;;;;;;x
GER_battlecruiser_2;Mackensen-Class;;;;;;;;;;;;;x
GER_battlecruiser_3;Ersatz Yorck-Class;;;;;;;;;;;;;x
GER_battlecruiser_4;O-Class;;;;;;;;;;;;;x
GER_battlecruiser_5;KW-45-Class;;;;;;;;;;;;;x
### Coastal Battleship ###;;;;;;;;;;;;;;x
GER_coastal_battleship_1;Braunschweig-Class;;;;;;;;;;;;;x
GER_coastal_battleship_2;Deutschland (Pre-Dreadnought)-Class;;;;;;;;;;;;;x
### Pocket Battleship ###;;;;;;;;;;;;;;x
GER_pocket_battleship_0;Prototype Deutschland-Class;;;;;;;;;;;;;x
GER_pocket_battleship_1;Deutschland-Class;;;;;;;;;;;;;x
GER_pocket_battleship_2;Deutschland D-Class;;;;;;;;;;;;;x
GER_pocket_battleship_3;Deutschland P-Class;;;;;;;;;;;;;x
GER_pocket_battleship_4;Deutschland O-Class;;;;;;;;;;;;;x
GER_pocket_battleship_5;Deutschland Q-Class;;;;;;;;;;;;;x
GER_pocket_battleship_6;Deutschland Z-Class;;;;;;;;;;;;;x
PBB_Deutschland_0;Prototype Deutschland (Deutschland-Class);;;;;;;;;;;;;x
PBB_Deutschland_1;Deutschland (Deutschland-Class);;;;;;;;;;;;;x
PBB_Deutschland_2;Deutschland D-Class;;;;;;;;;;;;;x
PBB_Deutschland_3;Deutschland P-Class;;;;;;;;;;;;;x
PBB_Deutschland_4;Deutschland O-Class;;;;;;;;;;;;;x
PBB_Deutschland_5;Deutschland Q-Class;;;;;;;;;;;;;x
PBB_Deutschland_6;Deutschland Z-Class;;;;;;;;;;;;;x
PBB_Adm_Scheer_0;Prototype Admiral Scheer Deutschland-Class;;;;;;;;;;;;;x
PBB_Adm_Scheer_1;Admiral Scheer Deutschland-Class;;;;;;;;;;;;;x
PBB_Adm_Scheer_2;Admiral Scheer D-Class;;;;;;;;;;;;;x
PBB_Adm_Scheer_3;Admiral Scheer P-Class;;;;;;;;;;;;;x
PBB_Adm_Scheer_4;Admiral Scheer O-Class;;;;;;;;;;;;;x
PBB_Adm_Scheer_5;Admiral Scheer Q-Class;;;;;;;;;;;;;x
PBB_Adm_Scheer_6;Admiral Scheer Z-Class;;;;;;;;;;;;;x
PBB_Graf_Spee_0;Prototype Admiral Graf Spee Deutschland-Class;;;;;;;;;;;;;x
PBB_Graf_Spee_1;Admiral Graf Spee Deutschland-Class;;;;;;;;;;;;;x
PBB_Graf_Spee_2;Admiral Graf Spee D-Class;;;;;;;;;;;;;x
PBB_Graf_Spee_3;Admiral Graf Spee P-Class;;;;;;;;;;;;;x
PBB_Graf_Spee_4;Admiral Graf Spee O-Class;;;;;;;;;;;;;x
PBB_Graf_Spee_5;Admiral Graf Spee Q-Class;;;;;;;;;;;;;x
PBB_Graf_Spee_6;Admiral Graf Spee Z-Class;;;;;;;;;;;;;x
### Battleship ###;;;;;;;;;;;;;;x
GER_battleship_0;Nassau-Class;;;;;;;;;;;;;x
GER_battleship_1;König-Class;;;;;;;;;;;;;x
GER_battleship_2;Scharnhorst 1939-Class;;;;;;;;;;;;;x
GER_battleship_3;Scharnhorst 1942-Class;;;;;;;;;;;;;x
GER_battleship_4;Bismarck-Class;;;;;;;;;;;;;x
GER_battleship_5;H39-Class;;;;;;;;;;;;;x
GER_battleship_6;H40A/B-Class;;;;;;;;;;;;;x
### Command Battleship ###;;;;;;;;;;;;;;x
GER_command_battleship_0;Nassau-Class;;;;;;;;;;;;;x
GER_command_battleship_1;König-Class;;;;;;;;;;;;;x
GER_command_battleship_2;Scharnhorst 1939-Class;;;;;;;;;;;;;x
GER_command_battleship_3;Scharnhorst 1942-Class;;;;;;;;;;;;;x
GER_command_battleship_4;Bismarck-Class;;;;;;;;;;;;;x
GER_command_battleship_5;H39-Class;;;;;;;;;;;;;x
GER_command_battleship_6;H40A/B-Class;;;;;;;;;;;;;x
BB_Bismarck_0;Bismarck (Bismarck-Class);;;;;;;;;;;;;x
BB_Bismarck_4;Bismarck (Bismarck-Class);;;;;;;;;;;;;x
BB_Tirpitz_0;Tirpitz (Bismarck-Class);;;;;;;;;;;;;x
BB_Tirpitz_4;Tirpitz (Bismarck-Class);;;;;;;;;;;;;x
BB_Scharnhorst_0;Scharnhorst (1939-Class/28cm guns);;;;;;;;;;;;;x
BB_Scharnhorst_1;Scharnhorst (1942-Class/38cm guns);;;;;;;;;;;;;x
BB_Gneisenau_0;Gneisenau (1939-Class/28cm guns);;;;;;;;;;;;;x
BB_Gneisenau_1;Gneisenau (1942-Class/38cm guns);;;;;;;;;;;;;x
### Superheavy Battleship ###;;;;;;;;;;;;;;x
GER_super_heavy_battleship_0;H41-Class;;;;;;;;;;;;;x
GER_super_heavy_battleship_1;H42-Class;;;;;;;;;;;;;x
GER_super_heavy_battleship_2;H43-Class;;;;;;;;;;;;;x
GER_super_heavy_battleship_3;H44-Class;;;;;;;;;;;;;x
GER_super_heavy_battleship_4;H45-Class;;;;;;;;;;;;;x
### Light Carrier ###;;;;;;;;;;;;;;x
GER_light_carrier_0;Experimetal Light Carrier;;;;;;;;;;;;;x
GER_light_carrier_1;Ausonia-Class;;;;;;;;;;;;;x
GER_light_carrier_3;Seydlitz-Class;;;;;;;;;;;;;x
GER_light_carrier_5;De Grasse-Class;;;;;;;;;;;;;x
GER_light_carrier_6;Flugdeckkreuzer E IV-Class;;;;;;;;;;;;;x
GER_light_carrier_7;Flugdeckkreuzer E V-Class;;;;;;;;;;;;;x
### Carrier ###;;;;;;;;;;;;;;x
GER_carrier_0;Potsdam-Class;;;;;;;;;;;;;x
GER_carrier_1;Europa-Class;;;;;;;;;;;;;x
GER_carrier_2;Gneisenau-Class;;;;;;;;;;;;;x
GER_carrier_3;Graf Zeppelin-Class;;;;;;;;;;;;;x
GER_carrier_4;Clausewitz-Class;;;;;;;;;;;;;x
GER_carrier_5;Germania-Class;;;;;;;;;;;;;x
GER_carrier_6;Richthofen-Class;;;;;;;;;;;;;x
### Super Carrier ###;;;;;;;;;;;;;;x
GER_super_carrier_0;Experimetal Super Carrier;;;;;;;;;;;;;x
GER_super_carrier_1;Wilhelmshafen-Class;;;;;;;;;;;;;x
GER_super_carrier_2;Hamburg-Class;;;;;;;;;;;;;x
GER_super_carrier_3;Raeder-Class;;;;;;;;;;;;;;x
GER_super_carrier_4;Raeder-Class;;;;;;;;;;;;;;x
GER_super_carrier_5;Karl Dönitz-Class;;;;;;;;;;;;;;x
GER_super_carrier_6;Karl Dönitz-Class;;;;;;;;;;;;;;x
GER_super_carrier_7;Karl Dönitz-Class;;;;;;;;;;;;;;x
GER_super_carrier_8;Karl Dönitz-Class;;;;;;;;;;;;;;x
GER_super_carrier_9;Karl Dönitz-Class;;;;;;;;;;;;;;x
GER_super_carrier_10;Friedeburg-Class;;;;;;;;;;;;;;x
GER_super_carrier_11;Friedeburg-Class;;;;;;;;;;;;;;x
### Escort Carrier ###;;;;;;;;;;;;;;x
GER_escort_carrier_0;Experimetal Escort Carrier;;;;;;;;;;;;;x
GER_escort_carrier_1;Escort Carrier I-Class;;;;;;;;;;;;;x
GER_escort_carrier_2;Escort Carrier II-Class;;;;;;;;;;;;;x
GER_escort_carrier_3;Escort Carrier III-Class;;;;;;;;;;;;;x
GER_escort_carrier_4;Escort Carrier IV-Class;;;;;;;;;;;;;x
GER_escort_carrier_5;Escort Carrier V-Class;;;;;;;;;;;;;x
### Convoy Raiders ###;;;;;;;;;;;;;;x
GER_Convoy_raider_ship_0;Hilfskreuzer;;;;;;;;;;;;;x
GER_Convoy_raider_ship_1;Hilfskreuzer;;;;;;;;;;;;;x
GER_Convoy_raider_ship_2;Hilfskreuzer;;;;;;;;;;;;;x
GER_Convoy_raider_ship_3;Hilfskreuzer;;;;;;;;;;;;;x
GER_Convoy_raider_ship_4;Hilfskreuzer;;;;;;;;;;;;;x
GER_Convoy_raider_ship_5;Hilfskreuzer;;;;;;;;;;;;;x
### Submarine Fleet ###;;;;;;;;;;;;;;x
### Coastal Submarine ###;;;;;;;;;;;;;;x
GER_coastal_submarine_0;Typ UB III-Class;;;;;;;;;;;;;x
GER_coastal_submarine_1;Typ UB III-Class;;;;;;;;;;;;;x
GER_coastal_submarine_2;Typ II A-Class;;;;;;;;;;;;;x
GER_coastal_submarine_3;Typ II B-Class;;;;;;;;;;;;;x
GER_coastal_submarine_4;Typ II C-Class;;;;;;;;;;;;;x
GER_coastal_submarine_5;Typ II D-Class;;;;;;;;;;;;;x
GER_coastal_submarine_6;Typ XVIIA-Class;;;;;;;;;;;;;x
GER_coastal_submarine_7;Typ XXIII-Class;;;;;;;;;;;;;x
### Submarine ###;;;;;;;;;;;;;;x
GER_submarine_0;Typ IA;;;;;;;;;x
GER_submarine_1;Typ IA;;;;;;;;;x
GER_submarine_2;Typ VIIA;;;;;;;;;x
GER_submarine_3;Typ VIIB;;;;;;;;;x
GER_submarine_4;Typ VIIC;;;;;;;;;x
GER_submarine_5;Typ VIIC/41;;;;;;;;;x
GER_submarine_6;Typ VIIC/42;;;;;;;;;x
GER_submarine_7;Typ VIID;;;;;;;;;x
ger_i_Uboat_0; Typ IA;;;;;;;;;x
ger_i_Uboat_1; Typ IA;;;;;;;;;x
ger_i_Uboat_2; Typ VIIA;;;;;;;;;x
ger_i_Uboat_3; Typ VIIB;;;;;;;;;x
ger_i_Uboat_4; Typ VIIC;;;;;;;;;x
ger_i_Uboat_5; Typ VIIC/41;;;;;;;;;x
ger_i_Uboat_6; Typ VIIC/42;;;;;;;;;x
ger_i_Uboat_7; Typ VIID;;;;;;;;;x
ger_ii_Uboat_0; Typ IA;;;;;;;;;x
ger_ii_Uboat_1; Typ IA;;;;;;;;;x
ger_ii_Uboat_2; Typ VIIA;;;;;;;;;x
ger_ii_Uboat_3; Typ VIIB;;;;;;;;;x
ger_ii_Uboat_4; Typ VIIC;;;;;;;;;x
ger_ii_Uboat_5; Typ VIIC/41;;;;;;;;;x
ger_ii_Uboat_6; Typ VIIC/42;;;;;;;;;x
ger_ii_Uboat_7; Typ VIID;;;;;;;;;x
ger_vii_Uboat_0; Typ IA;;;;;;;;;x
ger_vii_Uboat_1; Typ IA;;;;;;;;;x
ger_vii_Uboat_2; Typ VIIA;;;;;;;;;x
ger_vii_Uboat_3; Typ VIIB;;;;;;;;;x
ger_vii_Uboat_4; Typ VIIC;;;;;;;;;x
ger_vii_Uboat_5; Typ VIIC/41;;;;;;;;;x
ger_vii_Uboat_6; Typ VIIC/42;;;;;;;;;x
ger_vii_Uboat_7; Typ VIID;;;;;;;;;x
ger_ix_Uboat_0; Typ IA;;;;;;;;;x
ger_ix_Uboat_1; Typ IA;;;;;;;;;x
ger_ix_Uboat_2; Typ VIIA;;;;;;;;;x
ger_ix_Uboat_3; Typ VIIB;;;;;;;;;x
ger_ix_Uboat_4; Typ VIIC;;;;;;;;;x
ger_ix_Uboat_5; Typ VIIC/41;;;;;;;;;x
ger_ix_Uboat_6; Typ VIIC/42;;;;;;;;;x
ger_ix_Uboat_7; Typ VIID;;;;;;;;;x
ger_x_Uboat_0; Typ IA;;;;;;;;;x
ger_x_Uboat_1; Typ IA;;;;;;;;;x
ger_x_Uboat_2; Typ VIIA;;;;;;;;;x
ger_x_Uboat_3; Typ VIIB;;;;;;;;;x
ger_x_Uboat_4; Typ VIIC;;;;;;;;;x
ger_x_Uboat_5; Typ VIIC/41;;;;;;;;;x
ger_x_Uboat_6; Typ VIIC/42;;;;;;;;;x
ger_x_Uboat_7; Typ VIID;;;;;;;;;x
ger_xiv_Uboat_0; Typ IA;;;;;;;;;x
ger_xiv_Uboat_1; Typ IA;;;;;;;;;x
ger_xiv_Uboat_2; Typ VIIA;;;;;;;;;x
ger_xiv_Uboat_3; Typ VIIB;;;;;;;;;x
ger_xiv_Uboat_4; Typ VIIC;;;;;;;;;x
ger_xiv_Uboat_5; Typ VIIC/41;;;;;;;;;x
ger_xiv_Uboat_6; Typ VIIC/42;;;;;;;;;x
ger_xiv_Uboat_7; Typ VIID;;;;;;;;;x
### Long-range Submarine ###;;;;;;;;;;;;;;x
GER_long_range_submarine_0;Typ IX Class;;;;;;;;;;;;;x
GER_long_range_submarine_1;Typ IXA Class;;;;;;;;;;;;;x
GER_long_range_submarine_2;Typ IXB-Class;;;;;;;;;;;;;x
GER_long_range_submarine_3;Typ IXC-Class;;;;;;;;;;;;;x
GER_long_range_submarine_4;Typ IXC/40-Class;;;;;;;;;;;;;x
GER_long_range_submarine_5;Typ IXD 1-Class;;;;;;;;;;;;;x
GER_long_range_submarine_6;Typ IXD 2-Class;;;;;;;;;;;;;x
### Electro Submarine ###;;;;;;;;;;;;;;x
GER_electro_submarine_0;Typ XXI-Class;;;;;;;;;;;;;x
GER_electro_submarine_1;Typ XXIB-Class;;;;;;;;;;;;;x
GER_electro_submarine_2;Typ XXIC-Class;;;;;;;;;;;;;x
GER_electro_submarine_3;Typ XXID-Class;;;;;;;;;;;;;x
### Nuclear Submarine ###;;;;;;;;;;;;;;x
#EOF;;;;;;;;;;;;;x
