OTHERALIGNSTOP_1;Diplomatic Alignment;Alignement diplomatique;Diplomatische Ausrichtung;;Alineación diplomática;;;;;;;;;x
OTHERALIGNSTOP_2;$MONARCHTITLE$, $ACTOR$ stopped;$MONARCHTITLE$, $ACTOR$ a arrêté;$MONARCHTITLE$, $ACTOR$ stoppte;;$MONARCHTITLE$, $ACTOR$ ha dejado de;;;;;;;;;x
OTHERALIGNSTOP_3;Aligning;de s’aligner;die Ausrichtung;;alinearse;;;;;;;;;x
OTHERALIGNSTOP_4;towards;sur;an;;con;;;;;;;;;x
OTHERALIGNSTOP_5;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;$RECIPIENT$.;;;;;;;;;x
OTHERALIGNSTOP_6;*;*;*;;*;;;;;;;;;x,
OTHERALIGNSTOP_LOG;$ACTOR$ stopped aligning towards $RECIPIENT$.;$ACTOR$ a arrêté de s’aligner sur $RECIPIENT$.;$ACTOR$ stoppte die Ausrichtung an $RECIPIENT$.;;$ACTOR$ ha dejado de alinearse con $RECIPIENT$.;;;;;;;;;x
OTHERALIGNSTOP_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,
OTHERALIGNSTOP_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,
OTHERALIGNSTOP_BTN3;Goto;Aller à;Gehe zu;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x,
OTHERALIGNSTOP_MAP;*;*;*;*;*;*;*;;;;;;;x,
THEYALIGNSTOP_SETUP;When another nation stops aligning towards our faction.;Quand une nation arrête de s’aligner sur notre faction.;Wenn eine andere Nation ihre Ausrichtung an unserer Fraktion stoppt.;;Cuando otra nación deje de alinearse con nuestra facción.;;;;;;;;;x
THEYALIGNSTOP_HEADER;$foreign_minister$ reports;$foreign_minister$ rapporte que;$foreign_minister$ berichtet;;El $foreign_minister$ informa;;;;;;;;;x
THEYALIGNSTOP_1;Diplomatic Alignment;Alignement diplomatique;Diplomatische Ausrichtung;;Alineación diplomática;;;;;;;;;x
THEYALIGNSTOP_2;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$,;;$MONARCHTITLE$,;;;;;;;;;x
THEYALIGNSTOP_3;$ACTOR$;$ACTOR$;$ACTOR$;;$ACTOR$;;;;;;;;;x,
THEYALIGNSTOP_4;is no longer attempting to align itself towards our faction.;n’essaie plus de s’aligner sur notre faction.;versuchen nicht mehr, sich an unserer Fraktion auszurichten.;;ya no intenta alinearse con nuestra facción.;;;;;;;;;x
THEYALIGNSTOP_5;*;*;*;;*;;;;;;;;;x,
THEYALIGNSTOP_6;*;*;*;;*;;;;;;;;;x,
THEYALIGNSTOP_LOG;$ACTOR$ stopped aligning towards our faction.;$ACTOR$ a arrêté de s’aligner sur notre faction.;$ACTOR$ stoppte die Ausrichtung an unserer Fraktion.;;$ACTOR$ ha dejado de alinearse con nuestra facción.;;;;;;;;;x
THEYALIGNSTOP_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
THEYALIGNSTOP_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
THEYALIGNSTOP_BTN3;Goto;Aller à;Gehe zu;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x
THEYALIGNSTOP_MAP;*;*;*;*;*;*;*;;;;;;;x
GGCOINS_BAD_LOGIN;Wrong username or password;Nom d’utilisateur ou mot de passe incorrect;Benutzername oder Passwort ungültig;;No es válido el nombre del usuario o la contraseña.;;;;;x;;;;x
OV_CONT;Checking the continuous box will start the mission immediately and allow it to continue until canceled by the player.;Cochez la case pour démarrer immédiatement la mission et la poursuivre jusqu’à ce qu’elle soit annulée par le joueur.;"Aktivieren Sie das Kästchen "Kontinuierlich", um die Mission sofort zu starten. Sie wird dann weiter laufen, bis sie vom Spieler abgebrochen wird.";;El marcar la casilla de continuar iniciará la misión de inmediato y permitirá que se continúe hasta que el jugador la cancele.;;;;;x;;;;x
ALLOWDEBTDESC;Request to be allowed to accumulate debt during wartime when trading with them.;Demandez l’autorisation d’accumuler des dettes pendant la guerre, lorsqu'il commerce avec eux.;Bitte um Erlaubnis, während Kriegszeiten beim Handel mit ihnen Verschuldungen einzugehen.;;Solicitar que se permita acumular deuda en tiempos de guerra al comerciar con ellos.;;;;;;;;;x
NEEDED_OFFICERS;Needed Officers;Officiers requis;Benötigte Offiziere;;Oficiales necesarios;;;;;;;;;x
BUILD_OFF_DD_IRO;Officers;Officiers;Offiziere;;Oficiales;;;;;;;;;x
BUILD_OFF_DD_DRO;This is how many officers each unit will require to fight at proper efficiency.;Nombre d’officiers requis par chaque unité pour se battre efficacement.;Dies ist die Anzahl der Offiziere, die jede Einheit zum effizienten Kampf benötigt.;;Es la cantidad de oficiales que requiere cada unidad para combatir con la eficacia adecuada.;;;;;;;;;x
MODIFIER_GLOBAL_RESOURCES;Resources;Ressources;Ressourcen;;Recursos;;;;;;;;;x
OFFICER_NUMBER2_IRO;We have §Y$OFFICERS$§W officers covering §Y$DIVISIONS$§W brigades, ships and wings. Different types of units require different numbers of officers, but for a proper ratio we need at least §Y$NEED$§W officers. Every day we are educating §Y$DAILY$§W new officers.;Nous disposons de §Y$OFFICERS$§W officiers pour §Y$DIVISIONS$§W brigades, navires et escadrilles. Différents types d'unités requièrent différentes quantités d'officiers, mais pour un ratio correct nous avons besoin d'au moins §Y$NEED$§W officiers. Nous formons chaque jour §Y$DAILY$§W nouveaux officiers.;Wir haben §Y$OFFICERS$§W Offiziere in unseren §Y$DIVISIONS$§W Brigaden, Flugzeugen und auf unseren Schiffen. Verschiedene Einheitentypen benötigen unterschiedliche Anzahlen von Offizieren, aber für ein sinnvolles Verhältnis von Mannschaften zu Offizieren benötigen wir mindestens §Y$NEED$§W Offiziere. Wir bilden täglich §Y$DAILY$§W neue Offiziere aus.;;Tenemos §Y$OFFICERS$§W oficiales cubriendo §Y$DIVISIONS$§W brigadas, naves y escuadrillas. Cada tipo de unidad distinto necesita un número diferente de oficiales pero, para mantener una proporción adecuada, necesitamos al menos §Y$NEED$§W oficiales. Cada día, formamos a §Y$DAILY$§W oficiales nuevos.;;;;;;;;;x
KPH;KPH;km/h;km/h;km/h;Km/h;;;;;;;;;x
ITEM_RESEARCH_START;Start Research;Début des recherches;Forschung beginnen;;Iniciar investigación;;;;;;;;;x
CONVOYS;Convoys;Convois;Konvoi;Konwój;Convoyes;;;;;;;;;x
ESCORTS;Escorts;Escortes;Eskorte;Eskorta;Escoltas;;;;;;;;;x
NONE;None;Rien;Keine;Brak;Nada;;;;;;;;;x
AI;AI;IA;KI;Przekaz SI;IA;;;;;;;;;x
accept;Accept;Confirmer;Annehmen;;Aceptar;;;;;;;;;x
cancel;Cancel;Annuler;Abbrechen;;Cancelar;;;;;;;;;x
gear_up_for_war_title;Gearing up for War;Préparatifs de guerre;Kriegsvorbereitungen;;Preparación para la guerra;;;;;;;;;x
gear_up_for_war_desc;As war engulfed the world, the United States increasingly geared up for war. The expansion of the US armed forces as well as the enormous requirements of the Lend-Lease Act would all require massive expansion of the US industry base.;Alors que la guerre devient mondiale, les préparatifs des Etats-Unis s’intensifient. L’expansion des forces armées américaines ainsi que la loi sur le prêt-bail nécessitent un développement massif de l’industrie américaine.;Während der Krieg sich über die ganze Welt ausbreitet, bereiten sich die Vereinigten Staaten immer mehr auf ihren Eintritt vor. Die Erweiterung der US-Streitkräfte sowie die enormen Erfordernisse des Leih- und Pachtgesetzes bedürfen alle einer massiven Expansion der US-Industriebasis.;;Mientras el mundo iba siendo engullido por la guerra, los Estados Unidos se preparaban para ella. La expansión de las fuerzas armadas estadounidenses, así como los enormes requisitos de la ley de préstamos y arriendos, requerían un gran desarrollo de la industria americana.;;;;;;;;;x
us_new_deal;New Deal;New Deal;New Deal;;'New Deal';;;;;;;;;x
new_deal_AI_title;Gearing up for War;Préparatifs de guerre;Kriegsvorbereitungen;;Preparación para la guerra;;;;;;;;;x
new_deal_AI_desc;Gearing up for War;Préparatifs de guerre;Kriegsvorbereitungen;;Preparación para la guerra;;;;;;;;;x
us_new_deal_ai;New Deal;New Deal;New Deal;;'New Deal';;;;;;;;;x
ANNEX_SETUP;When a nation Annexes another nation;Quand une nation en annexe une autre;Wenn eine Nation eine andere Nation annektiert;;Cuando una nación se anexione otra;;;;;;;;;x
ANNEX_HEADER;$foreign_minister$ reports;$foreign_minister$ rapporte que;$foreign_minister$ berichtet;;El $foreign_minister$ informa;;;;;;;;;x
ANNEX_1;$ACTOR$;$ACTOR$;$ACTOR$;;$ACTOR$;;;;;;;;;x
ANNEX_2;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$,;;$MONARCHTITLE$,;;;;;;;;;x
ANNEX_3;$ACTOR$ annexed $RECIPIENT$;$ACTOR$ a annexé $RECIPIENT$;$ACTOR$ annektierte $RECIPIENT$,;;$ACTOR$ se ha anexionado $RECIPIENT$,;;;;;;;;;x
ANNEX_4;which now is part of their country.;qui fait désormais partie de son pays.;das nun Teil ihrer Nation ist;;que ahora forma parte de su país.;;;;;;;;;x
ANNEX_5;*;*;*;;*;;;;;;;;;x
ANNEX_6;*;*;*;;*;;;;;;;;;x
ANNEX_LOG;$ACTOR$ annexed $RECIPIENT$.;$ACTOR$ a annexé $RECIPIENT$.;$ACTOR$ annektierte $RECIPIENT$.;;$ACTOR$ se ha anexionado $RECIPIENT$.;;;;;;;;;x
ANNEX_BTN1;OK;OK;OK;;Aceptar;;;;;;;;;x
ANNEX_BTN2;OK;OK;OK;;Aceptar;;;;;;;;;x
ANNEX_BTN3;Goto;Aller à;Gehe zu;;Ir allí;;;;;;;;;x
ANNEX_MAP;*;*;*;;*;;;;;;;;;x
