##################################################################
# BATTLESHIPS
##################################################################

battleship.0 = {
    capital_ship_hull_shape_optimisation = 6
    battleship_armour_thickness = 6
    capital_ship_vertical_protection = 6
    capital_ship_horizontal_protection = 6
    capital_ship_torpedo_protection = 6
    capital_ship_bulkheads_thickness = 6
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}
battleship.7 = {
    battleship_class = 4
	battleship_technology = 3
    capitalship_armament = 7
    capitalship_secondary = 7
    capital_ship_engine = 7
    capital_ship_boilers = 7
    capital_ship_turbines = 7
    capital_ship_screws_optimisation = 7
    capital_ship_rudder_optimisation = 7
    capital_ship_hull_shape_optimisation = 7
    battleship_armour_thickness = 7
    capital_ship_vertical_protection = 7
    capital_ship_horizontal_protection = 7
    capital_ship_torpedo_protection = 7
    capital_ship_bulkheads_thickness = 7
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}
battleship.8 = {
    battleship_class = 5
	battleship_technology = 3
    capitalship_armament = 8
    capitalship_secondary = 8
    capital_ship_engine = 8
    capital_ship_boilers = 8
    capital_ship_turbines = 8
    capital_ship_screws_optimisation = 8
    capital_ship_rudder_optimisation = 8
    capital_ship_hull_shape_optimisation = 8
    battleship_armour_thickness = 8
    capital_ship_vertical_protection = 8
    capital_ship_horizontal_protection = 8
    capital_ship_torpedo_protection = 8
    capital_ship_bulkheads_thickness = 8
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}
battleship.9 = {
    battleship_class = 6
	battleship_technology = 3
    capitalship_armament = 9
    capitalship_secondary = 9
    capital_ship_engine = 9
    capital_ship_boilers = 9
    capital_ship_turbines = 9
    capital_ship_screws_optimisation = 9
    capital_ship_rudder_optimisation = 9
    capital_ship_hull_shape_optimisation = 9
    battleship_armour_thickness = 9
    capital_ship_vertical_protection = 9
    capital_ship_horizontal_protection = 9
    capital_ship_torpedo_protection = 9
    capital_ship_bulkheads_thickness = 9
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}

##################################################################
# SUPER HEAVY BATTLESHIPS
##################################################################
super_heavy_battleship.1 = {
	super_heavy_battleship_technology = 1
    capitalship_armament = 4
    capitalship_secondary = 4
    capital_ship_engine = 4
    capital_ship_boilers = 4
    capital_ship_turbines = 4
    capital_ship_screws_optimisation = 4
    capital_ship_rudder_optimisation = 4
    capital_ship_hull_shape_optimisation = 4
    super_heavy_battleship_armour_thickness = 1
    capital_ship_vertical_protection = 4
    capital_ship_horizontal_protection = 4
    capital_ship_torpedo_protection = 4
    capital_ship_bulkheads_thickness = 4
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}
super_heavy_battleship.2 = {
	super_heavy_battleship_technology = 2
    capitalship_armament = 5
    capitalship_secondary = 5
    capital_ship_engine = 5
    capital_ship_boilers = 5
    capital_ship_turbines = 5
    capital_ship_screws_optimisation = 5
    capital_ship_rudder_optimisation = 5
    capital_ship_hull_shape_optimisation = 5
    super_heavy_battleship_armour_thickness = 1
    capital_ship_vertical_protection = 5
    capital_ship_horizontal_protection = 5
    capital_ship_torpedo_protection = 5
    capital_ship_bulkheads_thickness = 5
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}
super_heavy_battleship.3 = {
	super_heavy_battleship_technology = 3
    capitalship_armament = 6
    capitalship_secondary = 6
    capital_ship_engine = 6
    capital_ship_boilers = 6
    capital_ship_turbines = 6
    capital_ship_screws_optimisation = 6
    capital_ship_rudder_optimisation = 6
    capital_ship_hull_shape_optimisation = 6
    super_heavy_battleship_armour_thickness = 2
    capital_ship_vertical_protection = 6
    capital_ship_horizontal_protection = 6
    capital_ship_torpedo_protection = 6
    capital_ship_bulkheads_thickness = 6
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}
super_heavy_battleship.4 = {
	super_heavy_battleship_technology = 4
    capitalship_armament = 7
    capitalship_secondary = 7
    capital_ship_engine = 7
    capital_ship_boilers = 7
    capital_ship_turbines = 7
    capital_ship_screws_optimisation = 7
    capital_ship_rudder_optimisation = 7
    capital_ship_hull_shape_optimisation = 7
    super_heavy_battleship_armour_thickness = 3
    capital_ship_vertical_protection = 7
    capital_ship_horizontal_protection = 7
    capital_ship_torpedo_protection = 7
    capital_ship_bulkheads_thickness = 7
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}
super_heavy_battleship.5 = {
	super_heavy_battleship_technology = 5
    capitalship_armament = 8
    capitalship_secondary = 8
    capital_ship_engine = 8
    capital_ship_boilers = 8
    capital_ship_turbines = 8
    capital_ship_screws_optimisation = 8
    capital_ship_rudder_optimisation = 8
    capital_ship_hull_shape_optimisation = 8
    super_heavy_battleship_armour_thickness = 4
    capital_ship_vertical_protection = 8
    capital_ship_horizontal_protection = 8
    capital_ship_torpedo_protection = 8
    capital_ship_bulkheads_thickness = 8
    fast_battleship = 0
    capital_ship_heavy_anti_air_artillery = 0
}

##################################################################
# HEAVY CRUISERS
##################################################################

heavy_cruiser.0 = {
	heavycruiser_class = 0
	heavycruiser_technology = 0
    heavy_cruiser_naval_guns = 0
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 0
    cruiser_screws_and_rudder_optimisation = 0
    cruiser_hull_shape_optimisation = 0
    heavy_cruiser_armour_thickness = 0
    cruiser_bulkheads_thickness = 0
    cruiser_horizontal_protection_layout = 0
    cruiser_vertical_protection_layout = 0
    cruiser_heavy_anti_air_artillery = 0
}

heavy_cruiser.1 = {
	heavycruiser_class = 0
	heavycruiser_technology = 1
    heavy_cruiser_naval_guns = 1
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 1
    cruiser_screws_and_rudder_optimisation = 1
    cruiser_hull_shape_optimisation = 1
    heavy_cruiser_armour_thickness = 1
    cruiser_bulkheads_thickness = 1
    cruiser_horizontal_protection_layout = 1
    cruiser_vertical_protection_layout = 1
    cruiser_heavy_anti_air_artillery = 0
}
heavy_cruiser.2 = {
	heavycruiser_class = 0
	heavycruiser_technology = 2
    heavy_cruiser_naval_guns = 2
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 2
    cruiser_screws_and_rudder_optimisation = 2
    cruiser_hull_shape_optimisation = 2
    heavy_cruiser_armour_thickness = 2
    cruiser_bulkheads_thickness = 2
    cruiser_horizontal_protection_layout = 2
    cruiser_vertical_protection_layout = 2
    cruiser_heavy_anti_air_artillery = 0
}
heavy_cruiser.3 = {
	heavycruiser_class = 0
	heavycruiser_technology = 3
    heavy_cruiser_naval_guns = 3
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 3
    cruiser_screws_and_rudder_optimisation = 3
    cruiser_hull_shape_optimisation = 3
    heavy_cruiser_armour_thickness = 3
    cruiser_bulkheads_thickness = 3
    cruiser_horizontal_protection_layout = 3
    cruiser_vertical_protection_layout = 3
    cruiser_heavy_anti_air_artillery = 0
}
heavy_cruiser.4 = {
	heavycruiser_class = 1
	heavycruiser_technology = 3
    heavy_cruiser_naval_guns = 4
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 4
    cruiser_screws_and_rudder_optimisation = 4
    cruiser_hull_shape_optimisation = 4
    heavy_cruiser_armour_thickness = 4
    cruiser_bulkheads_thickness = 4
    cruiser_horizontal_protection_layout = 4
    cruiser_vertical_protection_layout = 4
    cruiser_heavy_anti_air_artillery = 0
}
heavy_cruiser.5 = {
	heavycruiser_class = 2
	heavycruiser_technology = 3
    heavy_cruiser_naval_guns = 5
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 5
    cruiser_screws_and_rudder_optimisation = 5
    cruiser_hull_shape_optimisation = 5
    heavy_cruiser_armour_thickness = 5
    cruiser_bulkheads_thickness = 5
    cruiser_horizontal_protection_layout = 5
    cruiser_vertical_protection_layout = 5
    cruiser_heavy_anti_air_artillery = 0
}
heavy_cruiser.6 = {
	heavycruiser_class = 3
	heavycruiser_technology = 3
    heavy_cruiser_naval_guns = 6
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 6
    cruiser_screws_and_rudder_optimisation = 6
    cruiser_hull_shape_optimisation = 6
    heavy_cruiser_armour_thickness = 6
    cruiser_bulkheads_thickness = 6
    cruiser_horizontal_protection_layout = 6
    cruiser_vertical_protection_layout = 6
    cruiser_heavy_anti_air_artillery = 0
}
heavy_cruiser.7 = {
	heavycruiser_class = 4
	heavycruiser_technology = 3
    heavy_cruiser_naval_guns = 7
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 7
    cruiser_screws_and_rudder_optimisation = 7
    cruiser_hull_shape_optimisation = 7
    heavy_cruiser_armour_thickness = 7
    cruiser_bulkheads_thickness = 7
    cruiser_horizontal_protection_layout = 7
    cruiser_vertical_protection_layout = 7
    cruiser_heavy_anti_air_artillery = 0
}
heavy_cruiser.8 = {
	heavycruiser_class = 5
	heavycruiser_technology = 3
    heavy_cruiser_naval_guns = 8
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 8
    cruiser_screws_and_rudder_optimisation = 8
    cruiser_hull_shape_optimisation = 8
    heavy_cruiser_armour_thickness = 8
    cruiser_bulkheads_thickness = 8
    cruiser_horizontal_protection_layout = 8
    cruiser_vertical_protection_layout = 8
    cruiser_heavy_anti_air_artillery = 0
}
heavy_cruiser.9 = {
	heavycruiser_class = 6
	heavycruiser_technology = 3
    heavy_cruiser_naval_guns = 9
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 9
    cruiser_screws_and_rudder_optimisation = 9
    cruiser_hull_shape_optimisation = 9
    heavy_cruiser_armour_thickness = 9
    cruiser_bulkheads_thickness = 9
    cruiser_horizontal_protection_layout = 9
    cruiser_vertical_protection_layout = 9
    cruiser_heavy_anti_air_artillery = 0
}

##################################################################
# LIGHT CRUISERS
##################################################################

light_cruiser.0 = {
	lightcruiser_technology = 0
    lightcruiser_class = 0
    light_cruiser_naval_guns = 0
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 0
    cruiser_screws_and_rudder_optimisation = 0
    cruiser_hull_shape_optimisation = 0
    lightcruiser_armour_thickness = 0
    cruiser_bulkheads_thickness = 0
    cruiser_horizontal_protection_layout = 0
    cruiser_vertical_protection_layout = 0
    cruiser_heavy_anti_air_artillery = 0
}
light_cruiser.1 = {
	lightcruiser_technology = 1
    lightcruiser_class = 0
    light_cruiser_naval_guns = 1
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 1
    cruiser_screws_and_rudder_optimisation = 1
    cruiser_hull_shape_optimisation = 1
    lightcruiser_armour_thickness = 1
    cruiser_bulkheads_thickness = 1
    cruiser_horizontal_protection_layout = 1
    cruiser_vertical_protection_layout = 1
    cruiser_heavy_anti_air_artillery = 0
}
light_cruiser.2 = {
	lightcruiser_technology = 2
    lightcruiser_class = 0
    light_cruiser_naval_guns = 2
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 2
    cruiser_screws_and_rudder_optimisation = 2
    cruiser_hull_shape_optimisation = 2
    lightcruiser_armour_thickness = 2
    cruiser_bulkheads_thickness = 2
    cruiser_horizontal_protection_layout = 2
    cruiser_vertical_protection_layout = 2
    cruiser_heavy_anti_air_artillery = 0
}
light_cruiser.3 = {
	lightcruiser_technology = 3
    lightcruiser_class = 0
    light_cruiser_naval_guns = 3
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 3
    cruiser_screws_and_rudder_optimisation = 3
    cruiser_hull_shape_optimisation = 3
    lightcruiser_armour_thickness = 3
    cruiser_bulkheads_thickness = 3
    cruiser_horizontal_protection_layout = 3
    cruiser_vertical_protection_layout = 3
    cruiser_heavy_anti_air_artillery = 0
}
light_cruiser.4 = {
	lightcruiser_technology = 3
    lightcruiser_class = 1
    light_cruiser_naval_guns = 4
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 4
    cruiser_screws_and_rudder_optimisation = 4
    cruiser_hull_shape_optimisation = 4
    lightcruiser_armour_thickness = 4
    cruiser_bulkheads_thickness = 4
    cruiser_horizontal_protection_layout = 4
    cruiser_vertical_protection_layout = 4
    cruiser_heavy_anti_air_artillery = 0
}
light_cruiser.5 = {
	lightcruiser_technology = 3
    lightcruiser_class = 2
    light_cruiser_naval_guns = 5
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 5
    cruiser_screws_and_rudder_optimisation = 5
    cruiser_hull_shape_optimisation = 5
    lightcruiser_armour_thickness = 5
    cruiser_bulkheads_thickness = 5
    cruiser_horizontal_protection_layout = 5
    cruiser_vertical_protection_layout = 5
    cruiser_heavy_anti_air_artillery = 0
}
light_cruiser.6 = {
	lightcruiser_technology = 3
    lightcruiser_class = 3
    light_cruiser_naval_guns = 6
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 6
    cruiser_screws_and_rudder_optimisation = 6
    cruiser_hull_shape_optimisation = 6
    lightcruiser_armour_thickness = 6
    cruiser_bulkheads_thickness = 6
    cruiser_horizontal_protection_layout = 6
    cruiser_vertical_protection_layout = 6
    cruiser_heavy_anti_air_artillery = 0
}
light_cruiser.7 = {
	lightcruiser_technology = 3
    lightcruiser_class = 4
    light_cruiser_naval_guns = 7
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 7
    cruiser_screws_and_rudder_optimisation = 7
    cruiser_hull_shape_optimisation = 7
    lightcruiser_armour_thickness = 7
    cruiser_bulkheads_thickness = 7
    cruiser_horizontal_protection_layout = 7
    cruiser_vertical_protection_layout = 7
    cruiser_heavy_anti_air_artillery = 0
}
light_cruiser.8 = {
	lightcruiser_technology = 3
    lightcruiser_class = 5
    light_cruiser_naval_guns = 8
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 8
    cruiser_screws_and_rudder_optimisation = 8
    cruiser_hull_shape_optimisation = 8
    lightcruiser_armour_thickness = 8
    cruiser_bulkheads_thickness = 8
    cruiser_horizontal_protection_layout = 8
    cruiser_vertical_protection_layout = 8
    cruiser_heavy_anti_air_artillery = 0
}
light_cruiser.9 = {
	lightcruiser_technology = 3
    lightcruiser_class = 6
    light_cruiser_naval_guns = 9
    cruiser_naval_guns_autoloader = 0
    cruiser_engine_and_boilers = 9
    cruiser_screws_and_rudder_optimisation = 9
    cruiser_hull_shape_optimisation = 9
    lightcruiser_armour_thickness = 9
    cruiser_bulkheads_thickness = 9
    cruiser_horizontal_protection_layout = 9
    cruiser_vertical_protection_layout = 9
    cruiser_heavy_anti_air_artillery = 0
}
anti_air_cruiser.0 = {
	anti_air_cruiser_activation = 1
	cruiser_engine_and_boilers = 5
	lightcruiser_armour_thickness = 5
	cruiser_screws_and_rudder_optimisation = 5
	cruiser_hull_shape_optimisation = 5
	cruiser_bulkheads_thickness = 5
	cruiser_horizontal_protection_layout = 5
	cruiser_vertical_protection_layout = 5
	cruiser_heavy_anti_air_artillery = 1
}
anti_air_cruiser.1 = {
	lightcruiser_class = 2
	cruiser_engine_and_boilers = 6
	lightcruiser_armour_thickness = 6
	cruiser_screws_and_rudder_optimisation = 6
	cruiser_hull_shape_optimisation = 6
	cruiser_bulkheads_thickness = 6
	cruiser_horizontal_protection_layout = 6
	cruiser_vertical_protection_layout = 6
	cruiser_heavy_anti_air_artillery = 2
}
anti_air_cruiser.2 = {
	lightcruiser_class = 3
	cruiser_engine_and_boilers = 7
	lightcruiser_armour_thickness = 7
	cruiser_screws_and_rudder_optimisation = 7
	cruiser_hull_shape_optimisation = 7
	cruiser_bulkheads_thickness = 7
	cruiser_horizontal_protection_layout = 7
	cruiser_vertical_protection_layout = 7
	cruiser_heavy_anti_air_artillery = 3
}
anti_air_cruiser.3 = {
	lightcruiser_class = 4
	cruiser_engine_and_boilers = 8
	lightcruiser_armour_thickness = 8
	cruiser_screws_and_rudder_optimisation = 8
	cruiser_hull_shape_optimisation = 8
	cruiser_bulkheads_thickness = 8
	cruiser_horizontal_protection_layout = 8
	cruiser_vertical_protection_layout = 8
	cruiser_heavy_anti_air_artillery = 4
}
anti_air_cruiser.4 = {
	lightcruiser_class = 5
	cruiser_engine_and_boilers = 9
	lightcruiser_armour_thickness = 9
	cruiser_screws_and_rudder_optimisation = 9
	cruiser_hull_shape_optimisation = 9
	cruiser_bulkheads_thickness = 9
	cruiser_horizontal_protection_layout = 9
	cruiser_vertical_protection_layout = 9
	cruiser_heavy_anti_air_artillery = 5
}
anti_air_cruiser.5 = {
	lightcruiser_class = 6
	cruiser_engine_and_boilers = 10
	lightcruiser_armour_thickness = 10
	cruiser_screws_and_rudder_optimisation = 10
	cruiser_hull_shape_optimisation = 10
	cruiser_bulkheads_thickness = 10
	cruiser_horizontal_protection_layout = 10
	cruiser_vertical_protection_layout = 10
	cruiser_heavy_anti_air_artillery = 9
}

##################################################################
# DESTROYERS
##################################################################

destroyer_actual.0 = {
	destroyer_technology = 0
	destroyer_class = 0
	light_naval_guns = 0
	light_warship_engine = 0
	light_warship_screws_rudder_optimisation = 0
	heavy_antiaircraft_light_ships = 0
}
destroyer_actual.1 = {
	destroyer_technology = 1
	destroyer_class = 0
	light_naval_guns = 1
	light_warship_engine = 1
	light_warship_screws_rudder_optimisation = 0
	heavy_antiaircraft_light_ships = 0
}
destroyer_actual.2 = {
	destroyer_technology = 2
	destroyer_class = 0
	light_naval_guns = 2
	light_warship_engine = 2
	light_warship_screws_rudder_optimisation = 0
	heavy_antiaircraft_light_ships = 0
}
destroyer_actual.3 = {
	destroyer_technology = 3
	destroyer_class = 0
	light_naval_guns = 3
	light_warship_engine = 3
	light_warship_screws_rudder_optimisation = 0
	heavy_antiaircraft_light_ships = 0
}
destroyer_actual.4 = {
	destroyer_technology = 4
	destroyer_class = 0
	light_naval_guns = 4
	light_warship_engine = 4
	light_warship_screws_rudder_optimisation = 1
	heavy_antiaircraft_light_ships = 0
}
destroyer_actual.5 = {
	destroyer_technology = 4
	destroyer_class = 1
	light_naval_guns = 5
	light_warship_engine = 5
	light_warship_screws_rudder_optimisation = 2
	heavy_antiaircraft_light_ships = 0
}
destroyer_actual.6 = {
	destroyer_technology = 4
	destroyer_class = 2
	light_naval_guns = 6
	light_warship_engine = 6
	light_warship_screws_rudder_optimisation = 3
	heavy_antiaircraft_light_ships = 0
}
destroyer_actual.7 = {
	destroyer_technology = 4
	destroyer_class = 3
	light_naval_guns = 7
	light_warship_engine = 7
	light_warship_screws_rudder_optimisation = 4
	heavy_antiaircraft_light_ships = 0
}
destroyer_actual.8 = {
	destroyer_technology = 4
	destroyer_class = 4
	light_naval_guns = 8
	light_warship_engine = 8
	light_warship_screws_rudder_optimisation = 5
	heavy_antiaircraft_light_ships = 0
}
destroyer_actual.9 = {
	destroyer_technology = 4
	destroyer_class = 5
	light_naval_guns = 9
	light_warship_engine = 9
	light_warship_screws_rudder_optimisation = 6
	heavy_antiaircraft_light_ships = 0
}
destroyer_actual.10 = {
	destroyer_technology = 4
	destroyer_class = 6
	light_naval_guns = 10
	light_warship_engine = 10
	light_warship_screws_rudder_optimisation = 7
	heavy_antiaircraft_light_ships = 0
}
destroyer_actual.11 = {
	destroyer_technology = 4
	destroyer_class = 7
	light_naval_guns = 11
	light_warship_engine = 11
	light_warship_screws_rudder_optimisation = 8
	heavy_antiaircraft_light_ships = 0
}
destroyer_actual.12 = {
	destroyer_technology = 4
	destroyer_class = 8
	light_naval_guns = 12
	light_warship_engine = 12
	light_warship_screws_rudder_optimisation = 8
	heavy_antiaircraft_light_ships = 0
}


##################################################################
# FRIGATE
##################################################################

frigate.0 = {
	frigate_class = 0
	light_warship_engine = 0
	light_warship_screws_rudder_optimisation = 0
}
frigate.1 = {
	frigate_class = 1
	light_warship_engine = 1
	light_warship_screws_rudder_optimisation = 3
}
frigate.2 = {
	frigate_class = 2
	light_warship_engine = 2
	light_warship_screws_rudder_optimisation = 3
}
frigate.3 = {
	frigate_class = 3
	light_warship_engine = 3
	light_warship_screws_rudder_optimisation = 4
}
frigate.4 = {
	frigate_class = 4
	light_warship_engine = 4
	light_warship_screws_rudder_optimisation = 5
}
frigate.5 = {
	frigate_class = 5
	light_warship_engine = 5
	light_warship_screws_rudder_optimisation = 6
}
frigate.6 = {
	frigate_class = 6
	light_warship_engine = 6
	light_warship_screws_rudder_optimisation = 7
}
frigate.7 = {
	frigate_class = 7
	light_warship_engine = 7
	light_warship_screws_rudder_optimisation = 8
}

##################################################################
# TORPEDO BOATS
##################################################################

torpedo_boat.0 = {
	destroyer_technology = 0
	torpedo_boat_class = 0
	light_warship_engine = 0
	light_warship_screws_rudder_optimisation = 0
	heavy_antiaircraft_light_ships = 0
}
torpedo_boat.1 = {
	destroyer_technology = 1
	torpedo_boat_class = 0
	light_warship_engine = 1
	light_warship_screws_rudder_optimisation = 0
	heavy_antiaircraft_light_ships = 0
}
torpedo_boat.2 = {
	destroyer_technology = 2
	torpedo_boat_class = 0
	light_warship_engine = 2
	light_warship_screws_rudder_optimisation = 0
	heavy_antiaircraft_light_ships = 0
}
torpedo_boat.3 = {
	destroyer_technology = 3
	torpedo_boat_class = 0
	light_warship_engine = 3
	light_warship_screws_rudder_optimisation = 0
	heavy_antiaircraft_light_ships = 0
}
torpedo_boat.4 = {
	destroyer_technology = 4
	torpedo_boat_class = 0
	light_warship_engine = 4
	light_warship_screws_rudder_optimisation = 1
	heavy_antiaircraft_light_ships = 0
}
torpedo_boat.5 = {
	destroyer_technology = 4
	torpedo_boat_class = 1
	light_warship_engine = 5
	light_warship_screws_rudder_optimisation = 2
	heavy_antiaircraft_light_ships = 0
}
torpedo_boat.6 = {
	destroyer_technology = 4
	torpedo_boat_class = 2
	light_warship_engine = 6
	light_warship_screws_rudder_optimisation = 3
	heavy_antiaircraft_light_ships = 0
}
torpedo_boat.7 = {
	destroyer_technology = 4
	torpedo_boat_class = 3
	light_warship_engine = 7
	light_warship_screws_rudder_optimisation = 4
	heavy_antiaircraft_light_ships = 0
}
torpedo_boat.8 = {
	destroyer_technology = 4
	torpedo_boat_class = 4
	light_warship_engine = 8
	light_warship_screws_rudder_optimisation = 5
	heavy_antiaircraft_light_ships = 0
}
torpedo_boat.9 = {
	destroyer_technology = 4
	torpedo_boat_class = 5
	light_warship_engine = 9
	light_warship_screws_rudder_optimisation = 6
	heavy_antiaircraft_light_ships = 0
}
torpedo_boat.10 = {
	destroyer_technology = 4
	torpedo_boat_class = 6
	light_warship_engine = 10
	light_warship_screws_rudder_optimisation = 7
	heavy_antiaircraft_light_ships = 0
}
torpedo_boat.11 = {
	destroyer_technology = 4
	torpedo_boat_class = 7
	light_warship_engine = 11
	light_warship_screws_rudder_optimisation = 8
	heavy_antiaircraft_light_ships = 0
}

##################################################################
# MOTOR TORPEDO BOATS
##################################################################

motor_torpedo_boat.0 = {
	destroyer_technology = 1
	motor_torpedo_boat_class = 0
	light_warship_engine = 0
	light_warship_screws_rudder_optimisation = 0
}
motor_torpedo_boat.1 = {
	destroyer_technology = 1
	motor_torpedo_boat_class = 1
	light_warship_engine = 1
	light_warship_screws_rudder_optimisation = 0
}
motor_torpedo_boat.2 = {
	destroyer_technology = 1
	motor_torpedo_boat_class = 2
	light_warship_engine = 2
	light_warship_screws_rudder_optimisation = 0
}
motor_torpedo_boat.3 = {
	destroyer_technology = 1
	motor_torpedo_boat_class = 3
	light_warship_engine = 3
	light_warship_screws_rudder_optimisation = 0
}
motor_torpedo_boat.4 = {
	destroyer_technology = 1
	motor_torpedo_boat_class = 4
	light_warship_engine = 4
	light_warship_screws_rudder_optimisation = 1
}
motor_torpedo_boat.5 = {
	destroyer_technology = 1
	motor_torpedo_boat_class = 5
	light_warship_engine = 5
	light_warship_screws_rudder_optimisation = 2
}
motor_torpedo_boat.6 = {
	destroyer_technology = 1
	motor_torpedo_boat_class = 6
	light_warship_engine = 6
	light_warship_screws_rudder_optimisation = 3
}
motor_torpedo_boat.7 = {
	destroyer_technology = 1
	motor_torpedo_boat_class = 7
	light_warship_engine = 7
	light_warship_screws_rudder_optimisation = 4
}
motor_torpedo_boat.8 = {
	destroyer_technology = 1
	motor_torpedo_boat_class = 8
	light_warship_engine = 8
