# Artillery Brigade
artillery_brigade.0 = { #1918 model I
	artillery_activation = 1
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
artillery_brigade.7 = { #1946 model VIII
	artillery_activation = 8
	infantry_guns = 8
	##at_aa_ammo = 6
	mass_assault = 0
	Heavy_artillery_emplacement = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
artillery_brigade.8 = { #1948 model IX
	artillery_activation = 9
	infantry_guns = 9
	##at_aa_ammo = 7
	mass_assault = 0
	Heavy_artillery_emplacement = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
artillery_brigade.9 = { #1950 model X
	artillery_activation = 10
	infantry_guns = 10
	##at_aa_ammo = 8
	mass_assault = 0
	Heavy_artillery_emplacement = 0
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
# Heavy Artillery Regiment
heavy_artillery_brigade.0 = { #1918 model I
	heavy_artillery_activation = 1
	##at_aa_ammo = 1
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
heavy_artillery_brigade.1 = { #1938 model II
	heavy_artillery_activation = 2
	##at_aa_ammo = 1
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
heavy_artillery_brigade.2 = { #1941 model III
	heavy_artillery_activation = 3
	##at_aa_ammo = 3
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
heavy_artillery_brigade.3 = { #1944 model IV
	heavy_artillery_activation = 4
	##at_aa_ammo = 5
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
heavy_artillery_brigade.4 = { #1947 model V
	heavy_artillery_activation = 5
	##at_aa_ammo = 5
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
heavy_artillery_brigade.5 = { #1950 model V
	heavy_artillery_activation = 6
	##at_aa_ammo = 6
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
### Coastal Artillery
railway_artillery_brigade.0 = {	# 1918 model I
	heavy_artillery_activation = 1
	##at_aa_ammo = 1
	Heavy_artillery_emplacement = 0
	garrison_deployment = 0
	infantry_training = 0
	infantry_command_and_control = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0 
	gustaf_dora_tech = 0 
}
railway_artillery_brigade.1 = { # 1938 model II
	heavy_artillery_activation = 2
	##at_aa_ammo = 3
	Heavy_artillery_emplacement = 0
	garrison_deployment = 0
	infantry_training = 0
	infantry_command_and_control = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0 
	gustaf_dora_tech = 0
}
railway_artillery_brigade.2 = { # 1941 model III
	heavy_artillery_activation = 3
	##at_aa_ammo = 4
	Heavy_artillery_emplacement = 0
	garrison_deployment = 0
	infantry_training = 0
	infantry_command_and_control = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0 
	gustaf_dora_tech = 0
}
railway_artillery_brigade.3 = { # 1944 model IV
	heavy_artillery_activation = 4
	##at_aa_ammo = 5
	Heavy_artillery_emplacement = 0
	garrison_deployment = 0
	infantry_training = 0
	infantry_command_and_control = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0 
	gustaf_dora_tech = 0
}
railway_artillery_brigade.4 = { # 1947 model V
	heavy_artillery_activation = 5
	##at_aa_ammo = 5
	Heavy_artillery_emplacement = 0
	garrison_deployment = 0
	infantry_training = 0
	infantry_command_and_control = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0 
	gustaf_dora_tech = 0
}
railway_artillery_brigade.5 = { # 1950 model VI
	heavy_artillery_activation = 6
	##at_aa_ammo = 6
	Heavy_artillery_emplacement = 0
	garrison_deployment = 0
	infantry_training = 0
	infantry_command_and_control = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0 
	gustaf_dora_tech = 0
}

# Motorized Artillery Brigade
medium_artillery_brigade.0 = {  #1936 model I 
	Artillery_motorization  = 1
	infantry_guns = 3
	##at_aa_ammo = 1
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 0
	automotive_construction_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	AFV_AA_defense = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
medium_artillery_brigade.1 = { #1939 model II
	Artillery_motorization  = 2
	infantry_guns = 4
	##at_aa_ammo = 2
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 0
	automotive_construction_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	AFV_AA_defense = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
medium_artillery_brigade.2 = { # 1942 model III
	Artillery_motorization  = 3
	infantry_guns = 6
	##at_aa_ammo = 4
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 0
	automotive_construction_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	AFV_AA_defense = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
medium_artillery_brigade.3 = { # 1945 model IV
	Artillery_motorization  = 4
	infantry_guns = 7
	##at_aa_ammo = 6
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 0
	automotive_construction_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	AFV_AA_defense = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
medium_artillery_brigade.4 = { # 1948 model V
	Artillery_motorization  = 5
	infantry_guns = 9
	##at_aa_ammo = 7
	assault_concentration = 0
	officer_recruitment_program = 0 
	artillery_production_industry = 0
	Vehicle_reliability = 0
	Support_battalions_motorization = 0
	automotive_construction_industry = 0
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1 
	desert_warfare_equipment = 0
	AFV_AA_defense = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	artillery_training = 0
	artillery_command_and_control = 0
	artillery_increase = 0
	artillery_decrease = 0
}
### Special Artillery
pack_artillery_brigade.0 = {
	art_barrell_ammo = 3
	gun_carriage = 2
	range_finding = 2
	infantry_guns = 2
	##at_aa_ammo = 1
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
	amphibious_invasion_focus = 1
}
pack_artillery_brigade.1 = {
	art_barrell_ammo = 3
	gun_carriage = 2
	range_finding = 2
	infantry_guns = 2
	##at_aa_ammo = 1
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
	amphibious_invasion_focus = 1
}
pack_artillery_brigade.2 = {
	art_barrell_ammo = 3
	gun_carriage = 2
	range_finding = 2
	infantry_guns = 2
	##at_aa_ammo = 1
	jungle_warfare_equipment = 1
	mountain_warfare_equipment = 1
	amphibious_invasion_focus = 1
}
pack_artillery_brigade.3 = {
	art_barrell_ammo = 3
	gun_carriage = 3
	range_finding = 3
	infantry_guns = 2
	##at_aa_ammo = 1
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1
	amphibious_invasion_focus = 1
}
pack_artillery_brigade.4 = {
	art_barrell_ammo = 4
	gun_carriage = 4
	range_finding = 4
	infantry_guns = 2
	##at_aa_ammo = 1
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1
	amphibious_invasion_focus = 1
}
pack_artillery_brigade.5 = {
	art_barrell_ammo = 5
	gun_carriage = 5
	range_finding = 5
	infantry_guns = 2
	##at_aa_ammo = 1
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1
	amphibious_invasion_focus = 1
}
pack_artillery_brigade.6 = {
	art_barrell_ammo = 6
	gun_carriage = 6
	range_finding = 6
	infantry_guns = 2
	##at_aa_ammo = 1
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1
	amphibious_invasion_focus = 1
}
pack_artillery_brigade.7 = {
	art_barrell_ammo = 7
	gun_carriage = 7
	range_finding = 7
	infantry_guns = 2
	##at_aa_ammo = 1
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1
	amphibious_invasion_focus = 1
}
pack_artillery_brigade.8 = {
	art_barrell_ammo = 8
	gun_carriage = 8
	range_finding = 8
	infantry_guns = 2
	##at_aa_ammo = 1
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1
	amphibious_invasion_focus = 1
}
pack_artillery_brigade.9 = {
	art_barrell_ammo = 9
	gun_carriage = 9
	range_finding = 9
	infantry_guns = 2
	##at_aa_ammo = 1
	mountain_warfare_equipment = 1
	jungle_warfare_equipment = 1
	amphibious_invasion_focus = 1
}
### Rocket Artillery
rocket_artillery_brigade.0 = {
	rocket_art_ammo = 0
	gun_carriage = 0
	range_finding = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
rocket_artillery_brigade.1 = {
	rocket_art_ammo = 1
	gun_carriage = 1
	range_finding = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
rocket_artillery_brigade.2 = {
	rocket_art_ammo = 2
	gun_carriage = 2
	range_finding = 1
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
rocket_artillery_brigade.3 = {
	rocket_art_ammo = 3
	gun_carriage = 3
	range_finding = 2
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
rocket_artillery_brigade.4 = {
	rocket_art_ammo = 4
	gun_carriage = 4
	range_finding = 2
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
rocket_artillery_brigade.5 = {
	rocket_art_ammo = 5
	gun_carriage = 5
	range_finding = 3
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
}
rocket_artillery_brigade.6 = {
	rocket_art_ammo = 6
	gun_carriage = 6
	range_finding = 3
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
rocket_artillery_brigade.7 = {
	rocket_art_ammo = 7
	gun_carriage = 7
	range_finding = 4
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
rocket_artillery_brigade.8 = {
	rocket_art_ammo = 8
	gun_carriage = 8
	range_finding = 4
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
rocket_artillery_brigade.9 = {
	rocket_art_ammo = 9
	gun_carriage = 9
	range_finding = 5
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
### Self Propeled Artillery
sp_artillery_brigade.0 = {
	sp_artillery_brigade_design = 1
	art_barrell_ammo = 5
	range_finding = 5
	##at_aa_ammo = 3
	tank_chassis_design = 3
	advanced_tank_chassis_design = 0
	artillery_support_gun_design = 2
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	AFV_AA_defense = 0
	wet_ammo_stowage = 0
	Artillery_fire_control_technics_dev = 0
	tremendous_firepower_dev = 0
	officer_recruitment_program = 0
	artillery_increase = 0
	artillery_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	invasion_lockdown = 0
	invasion_unlock = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_artillery_brigade.1 = {
	sp_artillery_brigade_design = 2
	art_barrell_ammo = 5
	range_finding = 5
	##at_aa_ammo = 3
	tank_chassis_design = 3
	advanced_tank_chassis_design = 0
	artillery_support_gun_design = 2
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	AFV_AA_defense = 0
	wet_ammo_stowage = 0
	Artillery_fire_control_technics_dev = 0
	tremendous_firepower_dev = 0
	officer_recruitment_program = 0
	artillery_increase = 0
	artillery_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	invasion_lockdown = 0
	invasion_unlock = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_artillery_brigade.2 = {
	sp_artillery_brigade_design = 3
	art_barrell_ammo = 6
	range_finding = 6
	##at_aa_ammo = 4
	tank_chassis_design = 4
	advanced_tank_chassis_design = 1
	artillery_support_gun_design = 3
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	AFV_AA_defense = 0
	wet_ammo_stowage = 0
	Artillery_fire_control_technics_dev = 0
	tremendous_firepower_dev = 0
	officer_recruitment_program = 0
	artillery_increase = 0
	artillery_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	invasion_lockdown = 0
	invasion_unlock = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_artillery_brigade.3 = {
	sp_artillery_brigade_design = 4
	art_barrell_ammo = 6
	range_finding = 6
	##at_aa_ammo = 4
	tank_chassis_design = 4
	advanced_tank_chassis_design = 2
	artillery_support_gun_design = 3
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	AFV_AA_defense = 0
	wet_ammo_stowage = 0
	Artillery_fire_control_technics_dev = 0
	tremendous_firepower_dev = 0
	officer_recruitment_program = 0
	artillery_increase = 0
	artillery_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	invasion_lockdown = 0
	invasion_unlock = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_artillery_brigade.4 = {
	sp_artillery_brigade_design = 4
	art_barrell_ammo = 7
	range_finding = 6
	##at_aa_ammo = 4
	tank_chassis_design = 4
	advanced_tank_chassis_design = 2
	artillery_support_gun_design = 3
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	AFV_AA_defense = 0
	wet_ammo_stowage = 0
	Artillery_fire_control_technics_dev = 0
	tremendous_firepower_dev = 0
	officer_recruitment_program = 0
	artillery_increase = 0
	artillery_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	invasion_lockdown = 0
	invasion_unlock = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_artillery_brigade.5 = {
	sp_artillery_brigade_design = 5
	art_barrell_ammo = 7
	range_finding = 7
	##at_aa_ammo = 5
	tank_chassis_design = 4
	advanced_tank_chassis_design = 2
	artillery_support_gun_design = 4
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	AFV_AA_defense = 0
	wet_ammo_stowage = 0
	Artillery_fire_control_technics_dev = 0
	tremendous_firepower_dev = 0
	officer_recruitment_program = 0
	artillery_increase = 0
	artillery_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	invasion_lockdown = 0
	invasion_unlock = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_artillery_brigade.6 = {
	sp_artillery_brigade_design = 6
	art_barrell_ammo = 8
	range_finding = 7
	##at_aa_ammo = 5
	tank_chassis_design = 4
	advanced_tank_chassis_design = 2
	artillery_support_gun_design = 4
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	AFV_AA_defense = 0
	wet_ammo_stowage = 0
	Artillery_fire_control_technics_dev = 0
	tremendous_firepower_dev = 0
	officer_recruitment_program = 0
	artillery_increase = 0
	artillery_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	invasion_lockdown = 0
	invasion_unlock = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_artillery_brigade.7 = {
	sp_artillery_brigade_design = 7
	art_barrell_ammo = 8
	range_finding = 8
	##at_aa_ammo = 6
	tank_chassis_design = 4
	advanced_tank_chassis_design = 3
	artillery_support_gun_design = 5
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	AFV_AA_defense = 0
	wet_ammo_stowage = 0
	Artillery_fire_control_technics_dev = 0
	tremendous_firepower_dev = 0
	officer_recruitment_program = 0
	artillery_increase = 0
	artillery_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	invasion_lockdown = 0
	invasion_unlock = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
sp_artillery_brigade.8 = {
	sp_artillery_brigade_design = 8
	art_barrell_ammo = 9
	range_finding = 8
	##at_aa_ammo = 6
	tank_chassis_design = 4
	advanced_tank_chassis_design = 4
	artillery_support_gun_design = 5
	gasoline_engine_design = 0
	diesel_engine_design = 0
	armor_alloy = 0
	rivetted_armour = 0
	welded_armour = 0
	cast_armour = 0
	interlocked_armour = 0
	improvised_armour = 0
	armor_sloped_design = 0
	AFV_AA_defense = 0
	wet_ammo_stowage = 0
	Artillery_fire_control_technics_dev = 0
	tremendous_firepower_dev = 0
	officer_recruitment_program = 0
	artillery_increase = 0
	artillery_decrease = 0
	automotive_construction_industry = 0
	artillery_production_industry = 0
	artillery_training = 0
	artillery_command_and_control = 0
	armor_training = 0
	armor_command_and_control = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
	invasion_lockdown = 0
	invasion_unlock = 0
	Canadian_autoindustry = 0
	USA_autoindustry = 0
}
### Self Propelled Rocket Artillery
sp_rct_artillery_brigade.0 = {
	rocket_art_ammo = 0
	gun_carriage = 0
	range_finding = 0
	armor_sloped_design = 0
	armor_alloy = 0
	diesel_engine_design = 0
	gasoline_engine_design = 0
	improvised_armour = 0
	interlocked_armour = 0
	cast_armour = 0
	welded_armour = 0
	rivetted_armour = 0
	tremendous_firepower_dev = 0
	Artillery_fire_control_technics_dev = 0
	artillery_barrage = 0
	artillery_flexiblity = 0
}
sp_rct_artillery_brigade.1 = {
	rocket_art_ammo = 1
	gun_carriage = 1
	range_finding = 0
	armor_sloped_design = 0
	armor_alloy = 0
	diesel_engine_design = 0
