super_heavy_battleship.0 = {
	battleship_armour = 1
}
### Queen Elizabeth-class ###
battleship.1 = {
	capitalship_armament = 2
	capitalship_secondary = 2
	battleship_engine = 1
	battleship_armour = 1
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	battleship_crew_training = 2
	battlefleet_concentration_doctrine = 2
}
### Revenge-class ###
battleship.2 = {
	capitalship_armament = 2
	capitalship_secondary = 2
	battleship_engine = 2
	battleship_armour = 2
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	battleship_crew_training = 2
	battlefleet_concentration_doctrine = 2
}
### Nelson-class ###
battleship.3 = {
	capitalship_armament = 3
	capitalship_secondary = 3
	battleship_engine = 2
	battleship_armour = 3
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	battleship_crew_training = 2
	battlefleet_concentration_doctrine = 2
}
### King George V-class ###
battleship.4 = {
	capitalship_armament = 4
	capitalship_secondary = 4
	battleship_engine = 3
	battleship_armour = 3
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	fast_battleship = 1
	floatplane_dev = 2
	big_ship_radar = 1
	largewarship_radar = 1
	battleship_crew_training = 2
	battlefleet_concentration_doctrine = 2
}
### Vanguard-class ###
battleship.5 = {
	capitalship_armament = 5
	capitalship_secondary = 3
	battleship_engine = 4
	battleship_armour = 4
	
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	fast_battleship = 1
	floatplane_dev = 2
	battleship_crew_training = 2
	battlefleet_concentration_doctrine = 2
}
battleship.6 = {
	capitalship_armament = 6
	capitalship_secondary = 3
	battleship_engine = 5
	battleship_armour = 5
	
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	fast_battleship = 1
	floatplane_dev = 2
	battleship_crew_training = 2
	battlefleet_concentration_doctrine = 2
}
battleship.7 = {
	capitalship_armament = 7
	capitalship_secondary = 3
	battleship_engine = 6
	battleship_armour = 6
	
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	fast_battleship = 1
	floatplane_dev = 2
	battleship_crew_training = 2
	battlefleet_concentration_doctrine = 2
}
#Hawkins
heavy_cruiser.0 = { # model I
	heavycruiser_armament = 3
	heavycruiser_engine = 0
	heavycruiser_armour = 1
	capitalship_secondary = 4
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	torpedo_upgrade = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
#York
heavy_cruiser.1 = { # model II
	heavycruiser_armament = 3
	heavycruiser_engine = 1
	heavycruiser_armour = 2
	capitalship_secondary = 4
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	torpedo_upgrade = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
#County
heavy_cruiser.2 = { # model III
	heavycruiser_armament = 3
	heavycruiser_engine = 1
	heavycruiser_armour = 2
	capitalship_secondary = 4
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	torpedo_upgrade = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
heavy_cruiser.3 = { # model IV
	heavycruiser_armament = 3
	heavycruiser_engine = 2
	heavycruiser_armour = 3
	capitalship_secondary = 4
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	torpedo_upgrade = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
heavy_cruiser.4 = { # model V
	heavycruiser_armament = 4
	heavycruiser_engine = 3
	heavycruiser_armour = 4
	capitalship_secondary = 4
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	torpedo_upgrade = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
heavy_cruiser.5 = { # model VI
	heavycruiser_armament = 5
	heavycruiser_engine = 4
	heavycruiser_armour = 5
	capitalship_secondary = 4
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	torpedo_upgrade = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
heavy_cruiser.6 = { # model VII
	heavycruiser_armament = 6
	heavycruiser_engine = 5
	heavycruiser_armour = 6
	capitalship_secondary = 4
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	torpedo_upgrade = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
light_cruiser.0 = { # model I
	lightcruiser_armament = 0
	lightcruiser_engine = 0
	lightcruiser_armour = 0
}
#C/D Class
light_cruiser.1 = { # model II
	lightcruiser_armament = 2
	lightcruiser_engine = 1
	lightcruiser_armour = 1
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	smallwarship_asw = 2
	depth_charge = 1
	hydrophone_dev = 2
	torpedo_upgrade = 1	
	hdfd_radio_dev = 1
	light_cruiser_crew_training = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
#Arethusa Class
light_cruiser.2 = { # model III
	lightcruiser_armament = 2
	lightcruiser_engine = 2
	lightcruiser_armour = 2
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	smallwarship_asw = 2
	depth_charge = 1
	hydrophone_dev = 2
	torpedo_upgrade = 1	
	hdfd_radio_dev = 1
	light_cruiser_crew_training = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
#Emerald/Leander
light_cruiser.3 = { # model V
	lightcruiser_armament = 3
	lightcruiser_engine = 3
	lightcruiser_armour = 3
	floatplane_dev = 2
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	smallwarship_asw = 2
	depth_charge = 1
	hydrophone_dev = 2
	torpedo_upgrade = 1	
	hdfd_radio_dev = 1
	light_cruiser_crew_training = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
#Town Class
light_cruiser.4 = { # model VI
	lightcruiser_armament = 4
	lightcruiser_engine = 3
	lightcruiser_armour = 4
	floatplane_dev = 2
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	smallwarship_asw = 2
	depth_charge = 1
	hydrophone_dev = 2
	torpedo_upgrade = 1	
	hdfd_radio_dev = 1
	light_cruiser_crew_training = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
light_cruiser.5 = { # model VII
	lightcruiser_armament = 5
	lightcruiser_engine = 5
	lightcruiser_armour = 5
	lightcruiser_antiaircraft = 3 
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	smallwarship_asw = 2
	depth_charge = 1
	hydrophone_dev = 2
	torpedo_upgrade = 1
	hdfd_radio_dev = 1
	light_cruiser_crew_training = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
light_cruiser.6 = { # model VIII
	lightcruiser_armament = 6
	lightcruiser_engine = 6
	lightcruiser_armour = 6
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	smallwarship_asw = 2
	depth_charge = 1
	hydrophone_dev = 2
	torpedo_upgrade = 1	
	hdfd_radio_dev = 1
	light_cruiser_crew_training = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
light_cruiser.7 = { # model IX
	lightcruiser_armament = 7
	lightcruiser_engine = 7
	lightcruiser_armour = 7
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	smallwarship_asw = 2
	depth_charge = 1
	hydrophone_dev = 2
	torpedo_upgrade = 1	
	hdfd_radio_dev = 1
	light_cruiser_crew_training = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
light_cruiser.8 = { # model X
	lightcruiser_armament = 8
	lightcruiser_engine = 8
	lightcruiser_armour = 8
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	floatplane_dev = 2
	smallwarship_asw = 2
	depth_charge = 1
	hydrophone_dev = 2
	torpedo_upgrade = 1	
	hdfd_radio_dev = 1
	light_cruiser_crew_training = 1
	cruiser_damage_control = 2
	cruiser_fire_control_computer = 2
}
### AA-cruiser ###
anti_air_cruiser.0 = { # model I
	lightcruiser_armament = 3
	lightcruiser_engine = 3
	lightcruiser_armour = 3
	battleship_antiaircraft = 3
	heavycruiser_antiaircraft =3
	lightcruiser_antiaircraft = 3
}
anti_air_cruiser.1 = {
	lightcruiser_armament = 4
	lightcruiser_engine = 4
	lightcruiser_armour = 4
	battleship_antiaircraft = 3
	heavycruiser_antiaircraft =3
	lightcruiser_antiaircraft = 3
}
anti_air_cruiser.2 = {
	lightcruiser_armament = 5
	lightcruiser_engine = 5
	lightcruiser_armour = 5
	battleship_antiaircraft = 3
	heavycruiser_antiaircraft =3
	lightcruiser_antiaircraft = 3
}
anti_air_cruiser.3 = {
	lightcruiser_armament = 6
	lightcruiser_engine = 6
	lightcruiser_armour = 6
	battleship_antiaircraft = 3
	heavycruiser_antiaircraft =3
	lightcruiser_antiaircraft = 3
}
anti_air_cruiser.4 = {
	lightcruiser_armament = 7
	lightcruiser_engine = 7
	lightcruiser_armour = 7
	battleship_antiaircraft = 3
	heavycruiser_antiaircraft =3
	lightcruiser_antiaircraft = 3
}
### Destroyer ###
destroyer_actual.0 = { # model I
	destroyer_armament = 3
	destroyer_armour = 0	
	destroyer_engine = 0
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	smallwarship_asw = 2
	hdfd_radio_dev = 1
	depth_charge = 1
	hydrophone_dev = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	destroyer_escort_role = 1
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
destroyer_actual.1 = { # model II
	destroyer_armament = 3
	destroyer_armour = 1	
	destroyer_engine = 1
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	smallwarship_asw = 2
	hdfd_radio_dev = 1
	depth_charge = 1
	hydrophone_dev = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	destroyer_escort_role = 1
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
destroyer_actual.2 = { # model III
	destroyer_armament = 3
	destroyer_armour = 2	
	destroyer_engine = 2
	lightcruiser_antiaircraft = 3 
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	smallwarship_asw = 2
	hdfd_radio_dev = 1
	depth_charge = 1
	hydrophone_dev = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	destroyer_escort_role = 1
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
destroyer_actual.3 = { # model IV
	destroyer_armament = 3
	destroyer_armour = 3	
	destroyer_engine = 3
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	smallwarship_asw = 2
	hdfd_radio_dev = 1
	depth_charge = 1
	hydrophone_dev = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	destroyer_escort_role = 1
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
#36
destroyer_actual.4 = { # model V
	destroyer_armament = 4
	destroyer_armour = 4	
	destroyer_engine = 4
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	smallwarship_asw = 2
	hdfd_radio_dev = 1
	depth_charge = 1
	hydrophone_dev = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	destroyer_escort_role = 1
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
#38
destroyer_actual.5 = { # model VI
	destroyer_armament = 5
	destroyer_armour = 5
	destroyer_engine = 5
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	smallwarship_asw = 2
	hdfd_radio_dev = 1
	depth_charge = 1
	hydrophone_dev = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	destroyer_escort_role = 1
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
#40
destroyer_actual.6 = { # model VII
	destroyer_armament = 6
	destroyer_armour = 6
	destroyer_engine = 6
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	smallwarship_asw = 2
	hdfd_radio_dev = 1
	depth_charge = 1
	hydrophone_dev = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	destroyer_escort_role = 1
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
destroyer_actual.7 = { # model VIII
	destroyer_armament = 7
	destroyer_armour = 7
	destroyer_engine = 7
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	smallwarship_asw = 2
	hdfd_radio_dev = 1
	depth_charge = 1
	hydrophone_dev = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	destroyer_escort_role = 1
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
destroyer_actual.8 = { # model IX
	destroyer_armament = 8
	destroyer_armour = 8
	destroyer_engine = 8
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	smallwarship_asw = 2
	hdfd_radio_dev = 1
	depth_charge = 1
	hydrophone_dev = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	destroyer_escort_role = 1
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
destroyer_actual.9 = { # model X
	destroyer_armament = 9
	destroyer_armour = 9
	destroyer_engine = 9
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	smallwarship_asw = 2
	hdfd_radio_dev = 1
	depth_charge = 1
	hydrophone_dev = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	destroyer_escort_role = 1
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
destroyer_actual.10 = { # model XI
	destroyer_armament = 10
	destroyer_armour = 10
	destroyer_engine = 10
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	battleship_antiaircraft = 1
	smallwarship_asw = 2
	hdfd_radio_dev = 1
	depth_charge = 1
	hydrophone_dev = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	destroyer_escort_role = 1
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
### Torpedo boat ###
torpedo_boat.0 = { # model I
	destroyer_armament = 0
	destroyer_armour = 0	
	destroyer_engine = 0
}
torpedo_boat.1 = { # model II
	destroyer_armament = 1
	destroyer_armour = 1	
	destroyer_engine = 1
}
torpedo_boat.2 = { # model III
	destroyer_armament = 3
	destroyer_armour = 2
	destroyer_engine = 2
	destroyer_escort_role = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	depth_charge = 1
	hydrophone_dev = 2
	smallwarship_asw = 2
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
torpedo_boat.3 = { # model IV
	destroyer_armament = 3
	destroyer_armour = 3	
	destroyer_engine = 3
	destroyer_escort_role = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	depth_charge = 1
	hydrophone_dev = 2
	smallwarship_asw = 2
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
torpedo_boat.4 = { # model V
	destroyer_armament = 4
	destroyer_armour = 4	
	destroyer_engine = 4
	destroyer_escort_role = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	depth_charge = 1
	hydrophone_dev = 2
	smallwarship_asw = 2
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
torpedo_boat.5 = { # model VI
	destroyer_armament = 5
	destroyer_armour = 5
	destroyer_engine = 5
	destroyer_escort_role = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	depth_charge = 1
	hydrophone_dev = 2
	smallwarship_asw = 2
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
torpedo_boat.6 = { # model VII
	destroyer_armament = 6
	destroyer_armour = 6
	destroyer_engine = 6
	destroyer_escort_role = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	depth_charge = 1
	hydrophone_dev = 2
	smallwarship_asw = 2
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
torpedo_boat.7 = { # model VIII
	destroyer_armament = 7
	destroyer_armour = 7
	destroyer_engine = 7
	destroyer_escort_role = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	depth_charge = 1
	hydrophone_dev = 2
	smallwarship_asw = 2
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
torpedo_boat.8 = { # model IX
	destroyer_armament = 8
	destroyer_armour = 8
	destroyer_engine = 8
	destroyer_escort_role = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	depth_charge = 1
	hydrophone_dev = 2
	smallwarship_asw = 2
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
torpedo_boat.9 = { # model X
	destroyer_armament = 9
	destroyer_armour = 9
	destroyer_engine = 9
	destroyer_escort_role = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	depth_charge = 1
	hydrophone_dev = 2
	smallwarship_asw = 2
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
torpedo_boat.10 = { # model XI
	destroyer_armament = 10
	destroyer_armour = 10
	destroyer_engine = 10
	destroyer_escort_role = 1
	torpedo_upgrade = 1
	torpedo_warhead = 2
	torpedo_targeting = 2
	torpedo_propulsion = 2
	lightcruiser_antiaircraft = 3
	heavycruiser_antiaircraft = 2
	depth_charge = 1
	hydrophone_dev = 2
	smallwarship_asw = 2
	smallwarship_damage_control = 1
	smallwarship_fire_control_computer = 1
}
### Frigate ###
frigate.0 = {
	destroyer_armament = 6
	destroyer_armour = 6
	destroyer_engine = 6
	heavycruiser_antiaircraft = 0
	lightcruiser_antiaircraft = 0
	smallwarship_radar = 0
	smallwarship_asw = 0
	hdfd_radio_dev = 0
	depth_charge = 0
	hydrophone_dev = 0
	torpedo_upgrade = 0	
	hedgehog_dev = 0
	destroyer_escort_role = 0
	destroyer_crew_training= 0
	spotting = 0
	Ship_Building_Technologies = 0
	naval_underway_replenishment = 0
	faulty_torp = 0
	fixed_torp = 0
	long_lance = 0
	small_ship_radar = 0
	active_sonar_ship = 0
}
frigate.1  = {
	destroyer_armament = 7
	destroyer_armour = 7
	destroyer_engine = 7
	heavycruiser_antiaircraft = 0
	lightcruiser_antiaircraft = 0
	smallwarship_radar = 0
	smallwarship_asw = 0
	hdfd_radio_dev = 0
	depth_charge = 0
	hydrophone_dev = 0
	torpedo_upgrade = 0	
	hedgehog_dev = 0
	destroyer_escort_role = 0
	destroyer_crew_training= 0
	spotting = 0
	Ship_Building_Technologies = 0
	naval_underway_replenishment = 0
	faulty_torp = 0
	fixed_torp = 0
	long_lance = 0
	small_ship_radar = 0
	active_sonar_ship = 0
}
frigate.2  = {
	destroyer_armament = 8
	destroyer_armour = 8
	destroyer_engine = 8
	heavycruiser_antiaircraft = 0
	lightcruiser_antiaircraft = 0
	smallwarship_radar = 0
	smallwarship_asw = 0
	hdfd_radio_dev = 0
	depth_charge = 0
	hydrophone_dev = 0
	torpedo_upgrade = 0	
	hedgehog_dev = 0
	destroyer_escort_role = 0
	destroyer_crew_training= 0
	spotting = 0
	Ship_Building_Technologies = 0
	naval_underway_replenishment = 0
	faulty_torp = 0
	fixed_torp = 0
	long_lance = 0
	small_ship_radar = 0
	active_sonar_ship = 0
}
frigate.3  = {
	destroyer_armament = 9
	destroyer_armour = 9
	destroyer_engine = 9
	heavycruiser_antiaircraft = 0
	lightcruiser_antiaircraft = 0
	smallwarship_radar = 0
	smallwarship_asw = 0
	hdfd_radio_dev = 0
	depth_charge = 0
	hydrophone_dev = 0
	torpedo_upgrade = 0	
	hedgehog_dev = 0
	destroyer_escort_role = 0
	destroyer_crew_training= 0
	spotting = 0
	Ship_Building_Technologies = 0
	naval_underway_replenishment = 0
	faulty_torp = 0
	fixed_torp = 0
	long_lance = 0
	small_ship_radar = 0
	active_sonar_ship = 0	
}
frigate.4 = {
	destroyer_armament = 10
	destroyer_armour = 10
	destroyer_engine = 10
	heavycruiser_antiaircraft = 0
	lightcruiser_antiaircraft = 0
	smallwarship_radar = 0
	smallwarship_asw = 0
	hdfd_radio_dev = 0
	depth_charge = 0
	hydrophone_dev = 0
	torpedo_upgrade = 0	
	hedgehog_dev = 0
	destroyer_escort_role = 0
	destroyer_crew_training= 0
	spotting = 0
	Ship_Building_Technologies = 0
	naval_underway_replenishment = 0
	faulty_torp = 0
	fixed_torp = 0
	long_lance = 0
	small_ship_radar = 0
	active_sonar_ship = 0
}
### Carrier CV ###
carrier.0 = { # Furious-class model I
	carrier_hanger = 0
	carrier_armour = 1
	carrier_engine = 1
	battleship_antiaircraft =0
	heavycruiser_antiaircraft =0
	largewarship_radar = 0
	big_ship_radar = 0
	carrier_deck_armour_optimisation =0
	lightcruiser_antiaircraft = 0
	Ship_Building_Technologies = 0 
	officer_recruitment_program = 0	
	carrier_group_doctrine = 0
	carrier_crew_training = 0
	naval_underway_replenishment = 0
	radar_training = 0
}
carrier.1 = { #Glorious-class model II
	carrier_hanger = 1
	carrier_armour = 1
	carrier_engine = 1
	big_ship_radar = 0
	battleship_antiaircraft =0
	heavycruiser_antiaircraft =0
	largewarship_radar = 0
	carrier_deck_armour_optimisation = 0
	Ship_Building_Technologies = 0 
	officer_recruitment_program = 0	
	carrier_group_doctrine = 0
	carrier_crew_training = 0
	naval_underway_replenishment = 0
	radar_training = 0
}
carrier.2 = { # Ark Royal-class model III
	carrier_hanger = 2
	carrier_armour = 2
	carrier_engine = 2
	big_ship_radar = 0
	lightcruiser_antiaircraft = 0
	heavycruiser_antiaircraft = 0
	battleship_antiaircraft = 0
	largewarship_radar = 0
	carrier_deck_armour_optimisation =0
	Ship_Building_Technologies = 0 
	officer_recruitment_program = 0	
	carrier_group_doctrine = 0
	carrier_crew_training = 0
	naval_underway_replenishment = 0
	radar_training = 0
}
carrier.3 = { # Illustrious-class model IV
	carrier_hanger = 3
	carrier_armour = 3
	carrier_engine = 3
	big_ship_radar = 0
	largewarship_radar = 0
	carrier_deck_armour_optimisation = 0
	lightcruiser_antiaircraft = 0
	heavycruiser_antiaircraft = 0
	battleship_antiaircraft = 0
	Ship_Building_Technologies = 0 
	officer_recruitment_program = 0	
	carrier_group_doctrine = 0
	carrier_crew_training = 0
	naval_underway_replenishment = 0
	radar_training = 0
	
}
carrier.4 = { # Impacable-class model V
	carrier_hanger = 4
	carrier_armour = 4
	carrier_engine = 4
	big_ship_radar = 0
	largewarship_radar = 0
	carrier_deck_armour_optimisation = 0
	lightcruiser_antiaircraft = 0
	heavycruiser_antiaircraft = 0
	battleship_antiaircraft = 0
	Ship_Building_Technologies = 0 
	officer_recruitment_program = 0	
	carrier_group_doctrine = 0
	carrier_crew_training = 0
	naval_underway_replenishment = 0
	radar_training = 0	
}
carrier.5 = { # Audacious-class model VI
	carrier_hanger = 5
	carrier_armour = 5
	carrier_engine = 5
	big_ship_radar = 0
	largewarship_radar = 0
	carrier_deck_armour_optimisation = 0
	lightcruiser_antiaircraft = 0
	heavycruiser_antiaircraft = 0
	battleship_antiaircraft = 0
