province;red;green;blue;x;x
115;0;132;185;Lumbovka;x
116;42;135;58;Moldjord;x
117;84;138;186;Sulitjelma;x
118;126;141;59;Kvikkjokk;x
119;168;144;187;Tjaktjajaure;x
120;0;147;60;Gällivare;x
121;42;150;188;Pajala;x
122;84;153;61;Kolari;x
123;126;156;189;Unari;x
124;168;159;62;Petkula;x
125;0;162;190;Tanhua;x
126;42;165;63;Kovdor;x
127;84;168;191;Njavka;x
128;126;171;64;Apatity;x
129;168;174;192;Berezovka;x
130;0;177;65;Indel';x
131;42;180;193;x;x
132;84;183;66;x;x
133;126;186;194;Ponoj;x
134;168;189;67;Ågskaret;x
135;0;192;195;Storjord;x
136;42;195;68;Västerfjäll;x
137;84;198;196;Tjåmotis;x
138;126;201;69;Jokkmokk;x
139;168;204;197;Polcirkeln;x
140;0;207;70;Pello;x
141;42;210;198;Sirkkakoski;x
142;84;0;71;Korvala;x
143;126;3;199;Aapajärvi;x
144;168;6;72;Tumcha;x
145;0;9;200;Kjume;x
146;42;12;73;Ozero Kolvitskoye;x
147;84;15;201;Inga;x
148;126;18;74;Vostocinoe  Munozero;x
149;168;21;202;Krasnoscel'e;x
150;0;24;75;Cal'mny-Varre;x
151;42;27;203;x;x
152;84;30;76;x;x
153;126;33;204;Kilboghamn;x
154;168;36;77;Bjollånes;x
155;0;39;205;Sädvaluspen;x
156;42;42;78;Stenudden;x
157;84;45;206;Karats;x
158;126;48;79;Vuollerim;x
159;168;51;207;Överkalix;x
160;0;54;80;Övertorneå;x
161;42;57;208;Rovaniemi;x
162;84;60;81;Korvala;x
163;126;63;209;Isokylä;x
164;168;66;82;Alakurtti;x
165;0;69;210;Kandalaksa;x
166;42;72;83;Umba;x
167;84;75;211;x;x
168;126;78;84;Olenica;x
169;168;81;212;Varzuga;x
170;0;84;85;Strel'na;x
171;42;87;213;Korabel'noye;x
172;84;90;86;Mo i Rana;x
173;126;93;214;Slierogaise;x
174;168;96;87;Labbas;x
175;0;99;215;Udtja;x
176;42;102;88;Tårrajaur;x
177;84;105;216;Råne;x
178;126;108;89;Kalix;x
179;168;111;217;Tornio;x
180;0;114;90;Simojoki;x
181;42;117;218;Autti;x
182;84;120;91;Maaninkavaara;x
183;126;123;219;Zelenoborskij;x
184;168;126;92;;x
185;0;129;220;Cavan'ga;x
186;42;132;93;;x
187;84;135;221;Nesna;x
188;126;138;94;Bredviken;x
189;168;141;222;Laisvall;x
190;0;144;95;Arjeplog;x
191;42;147;223;Kuollejaure;x
192;84;150;96;Harads;x
193;42;192;3;Luleå;x
194;168;156;97;Hepola;x
195;0;159;225;Ranua;x
196;42;162;98;Livojoki;x
197;84;165;226;Olanga;x
198;126;168;99;Lesozavodskij;x
199;168;171;227;;x
200;0;174;0;Donna;x
201;42;177;128;Oksskolten;x
202;84;180;1;Umfors;x
203;126;183;129;Uddjaure;x
204;168;186;2;Luleb;x
205;0;189;130;Kåbdalis;x
206;126;153;224;Boden;x
207;84;195;131;Yli-Kärpää;x
208;126;198;4;Pudasjärvi;x
209;168;201;132;Kuusamo;x
210;0;204;5;Zarecensk;x
211;42;207;133;Tedino;x
212;84;210;6;Mosjoen;x
213;126;0;134;Bleikvassli;x
214;168;3;7;Vindelfjällen;x
215;0;6;135;Sorsele;x
216;42;9;8;Slagnäs;x
217;84;12;136;Moskosel;x
218;126;15;9;Älvsbyn;x
219;168;18;137;Olhava;x
220;0;21;10;Ylikiiminki;x
221;42;24;138;Kalhamajärvi;x
222;84;27;11;Hossa;x
223;126;30;139;Kuma;x
224;168;33;12;Cupa;x
225;0;36;140;Ambarnyj;x
226;42;39;13;Bronnoysund;x
227;84;42;141;Laksfors;x
228;126;45;14;Tärnaby;x
229;168;48;142;Ankarsund;x
230;0;51;15;Holmsjö;x
231;42;54;143;Avaviken;x
232;84;57;16;Arvidsjaur;x
233;126;60;144;Piteå;x
234;168;63;17;Oulu;x
235;0;66;145;Juorkuna;x
236;42;69;18;Puolanka;x
237;84;72;146;Livo;x
238;126;75;19;Kesten'ga;x
239;168;78;147;Louhi;x
240;0;81;20;Kokkosalma;x
241;42;84;148;Kolvereid;x
242;84;87;21;Tosbotn;x
243;126;90;149;Kroken;x
244;168;93;22;Dikanäs;x
245;0;96;150;Gunnarn;x
246;42;99;23;Kristineberg;x
247;84;102;151;Malå;x
248;126;105;24;Fällfors;x
249;168;108;152;Raahe;x
250;0;111;25;Vaala;x
251;42;114;153;Kongasmäki;x
252;84;117;26;Ämmänsaan;x
253;126;120;154;Ponca;x
254;168;123;27;Topoze;x
255;0;126;155;Buldyri;x
256;42;129;28;Osen;x
257;84;132;156;Namsos;x
258;126;135;29;Royrvik;x
259;168;138;157;Saxnäs;x
260;0;141;30;Vilhelmina;x
261;42;144;158;Kattisavan;x
262;84;147;31;Lycksele;x
263;126;150;159;Kusfors;x
264;168;153;32;Yppäri;x
265;0;156;160;Rantsila;x
266;42;159;33;Ristijärvi;x
267;84;162;161;Pista;x
268;126;165;34;Kalevala;x
269;168;168;162;Karelaksa;x
270;0;171;35;Gagarino;x
271;42;174;163;Letniy Navolok;x
272;84;177;36;Namdalseid;x
273;126;180;164;Sorli;x
274;168;183;37;Sjoutnäset;x
275;0;186;165;Dorotea;x
276;42;189;38;Åsele;x
277;84;192;166;Vägsele;x
278;126;195;39;Burträsk;x
279;168;198;167;Skellefteå;x
280;0;201;40;Alavieska;x
281;42;204;168;Kilpua;x
282;84;207;41;Kestilä;x
283;126;210;169;Mainua;x
284;168;0;42;Lentiira;x
285;0;3;170;Kostomuksa;x
286;42;6;43;Juskozero;x
287;84;9;171;Shomba;x
288;126;12;44;Kem';x
289;168;15;172;Orlovskiy;x
290;0;18;45;;x
291;42;21;173;Trondheim;x
292;84;24;46;Åfjord;x
293;126;27;174;Steinkjer;x
294;168;30;47;Edevik;x
295;0;33;175;Tåsjö;x
296;42;36;48;Jungsele;x
297;84;39;176;Hälla;x
298;126;42;49;Örträsk;x
299;168;45;177;Vindeln;x
300;0;48;50;Kokkola;x
301;42;51;178;Yllvieska;x
302;84;54;51;Pulkkila;x
303;126;57;179;Otanmäki;x
304;168;60;52;Kajaani;x
305;0;63;180;Lauvuskylä;x
306;42;66;53;Muezerskij;x
307;84;69;181;Rugozero;x
308;126;72;54;Severodvinsk;x
309;168;75;182;Belomorsk;x
310;0;78;55;Yaren'ga;x
311;42;81;183;Arhangel'sk;x
312;84;84;56;;x
313;126;87;184;Brekstad;x
314;168;90;57;St Lucia;x
315;0;93;185;Stjordalshalsen;x
316;42;96;58;Meråker;x
317;84;99;186;Kristianstad;x
318;126;102;59;Ramsele;x
319;168;105;187;Sunnersta;x
320;0;108;60;Fredrika;x
321;42;111;188;Nordmaling;x
322;84;114;61;Umeå;x
323;126;117;189;Toholampi;x
324;168;120;62;Sarjankylä;x
325;0;123;190;Pyhäntä;x
326;42;126;63;Sonkajärvi;x
327;84;129;191;Maanselkä;x
328;126;132;64;Reboly;x
329;168;135;192;Cirka-Kem;x
330;0;138;65;Pertozero;x
331;42;141;193;Sosnovec;x
332;84;144;66;Sumskij Posad;x
333;126;147;194;Lyamtsa;x
334;168;150;67;Kyanda;x
335;0;153;195;Novodvinsk;x
336;42;156;68;;x
337;84;159;196;Aure;x
338;126;162;69;Svorkmo;x
339;168;165;197;Kråklivollen;x
340;0;168;70;Vålådalen;x
341;42;171;198;Järpen;x
342;0;30;210;Borgvattnet;x
343;126;177;199;Näsåker;x
344;168;180;72;Degersjön;x
345;0;183;200;Björna;x
346;42;186;73;Jakobstad;x
347;84;189;201;Reisjärvi;x
348;126;192;74;Pyhäjärvi;x
349;168;195;202;Kiuruvesi;x
350;0;198;75;Sälevä;x
351;42;201;203;Nurmes;x
352;84;204;76;Sukkozero;x
353;126;207;204;Padany;x
354;168;210;77;Bystryagi;x
355;0;0;205;Nadvoicy;x
356;42;3;78;;x
357;84;6;206;;x
358;126;9;79;;x
359;168;12;207;;x
360;0;15;80;Kristiansund;x
361;42;18;208;Rindal;x
362;84;21;81;Storen;x
363;126;24;209;Tydal;x
364;168;27;82;Hallen;x
365;84;174;71;Östersund;x
366;42;33;83;Hammarstrand;x
367;84;36;211;Sollefteå;x
368;126;39;84;Örnsköldsvik;x
369;168;42;212;Vaasa;x
370;0;45;85;Veteli;x
371;42;48;213;Pihtipudas;x
372;84;51;86;Keitele;x
373;126;54;214;Leppälahti;x
374;168;57;87;Juankoski;x
375;0;60;215;Lieksa;x
376;42;63;88;Ozero Gimal'skoe;x
377;84;66;216;Evgora;x
378;126;69;89;Segeza;x
379;168;72;217;Valdaj;x
380;0;75;90;Malosujka;x
381;42;78;218;Onega;x
382;84;81;91;;x
383;126;84;219;;x
384;168;87;92;;x
385;0;90;220;;x
386;42;93;93;Ålesund;x
387;84;96;221;Molde;x
388;126;99;94;Engan;x
389;168;102;222;Meldal;x
390;0;105;95;Ålen;x
391;42;108;223;Ramundberget;x
392;84;111;96;Torsborg;x
393;126;114;224;Bräcke;x
394;168;117;97;Ljungå;x
395;0;120;225;Härnösand;x
396;42;123;98;Korsnäs;x
397;84;126;226;Lapua;x
398;126;129;99;Perho;x
399;168;132;227;Kannonkoski;x
400;0;135;0;Närhilä;x
401;42;138;128;Kuopio;x
402;84;141;1;Romppala;x
403;126;144;129;Kudamguba;x
404;168;147;2;Yangozero;x
405;0;150;130;Medvez'egorsk;x
406;42;153;3;Povenec;x
407;84;156;131;;x
408;126;159;4;Vorzogory;x
409;168;162;132;Ryuga;x
410;0;165;5;;x
411;42;168;133;;x
412;84;171;6;;x
413;126;174;134;;x
414;168;177;7;;x
415;0;180;135;;x
416;42;183;8;;x
417;84;186;136;Lerwick;x
418;126;189;9;Stordal;x
419;168;192;137;Verma;x
420;0;195;10;Gjora;x
421;42;198;138;Ulsberg;x
422;84;201;11;Roros;x
423;126;204;139;Funäsdalen;x
424;168;207;12;Rätansbyn;x
425;0;210;140;Ånge;x
426;42;0;13;Timrå;x
427;84;3;141;Seinäjoki;x
428;126;6;14;Soini;x
429;168;9;142;Karstula;x
430;0;12;15;Suolahti;x
431;42;15;143;Suontee;x
432;84;18;16;Palokki;x
433;126;21;144;Ilomantsi;x
434;168;24;17;Porosozero;x
435;0;27;145;Petrozavodsk;x
436;42;30;18;Pyal'ma;x
437;84;33;146;;x
438;126;36;19;;x
439;168;39;147;;x
440;0;42;20;;x
441;42;45;148;;x
442;84;48;21;;x
443;126;51;149;;x
444;168;54;22;;x
445;0;57;150;;x
446;42;60;23;;x
447;84;63;151;;x
448;126;66;24;;x
449;168;69;152;;x
450;0;72;25;;x
451;42;75;153;;x
452;84;78;26;Bedford;x
453;126;81;154;Selje;x
454;168;84;27;Volda;x
455;0;87;155;Björli;x
456;42;90;28;Lora;x
457;84;93;156;Driva;x
458;126;96;29;Bjorgan;x
459;168;99;157;Käringsjön;x
460;0;102;30;Vemdalen;x
461;42;105;158;Haverö;x
462;84;108;31;Ljungaverk;x
463;126;111;159;Sundsvall;x
464;168;114;32;Teuva;x
465;0;117;160;Alavus;x
466;42;120;33;Myllymäki;x
467;84;123;161;Petäjävesi;x
468;126;126;34;Hankasalmi;x
469;168;129;162;Pieksämäki;x
470;0;132;35;Joensuu;x
471;42;135;163;Ozero Janis';x
472;84;138;36;Najsten'jarvi;x
473;126;141;164;Derevjanka;x
474;168;144;37;Pudoz;x
475;0;147;165;;x
476;42;150;38;;x
477;84;153;166;;x
478;126;156;39;;x
479;168;159;167;;x
480;0;162;40;;x
481;42;165;168;;x
482;84;168;41;;x
483;126;171;169;;x
484;168;174;42;;x
485;0;177;170;Guadeloupe;x
486;42;180;43;;x
487;84;183;171;;x
488;126;186;44;;x
489;168;189;172;;x
490;0;192;45;Nordfjordeid;x
491;42;195;173;Geiranger;x
492;84;198;46;Digervarden;x
493;126;201;174;Hjerjkinn;x
494;168;204;47;Tolga;x
495;0;207;175;Femundsenden;x
496;42;210;48;Kölsvallen;x
497;84;0;176;Älvros;x
498;126;3;49;Gåda;x
499;168;6;177;Hudiksvall;x
500;0;9;50;Isojoki;x
501;42;12;178;Virrat;x
502;84;15;51;Mänttä;x
503;126;18;179;Jyväskylä;x
504;168;21;52;Kalvitsa;x
505;0;24;180;Varkaus;x
506;42;27;53;Onkamo;x
507;84;30;181;Suojarvi;x
508;126;33;54;Prjaza;x
509;168;36;182;;x
510;0;39;55;;x
511;42;42;183;;x
512;84;45;56;;x
513;126;48;184;;x
514;168;51;57;;x
515;0;54;185;;x
516;42;57;58;;x
517;84;60;186;;x
518;126;63;59;;x
519;168;66;187;;x
520;0;69;60;;x
521;42;72;188;;x
522;84;75;61;;x
523;126;78;189;;x
524;168;81;62;;x
525;0;84;190;;x
526;42;87;63;Svelgen;x
527;84;90;191;Hornindal;x
528;126;93;64;Donfoss;x
529;168;96;192;Vågåmo;x
530;0;99;65;Alvdal;x
531;42;102;193;Otnes;x
532;84;105;66;Särna;x
533;126;108;194;Kräckelbäcken;x
534;168;111;67;Hamra;x
535;0;114;195;Bollnäs;x
536;42;117;68;Hämeenkyrö;x
537;84;120;196;Tampere;x
538;126;123;69;Padasjoki;x
539;168;126;197;Joutsa;x
540;0;129;70;Mikkeli;x
541;42;132;198;Rautjärvi;x
542;84;135;71;Sortavala;x
543;126;138;199;Pitkjaranta;x
544;168;141;72;Ladva;x
545;0;144;200;Klimovskaya;x
546;42;147;73;;x
547;84;150;201;;x
548;126;153;74;;x
549;168;156;202;;x
550;0;159;75;;x
551;42;162;203;;x
552;84;165;76;;x
553;126;168;204;;x
554;168;171;77;;x
555;0;174;205;;x
556;42;177;78;;x
557;84;180;206;;x
558;126;183;79;;x
559;168;186;207;;x
560;0;189;80;;x
561;42;192;208;;x
562;84;195;81;;x
563;126;198;209;;x
564;168;201;82;;x
565;0;204;210;Anda;x
566;42;207;83;Strynsvattnet;x
567;84;210;211;Galdhopiggen;x
568;126;0;84;Ringebu;x
569;168;3;212;Koppang;x
570;0;6;85;Jordet;x
571;42;9;213;Trängslet;x
572;84;12;86;Åmån;x
573;126;15;214;Edsbyn;x
574;168;18;87;Söderhamn;x
575;0;21;215;Pori;x
576;42;24;88;Pirkkala;x
577;84;27;216;Valkeakoski;x
578;126;30;89;Luhanka;x
579;168;33;217;Mäntyharju;x
580;0;36;90;Lappeenranta;x
581;42;39;218;Hijtola;x
582;84;42;91;Vidlica;x
583;126;45;219;Podporoz'e;x
584;168;48;92;Vytegra;x
585;0;51;220;;x
586;42;54;93;;x
587;84;57;221;;x
588;126;60;94;;x
589;168;63;222;;x
590;0;66;95;;x
591;42;69;223;;x
592;84;72;96;;x
593;126;75;224;;x
594;168;78;97;;x
595;0;81;225;;x
596;42;84;98;;x
597;84;87;226;;x
598;126;90;99;;x
599;168;93;227;;x
600;0;96;0;;x
601;42;99;128;;x
602;84;102;1;;x
603;126;105;129;;x
604;168;108;2;Scapa Flow;x
605;0;111;130;Askvoll;x
606;42;114;3;Suphellenipa;x
607;84;117;131;Jostedola;x
608;126;120;4;Skaget;x
609;168;123;132;Tretten;x
610;0;126;5;Rena;x
611;42;129;133;Nybergsund;x
612;84;132;6;Orsa;x
613;126;135;134;Furudal;x
614;168;138;7;Ockelbo;x
615;0;141;135;Kokemäki;x
616;42;144;8;Forssa;x
617;84;147;136;Lammi;x
618;126;150;9;Heinola;x
619;168;153;137;Svetogorsk;x
620;0;156;10;Olonec;x
621;42;159;138;Kedra;x
622;84;162;11;;x
623;126;165;139;;x
624;168;168;12;;x
625;0;171;140;;x
626;42;174;13;;x
627;84;177;141;;x
628;126;180;14;;x
629;168;183;142;;x
630;0;186;15;;x
631;42;189;143;;x
632;84;192;16;;x
633;126;195;144;;x
634;168;198;17;;x
635;0;201;145;;x
636;42;204;18;;x
637;84;207;146;;x
638;126;210;19;;x
639;168;0;147;;x
640;0;3;20;;x
641;42;6;148;;x
642;84;9;21;Sande;x
643;126;12;149;Luster;x
644;168;15;22;Grindaheim;x
645;0;18;150;Bagn;x
646;42;21;23;Lillehammer;x
647;84;24;151;Elverum;x
648;126;27;24;Venjan;x
649;168;30;152;Mora;x
650;0;33;25;Falun;x
651;42;36;153;Gävle;x
652;84;39;26;Rauma;x
653;126;42;154;Alastaro;x
654;168;45;27;Hämeenlinna;x
655;0;48;155;Lahti;x
656;42;51;28;Kouvola;x
657;84;54;156;Ylämaa;x
658;126;57;29;Priozersk;x
659;168;60;157;Svir'stroj;x
660;0;63;30;Lema;x
661;42;66;158;;x
662;84;69;31;;x
663;126;72;159;;x
664;168;75;32;;x
665;0;78;160;;x
666;42;81;33;;x
667;84;84;161;;x
668;126;87;34;;x
669;168;90;162;;x
670;0;93;35;;x
671;42;96;163;;x
672;84;99;36;;x
673;126;102;164;;x
674;168;105;37;;x
675;0;108;165;;x
676;42;111;38;;x
677;84;114;166;;x
678;126;117;39;;x
679;168;120;167;;x
680;0;123;40;Durness;x
681;42;126;168;Wick;x
682;84;129;41;Lervik;x
683;126;132;169;Leikanger;x
684;168;135;42;Laerdalsoyri;x
685;0;138;170;Fagernes;x
686;42;141;43;Dokka;x
687;84;144;171;Hamar;x
688;126;147;44;Sysslebäck;x
689;168;150;172;Hörby;x
690;0;153;45;Borlänge;x
691;42;156;173;Sandviken;x
692;84;159;46;Älvkarleby;x
693;126;162;174;Yläne;x
694;168;165;47;Salo;x
695;0;168;175;Riihimäki;x
696;42;171;48;Porvoo;x
697;84;174;176;Kotka;x
698;126;177;49;Viipuri;x
699;168;180;177;Sosnovo;x
700;0;183;50;Sjas'troj;x
701;42;186;178;Krasnaya Gora;x
702;84;189;51;;x
703;126;192;179;;x
704;168;195;52;;x
705;0;198;180;;x
706;42;201;53;;x
707;84;204;181;;x
708;126;207;54;;x
709;168;210;182;;x
710;0;0;55;;x
711;42;3;183;;x
712;84;6;56;;x
713;126;9;184;;x
714;168;12;57;;x
715;0;15;185;;x
716;42;18;58;;x
717;84;21;186;;x
718;126;24;59;;x
719;168;27;187;;x
720;0;30;60;;x
721;42;33;188;;x
722;84;36;61;Stornoway;x
723;126;39;189;Cape Wrath;x
724;168;42;62;Dornoch;x
725;0;45;190;Fedje;x
726;42;48;63;Finse;x
727;84;51;191;Torpo;x
728;126;54;64;Gulsvik;x
729;168;57;192;Moss;x
730;0;60;65;Svullrya;x
731;42;63;193;Vansbro;x
732;84;66;66;Fredriksberg;x
733;126;69;194;Avesta;x
734;168;72;67;Sala;x
735;0;75;195;Östhammar;x
736;42;78;68;Turku;x
737;84;81;196;Kimito;x
738;126;84;69;Karkkila;x
739;168;87;197;Helsinki;x
740;0;90;70;Zelenogorsk;x
741;42;93;198;Morozova;x
742;126;126;139;Volhov;x
743;126;99;199;Gurenichi;x
744;168;102;72;Popovka;x
745;0;105;200;;x
746;42;108;73;;x
747;84;111;201;;x
748;126;114;74;;x
749;168;117;202;;x
750;0;120;75;;x
751;42;123;203;;x
752;84;126;76;;x
753;126;129;204;;x
754;168;132;77;;x
755;0;135;205;;x
756;42;138;78;;x
757;84;141;206;;x
758;126;144;79;;x
759;168;147;207;;x
760;0;150;80;;x
761;42;153;208;;x
762;84;156;81;;x
763;126;159;209;;x
764;168;162;82;;x
765;0;165;210;Ullapool;x
766;42;168;83;Dingwall;x
767;84;171;211;Ålvik;x
768;126;174;84;Geilo;x
769;168;177;212;Rodberg;x
770;0;180;85;Honefoss;x
771;42;183;213;Magnor;x
772;84;186;86;Sunne;x
773;126;189;214;Filipstad;x
774;168;192;87;Kopparberg;x
775;0;195;215;Surahammar;x
776;42;198;88;Uppsala;x
777;84;201;216;Norrtälje;x
778;126;204;89;Mariehamn;x
779;168;207;217;Hanko;x
780;0;210;90;Inkoo;x
781;45;198;158;Sosnovyj Bor;x
782;84;3;91;Leningrad;x
783;126;6;219;Nazija;x
784;168;129;12;Tihvin;x
785;0;12;220;Pikalevo;x
786;42;15;93;;x
787;84;18;221;;x
788;126;21;94;;x
789;168;24;222;;x
790;0;27;95;;x
791;42;30;223;;x
792;84;33;96;;x
793;126;36;224;;x
794;168;39;97;;x
795;0;42;225;;x
796;42;45;98;;x
797;84;48;226;;x
798;126;51;99;;x
799;168;54;227;;x
800;0;57;0;;x
801;42;60;128;;x
802;84;63;1;;x
803;126;66;129;;x
804;168;69;2;;x
805;0;72;130;;x
806;42;75;3;Barra;x
807;84;78;131;Lairg;x
808;126;81;4;Bergen;x
809;168;84;132;Haukeligrend;x
810;0;87;5;Selfjord;x
811;42;90;133;Kongsberg;x
812;84;93;6;Oslo;x
813;126;96;134;Arvika;x
814;168;99;7;Munkfors;x
815;0;102;135;Grecken;x
816;42;105;8;Lindesberg;x
817;84;108;136;Västerås;x
818;126;111;9;Enköping;x
819;168;114;137;Kivioli;x
820;49;192;53;Narva;x
821;42;120;138;Gatcina;x
822;84;123;11;Tosno;x
823;84;96;71;Boksitogorsk;x
824;168;9;92;Sazonovo;x
825;0;132;140;;x
826;42;135;13;;x
827;84;138;141;Babajevo;x
828;126;141;14;;x
829;168;144;142;Cerepovec;x
830;0;147;15;;x
831;42;150;143;;x
832;84;153;16;;x
833;126;156;144;;x
834;168;159;17;;x
835;0;162;145;;x
836;42;165;18;;x
837;84;168;146;;x
838;126;171;19;;x
839;168;174;147;;x
840;0;177;20;;x
841;42;180;148;;x
842;84;183;21;;x
843;126;186;149;;x
844;168;189;22;;x
845;0;192;150;;x
846;42;195;23;Portree;x
847;84;198;151;Gairloch;x
848;126;201;24;Inverness;x
849;168;204;152;Lossiemouth;x
850;0;207;25;Peterhead;x
851;42;210;153;Haugesund;x
852;84;0;26;Sauda;x
853;126;3;154;Åmot;x
854;168;6;27;Skien;x
855;0;9;155;Drammen;x
856;42;12;28;Askim;x
857;84;15;156;Kil;x
858;126;18;29;Storfors;x
859;168;21;157;Nora;x
860;0;24;30;Köping;x
861;42;27;158;Södertälje;x
862;84;30;31;Stockholm;x
863;126;33;159;Tapa;x
864;168;36;32;Kohtla-Järve;x
865;0;39;160;Slancy;x
866;42;42;33;Vyrica;x
867;126;48;34;Kirisi;x
868;84;45;161;;x
869;168;51;162;;x
870;0;54;35;;x
871;42;57;163;;x
872;84;60;36;;x
873;126;63;164;Kaduj;x
874;168;66;37;;x
875;0;69;165;;x
876;42;72;38;;x
877;84;75;166;;x
878;126;78;39;;x
879;168;81;167;;x
880;0;84;40;;x
881;42;87;168;;x
882;84;90;41;;x
883;126;93;169;;x
884;168;96;42;;x
885;0;99;170;;x
886;42;102;43;;x
887;84;105;171;;x
888;126;108;44;;x
889;168;111;172;;x
890;0;114;45;;x
891;42;117;173;Kyle of Lochalsh;x
892;84;120;46;Cannich;x
893;126;123;174;Grantown;x
894;168;126;47;Aberdeen;x
895;0;129;175;Sinnes;x
896;42;132;48;Setesdal;x
897;84;135;176;Drangedal;x
898;126;138;49;Tonsberg;x
899;168;141;177;Sarpsborg;x
900;0;144;50;Årjäng;x
901;42;147;178;Karlstad;x
902;84;150;51;Karlskoga;x
903;126;153;179;Arboga;x
904;168;156;52;Eskilstuna;x
905;0;159;180;Nynäshamn;x
906;42;162;53;Tallinn;x
907;84;165;181;Mustvee;x
908;126;168;54;Luga;x
909;0;81;75;Velikij Novgorod;x
910;42;84;203;Malaja Visera;x
911;42;177;183;Borovici;x
912;84;180;56;;x
913;126;183;184;;x
914;168;186;57;;x
915;0;189;185;Ustjuznan;x
916;42;192;58;Gajutino;x
917;84;195;186;;x
918;126;198;59;;x
919;85;129;146;;x
920;0;204;60;;x
921;42;207;188;;x
922;84;210;61;;x
923;126;0;189;;x
924;168;3;62;;x
925;0;6;190;;x
926;42;9;63;;x
927;84;12;191;;x
928;126;15;64;;x
929;168;18;192;;x
930;0;21;65;;x
931;42;24;193;;x
932;84;27;66;Fort Augustus;x
933;126;30;194;Newtonmoore;x
934;168;33;67;Balmoral;x
935;0;36;195;Stavanger;x
936;42;39;68;Sveindal;x
937;84;42;196;Åmli;x
938;126;45;69;Larvik;x
939;168;48;197;Bengtsfors;x
940;0;51;70;Säffle;x
941;42;54;198;Kristinehamn;x
